family	response	slope_per_km	slope_per_100km	jackknife_se_per_100km	jackknife_ci_low_per_100km	jackknife_ci_high_per_100km	null_mean_slope_per_100km	null_sd_slope_per_100km	two_sided_p	standardized_statistic	max_t_adjusted_p	permutations
aitchison	Surface	0.0131680985	1.31680985	0.2203676117	0.875855277	1.757764422	0.0007535176689	0.1223299793	0.0001			9999
aitchison	Deep	0.01495338087	1.495338087	0.2048611602	1.085411852	1.905264321	0.000659274957	0.1260327737	0.0001			9999
aitchison	Rhizosphere	0.01172480944	1.172480944	0.2384696969	0.6953041824	1.649657705	0.0003600852157	0.1358976873	0.0001			9999
contrast	Surface-Rhizosphere	0.001443289058	0.1443289058	0.1740926967	-0.2040297756	0.4926875872	0.0003934324532	0.1054021133	0.1763	1.365584321	0.2966	9999
contrast	Deep-Rhizosphere	0.003228571431	0.3228571431	0.1813629828	-0.04004934727	0.6857636334	0.0002991897413	0.106698265	0.0023	3.02308527	0.0049	9999
sorensen	Surface	0.0001856987413	0.01856987413	0.004426066928	0.009713334658	0.02742641359	2.016642212e-05	0.00291640163	0.0001			9999
simpson_turnover	Surface	7.411644205e-05	0.007411644205	0.003205570935	0.0009973115794	0.01382597683	-8.831382108e-06	0.002005254971	0.0002			9999
nestedness	Surface	0.0001115822992	0.01115822992	0.004203479033	0.002747087803	0.01956937204	2.899780422e-05	0.002528467832	0.0001			9999
sorensen	Deep	0.00025807272	0.025807272	0.005575560463	0.01465060128	0.03696394272	8.673648152e-06	0.003315551414	0.0001			9999
simpson_turnover	Deep	8.835368806e-05	0.008835368806	0.003550506233	0.001730822244	0.01593991537	9.914981101e-07	0.001720667097	0.0001			9999
nestedness	Deep	0.0001697190319	0.01697190319	0.006156760366	0.004652254156	0.02929155223	7.682150042e-06	0.00292564857	0.0001			9999
sorensen	Rhizosphere	0.000173010955	0.0173010955	0.003309785928	0.01067822916	0.02392396184	4.586046138e-06	0.002077430005	0.0001			9999
simpson_turnover	Rhizosphere	0.0001202038646	0.01202038646	0.004195098516	0.003626013716	0.0204147592	-3.763720118e-06	0.001937715144	0.0001			9999
nestedness	Rhizosphere	5.280709043e-05	0.005280709043	0.003833553213	-0.002390213219	0.0129516313	8.349766257e-06	0.001963407824	0.0059			9999
