site_a	site_b	geographic_distance_km	compartment	compartment_label	aitchison_dissimilarity
1	2	10.10648629	Surface	Surface	18.43868599
1	3	28.25796439	Surface	Surface	21.47676012
1	4	47.61544412	Surface	Surface	19.95244194
1	5	58.85946294	Surface	Surface	15.97715823
1	6	73.55524788	Surface	Surface	20.02489006
1	7	87.06997825	Surface	Surface	25.35117545
1	8	102.2829382	Surface	Surface	27.49252724
1	9	122.206354	Surface	Surface	30.50526724
1	10	138.5354625	Surface	Surface	27.0047863
1	11	156.9523329	Surface	Surface	28.16148493
1	12	178.0420697	Surface	Surface	25.10594787
1	13	201.6005194	Surface	Surface	27.26474821
1	14	227.2011724	Surface	Surface	35.38064329
1	15	246.7396651	Surface	Surface	26.32163612
1	16	262.8044668	Surface	Surface	29.30576621
1	17	284.1077048	Surface	Surface	32.42487266
1	18	307.8393819	Surface	Surface	30.5145897
1	19	329.5327081	Surface	Surface	32.93964978
1	20	349.673269	Surface	Surface	25.34397163
1	21	356.7704178	Surface	Surface	28.27426571
1	22	374.3426741	Surface	Surface	24.00641189
1	23	389.843226	Surface	Surface	28.10483015
1	24	403.8103918	Surface	Surface	31.09867017
1	25	409.5609904	Surface	Surface	34.36662099
1	26	423.5184924	Surface	Surface	32.39274094
1	27	436.9448526	Surface	Surface	33.39258861
1	28	455.7387838	Surface	Surface	31.15127755
1	29	476.0392933	Surface	Surface	38.38391213
1	30	488.0409304	Surface	Surface	34.63100313
1	31	509.7584327	Surface	Surface	42.13754901
1	32	530.6215785	Surface	Surface	47.33751452
1	33	552.1228693	Surface	Surface	36.7413787
1	34	574.3947786	Surface	Surface	38.87167603
1	35	596.9239916	Surface	Surface	33.50246813
1	36	640.4532381	Surface	Surface	35.69598837
1	37	661.6027389	Surface	Surface	36.60916261
1	38	664.3532204	Surface	Surface	35.94065509
1	39	688.7119861	Surface	Surface	38.33699216
1	40	712.8752931	Surface	Surface	38.27549028
1	41	725.001922	Surface	Surface	45.67702788
1	42	743.5378843	Surface	Surface	37.10321044
1	43	754.0557975	Surface	Surface	36.61415854
1	44	773.1090806	Surface	Surface	35.42502411
1	45	778.8870015	Surface	Surface	35.57501398
1	46	799.3134504	Surface	Surface	36.01028536
