model	contrast	n_observations	n_sites	estimate	std_error	ci_low	ci_high	p
additive_unadjusted	Deep-Surface	633	60	0.07370864622	0.07327716572	-0.06991195947	0.2173292519	0.3144692881
additive_unadjusted	Rhizosphere-Surface	633	60	-0.2374554569	0.0848187302	-0.4036971134	-0.07121380053	0.005117168395
additive_unadjusted	Rhizosphere-Deep	633	60	-0.3111641032	0.09142268653	-0.4903492761	-0.1319789302	0.0006650979731
additive_depth_adjusted	Deep-Surface	633	60	0.1033956796	0.05893413021	-0.01211309304	0.2189044523	0.07935722192
additive_depth_adjusted	Rhizosphere-Surface	633	60	-0.161796104	0.0757511247	-0.3102655802	-0.01332662778	0.03268834403
additive_depth_adjusted	Rhizosphere-Deep	633	60	-0.2651917836	0.0768094674	-0.4157355734	-0.1146479938	0.0005552272751
depth_and_kit_as_recorded	Deep-Surface	633	60	0.1092901827	0.06230875894	-0.01283274074	0.2314131061	0.07942880348
depth_and_kit_as_recorded	Rhizosphere-Surface	633	60	-0.1366186201	0.07771616527	-0.2889395051	0.01570226482	0.07876151891
depth_and_kit_as_recorded	Rhizosphere-Deep	633	60	-0.2459088028	0.07506247865	-0.3930285576	-0.09878904807	0.001052680869
complete_case_cohort	Deep-Surface	352	60	0.187221666	0.07702513325	0.0362551789	0.3381881531	0.015071482
complete_case_cohort	Rhizosphere-Surface	352	60	-0.1461205174	0.08976614147	-0.3220589217	0.02981788694	0.1035692091
complete_case_cohort	Rhizosphere-Deep	352	60	-0.3333421834	0.09492611923	-0.5193939582	-0.1472904085	0.0004454245068
depth_and_kit_kit_varying_campaigns	Deep-Surface	285	60	0.1994486733	0.08126606735	0.04017010816	0.3587272385	0.01411718959
depth_and_kit_kit_varying_campaigns	Rhizosphere-Surface	285	60	-0.1248388124	0.09993754415	-0.3207127996	0.07103517485	0.2116035228
depth_and_kit_kit_varying_campaigns	Rhizosphere-Deep	285	60	-0.3242874857	0.1121334005	-0.5440649121	-0.1045100594	0.003828230301
protocol_matched_pairs	Deep-Surface	154	54	0.2075382983	0.08219629553	0.04643651942	0.3686400772	0.01157277233
protocol_matched_pairs	Rhizosphere-Surface	162	56	-0.2706293082	0.1129455538	-0.4919985257	-0.04926009059	0.01657038193
protocol_matched_pairs	Rhizosphere-Deep	180	56	-0.3422988087	0.09862493168	-0.5356001228	-0.1489974947	0.0005190789411
