adjustment	metric	contrast	n_sites	mean_difference	median_difference	ci_low	ci_high	wilcoxon_w	p	q_within_adjustment	fraction_positive
unadjusted	shannon	Deep-Surface	60	0.07581589837	0.1009594963	-0.09301955703	0.2355888294	699	0.1118108578	0.1118108578	0.5666666667
unadjusted	shannon	Rhizosphere-Surface	60	-0.1217000579	-0.2513989089	-0.3130627455	0.07863716913	577	0.01283836321	0.01925754482	0.3333333333
unadjusted	shannon	Rhizosphere-Deep	60	-0.1975159563	-0.4319265121	-0.3944531577	0.01311013716	576	0.01257501844	0.01925754482	0.3166666667
depth_adjusted	shannon_depth_adjusted	Deep-Surface	60	0.0906584848	0.1235533693	-0.02527775361	0.2044416114	618	0.02878663932	0.04317995898	0.65
depth_adjusted	shannon_depth_adjusted	Rhizosphere-Surface	60	-0.08603385426	-0.1567073302	-0.2407359387	0.08253950571	656	0.05656525485	0.05656525485	0.3666666667
depth_adjusted	shannon_depth_adjusted	Rhizosphere-Deep	60	-0.1766923391	-0.2402607829	-0.3325843766	-0.01545454845	585	0.01512679912	0.04317995898	0.35
depth_adjusted_complete_kit_cases	shannon_depth_adjusted	Deep-Surface	57	0.2800215875	0.3419507237	0.1139551481	0.4537016803	431	0.001676091275	0.002514136912	0.6842105263
depth_adjusted_complete_kit_cases	shannon_depth_adjusted	Rhizosphere-Surface	56	-0.08126151151	-0.04722422562	-0.2757426013	0.1158634317	727	0.5624859443	0.5624859443	0.4821428571
depth_adjusted_complete_kit_cases	shannon_depth_adjusted	Rhizosphere-Deep	57	-0.3177272624	-0.2796927215	-0.5112792155	-0.1225402195	407	0.0008591037438	0.002514136912	0.298245614
