task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	95/5a8144	50997003	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (TRIP4_EB3)	COMPLETED	0	2026-08-29 21:33:04.096	2m 6s	11ms	50.4%	0	0	150.3 KB	942 B
7	1e/2f5036	50997005	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (TRIP4_EB5)	COMPLETED	0	2026-08-29 21:33:04.359	2m 6s	8ms	63.0%	0	0	150.2 KB	942 B
6	b2/dce220	50997004	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (TRIP4_EB4)	COMPLETED	0	2026-08-29 21:33:04.230	2m 6s	10ms	100.8%	0	0	150.3 KB	943 B
3	09/9a6723	50997001	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (TRIP4_EB1)	COMPLETED	0	2026-08-29 21:33:02.877	2m 7s	16ms	38.6%	1.5 MB	3.9 MB	150.1 KB	942 B
4	c2/79b7bf	50997002	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (TRIP4_EB2)	COMPLETED	0	2026-08-29 21:33:03.937	2m 6s	21ms	68.3%	1.5 MB	3.9 MB	150.1 KB	942 B
2	1f/ee249f	50997000	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (TRIP4_SEB)	COMPLETED	0	2026-08-29 21:33:01.866	2m 8s	9ms	123.9%	0	0	150.1 KB	943 B
13	6b/b57bbd	50997030	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (TRIP4_EB3)	COMPLETED	0	2026-08-29 21:35:10.654	2m 19s	1s	165.2%	56.4 MB	726.8 MB	103.7 MB	95.3 MB
14	8b/3c6023	50997036	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (TRIP4_EB4)	COMPLETED	0	2026-08-29 21:35:11.259	2m 19s	1s	157.8%	14.7 MB	21.7 MB	89.4 MB	81 MB
10	84/d44c77	50997027	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (TRIP4_EB1)	COMPLETED	0	2026-08-29 21:35:10.504	2m 25s	4s	184.4%	1.4 GB	9.2 GB	56.9 MB	5.9 MB
16	d3/8ebbbc	50997028	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (TRIP4_EB3)	COMPLETED	0	2026-08-29 21:35:10.553	2m 25s	2s	160.0%	437.8 MB	9.3 GB	19 MB	5.9 MB
15	47/149a38	50997026	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (TRIP4_EB5)	COMPLETED	0	2026-08-29 21:35:10.453	2m 25s	4s	161.0%	471.5 MB	9.3 GB	17.5 MB	5.9 MB
8	d8/6800c1	50997029	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (TRIP4_SEB)	COMPLETED	0	2026-08-29 21:35:10.604	2m 25s	5s	174.2%	462.3 MB	9.3 GB	16.6 MB	5.8 MB
9	37/040e1c	50997032	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (TRIP4_SEB)	COMPLETED	0	2026-08-29 21:35:10.769	2m 24s	1s	145.2%	19.9 MB	26.8 MB	61.2 MB	53 MB
11	5f/407fe3	50997033	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (TRIP4_EB1)	COMPLETED	0	2026-08-29 21:35:10.829	2m 24s	2s	416.5%	553.1 MB	9.9 GB	572 MB	563.4 MB
12	33/9316d0	50997031	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (TRIP4_EB5)	COMPLETED	0	2026-08-29 21:35:10.712	2m 24s	1s	154.9%	12.8 MB	20.1 MB	81.5 MB	73.2 MB
17	94/fe3ce7	50997034	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (TRIP4_EB4)	COMPLETED	0	2026-08-29 21:35:10.878	2m 24s	5s	187.5%	593 MB	9.2 GB	17.7 MB	5.8 MB
19	7d/5d8fe8	50997037	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (TRIP4_EB2)	COMPLETED	0	2026-08-29 21:35:11.312	2m 24s	2s	394.3%	516.3 MB	9.2 GB	540.8 MB	532 MB
1	15/129603	50997038	NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY	COMPLETED	0	2026-08-29 21:35:11.361	2m 24s	3.2s	99.2%	1.5 MB	9.8 MB	134.6 MB	652.4 MB
18	f3/2af469	50997035	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (TRIP4_EB2)	COMPLETED	0	2026-08-29 21:35:11.210	2m 29s	7s	183.5%	1.1 GB	9.2 GB	55 MB	6 MB
22	b8/41db35	50997063	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_SUMMARY_STD (cutadapt_standard)	COMPLETED	0	2026-08-29 21:37:35.376	2m 20s	1s	57.2%	2 MB	22.7 MB	873.8 KB	754 B
23	f5/bc5c20	50997064	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (TRIP4_SEB)	COMPLETED	0	2026-08-29 21:37:35.424	2m 25s	8s	112.4%	808.5 MB	2.4 GB	43.8 MB	2 MB
20	2e/14eaa8	50997061	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (TRIP4_EB3)	COMPLETED	0	2026-08-29 21:37:30.390	2m 30s	9s	106.1%	882.5 MB	2.4 GB	46.4 MB	3 MB
24	95/dda21d	50997065	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (TRIP4_EB5)	COMPLETED	0	2026-08-29 21:37:35.480	2m 25s	8s	101.9%	845.6 MB	2.4 GB	44.9 MB	2.3 MB
21	3e/166118	50997062	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (TRIP4_EB4)	COMPLETED	0	2026-08-29 21:37:30.482	2m 30s	10s	109.5%	862.3 MB	2.4 GB	45 MB	2.4 MB
27	8c/411fd9	50997069	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_QUALITY1 (FW)	COMPLETED	0	2026-08-29 21:37:36.987	2m 38s	24s	100.9%	1.5 GB	2.8 GB	142.3 MB	1.2 MB
28	ee/8826ce	50997070	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_QUALITY1 (RV)	COMPLETED	0	2026-08-29 21:37:37.040	2m 38s	21s	101.1%	1.6 GB	2.9 GB	154.7 MB	1.3 MB
25	2e/6ae261	50997067	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (TRIP4_EB1)	COMPLETED	0	2026-08-29 21:37:36.198	2m 44s	28s	102.9%	1.2 GB	2.8 GB	84.2 MB	21.3 MB
26	ca/b37ee5	50997068	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (TRIP4_EB2)	COMPLETED	0	2026-08-29 21:37:36.939	2m 58s	43s	102.3%	1.2 GB	2.7 GB	81.6 MB	19.3 MB
29	da/44df22	50997089	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_SUMMARY_MERGE (cutadapt_standard_summary.tsv)	COMPLETED	0	2026-08-29 21:39:55.196	2m 20s	0ms	72.7%	0	0	86.7 KB	559 B
32	6e/c82e6b	50997094	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_QUALITY2 (FW)	COMPLETED	0	2026-08-29 21:40:35.861	1m 59s	16s	101.1%	1.6 GB	2.8 GB	89.3 MB	1.1 MB
30	e6/4c48bf	50997092	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_QUALITY2 (RV)	COMPLETED	0	2026-08-29 21:40:35.726	2m 4s	22s	101.7%	1.6 GB	2.8 GB	96.7 MB	1.1 MB
31	f6/56a5d7	50997093	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_ERR (A)	COMPLETED	0	2026-08-29 21:40:35.784	4m 34s	2m 55s	383.8%	2.2 GB	3.6 GB	87.9 MB	1.1 MB
33	41/0a8d2a	50997149	NFCORE_AMPLISEQ:AMPLISEQ:NOVASEQ_ERR (A)	COMPLETED	0	2026-08-29 21:45:10.239	2m 5s	7s	108.1%	764 MB	2.5 GB	40.7 MB	1.1 MB
34	73/23afff	50997172	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_DENOISING (A)	COMPLETED	0	2026-08-29 21:47:15.239	3m 30s	1m 14s	263.3%	1.9 GB	3.3 GB	140.5 MB	5 MB
35	a2/7f904a	50997200	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_RMCHIMERA (A)	COMPLETED	0	2026-08-29 21:50:45.242	1m 20s	7s	221.1%	720.9 MB	2.2 GB	39.8 MB	87.7 KB
36	08/95f5de	50997226	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_STATS (A)	COMPLETED	0	2026-08-29 21:52:05.261	2m 20s	7s	99.2%	642.6 MB	1.1 GB	44.7 MB	1.1 KB
37	2a/e2534c	50997281	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_MERGE	COMPLETED	0	2026-08-29 21:54:25.242	2m 25s	8s	101.9%	517.2 MB	1 GB	35.6 MB	1.8 MB
38	02/3132ea	50997318	NFCORE_AMPLISEQ:AMPLISEQ:MERGE_STATS_STD (1)	COMPLETED	0	2026-08-29 21:56:50.297	2m 15s	0ms	189.4%	1.5 MB	4.3 MB	5.9 MB	1.3 KB
39	35/57563c	50997317	NFCORE_AMPLISEQ:AMPLISEQ:BARRNAP (ASV_seqs.fasta)	COMPLETED	0	2026-08-29 21:56:50.241	3m	43s	202.1%	89.7 MB	407.4 MB	24.7 MB	16.2 MB
40	ba/e3b479	50997319	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_TAXONOMY_WF:DADA2_TAXONOMY (ASV_seqs.1.fasta,assignTaxonomy.fna)	COMPLETED	0	2026-08-29 21:56:50.365	4m 35s	2m 19s	660.4%	7.8 GB	11 GB	1.3 GB	1.1 MB
41	a1/3839ff	50997351	NFCORE_AMPLISEQ:AMPLISEQ:BARRNAPSUMMARY	COMPLETED	0	2026-08-29 21:59:50.251	1m 40s	0ms	73.6%	9 MB	33.1 MB	876 KB	74 KB
