100	PWY-7227	adenosine deoxyribonucleotides de novo biosynthesis I
100	PWY-7344	UDP-&alpha;-D-galactose biosynthesis
100	PWY-7432	L-phenylalanine biosynthesis III (cytosolic, plants)
100	PWY-7536	2-amino-3-hydroxycyclopent-2-enone biosynthesis
100	PWY-7559	glutathione degradation (DUG pathway)
100	PWY-7566	L-gulonate degradation
100	PWY-7568	L-galactose degradation
100	PWY-7594	&gamma;-linolenate biosynthesis III (cyanobacteria)
100	PWY-7625	phosphatidylinositol biosynthesis II (eukaryotes)
100	PWY-7685	L-malate degradation I
100	PWY-7686	L-malate degradation II
100	PWY-8072	alanine racemization
100	PWY-8097	5-hydroxybenzimidazole biosynthesis (anaerobic)
100	PWY-8136	NADPH repair (prokaryotes)
100	PWY-8148	NADP biosynthesis
100	PWY-8159	dipyrromethane cofactor biosynthesis
100	PWY-8266	arsenite methylation (bacterial)
100	PWY-8328	acetate and ATP formation from acetyl-CoA III
100	PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA I
100	SAM-PWY	S-adenosyl-L-methionine biosynthesis
100	SERDEG-PWY	L-serine degradation
100	SULFMETII-PWY	assimilatory sulfate reduction II
100	TAURINEDEG-PWY	taurine degradation III
100	UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I
96	PWY-5994	palmitate biosynthesis I (type I fatty acid synthase)
90	PWY-4202	arsenic detoxification (mammals)
88	PWY-8182	valproate &beta;-oxidation
87	GLYCOCAT-PWY	glycogen degradation I
87	PWY-5101	L-isoleucine biosynthesis II
85		3155/3156: Checking for pathway ARGSYN-SUCC-PWY L-arginine biosynthesis via citrulline and succinylated intermediates
83	PWY-1622	formaldehyde assimilation I (serine pathway)
83	PWY3O-355	stearate biosynthesis III (fungi)
83	PWY-5686	UMP biosynthesis I
83	PWY-6823	molybdopterin biosynthesis
83	PWY-6871	3-methylbutanol biosynthesis (engineered)
83	TCA-1	TCA cycle VIII (Chlamydia)
81	PWY-7115	C4 photosynthetic carbon assimilation cycle, NAD-ME type
80	ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)
80	PWY-2161	folate polyglutamylation
80	PWY-4984	urea cycle
80	PWY-5136	fatty acid &beta;-oxidation II (plant peroxisome)
80	PWY-5177	glutaryl-CoA degradation
80	PWY-5887	albaflavenone biosynthesis
80	PWY66-398	TCA cycle III (animals)
80	PWY-7268	cytosolic NADPH production (yeast)
80	PWY-7269	mitochondrial NADPH production (yeast)
80	PWY-8112	factor 420 biosynthesis I (archaea)
80	PWY-8347	adipate biosynthesis
80	PWY-8354	adipate degradation
80	TRNA-CHARGING-PWY	tRNA charging
77	ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)
77	P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)
77	PWY-5690	TCA cycle II (plants and fungi)
75		3126/3156: Checking for pathway PWY-6559-2 spermidine biosynthesis II (only one key enzyme)
75	GLYCOLATEMET-PWY	glycolate and glyoxylate degradation I
75	HEME-BIOSYNTHESIS-II-1	heme b biosynthesis V (aerobic)
75	HEMESYN2-PWY	heme b biosynthesis II (oxygen-independent)
75	PANTO-PWY	phosphopantothenate biosynthesis I
75	PWY0-1507	biotin biosynthesis from 8-amino-7-oxononanoate I
75	PWY-0	putrescine degradation III
75	PWY1ZNC-1	assimilatory sulfate reduction IV
75	PWY-3461	L-tyrosine biosynthesis II
75	PWY-3462	L-phenylalanine biosynthesis II
75	PWY490-4	L-asparagine biosynthesis III (tRNA-dependent)
75	PWY-5079	L-phenylalanine degradation III
75	PWY-5207	coenzyme B/coenzyme M regeneration I (methanophenazine-dependent)
75	PWY-5659	GDP-mannose biosynthesis
75	PWY-5695	inosine 5'-phosphate degradation
75	PWY-5921	glutaminyl-tRNAgln biosynthesis via transamidation
75	PWY-6120	L-tyrosine biosynthesis III
75	PWY-6731	starch degradation III
75	PWY-6802	salidroside biosynthesis
75	PWY-702	L-methionine biosynthesis II
75	PWY-7179	purine deoxyribonucleosides degradation I
75	PWY-7220	adenosine deoxyribonucleotides de novo biosynthesis II
75	PWY-7221	guanosine ribonucleotides de novo biosynthesis
75	PWY-7222	guanosine deoxyribonucleotides de novo biosynthesis II
75	PWY-7380	biotin biosynthesis from 8-amino-7-oxononanoate II
75	PWY-7546	diphthamide biosynthesis II (eukaryotes)
75	PWY-7721	methyl phomopsenoate biosynthesis
75	PWY-7953	UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)
75	PWY-7977	L-methionine biosynthesis IV
75	PWY-8011	L-serine biosynthesis II
75	PWY-801	homocysteine and cysteine interconversion
75	PWY-8088	dipicolinate biosynthesis
75	PWY-8142	L-ascorbate biosynthesis VI (plants, myo-inositol pathway)
75	PWY-8439	poly-&gamma;-D-glutamate biosynthesis
75	VALSYN-PWY	L-valine biosynthesis
72	ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)
72	PWY-8404	glycolysis VI (from fructose)
71	PWY-5103	L-isoleucine biosynthesis III
71	PWY66-391	fatty acid &beta;-oxidation VI (mammalian peroxisome)
71	PWY-6689	tRNA splicing I
71	PWY-7117	C4 photosynthetic carbon assimilation cycle, PEPCK type
71	PWY-7383	anaerobic energy metabolism (invertebrates, cytosol)
71	PWY-8133	succinoglycan biosynthesis
70	PWY-1042	glycolysis IV
70	PWY3DJ-11470	sphingosine and sphingosine-1-phosphate metabolism
70	PWY-8362	photorespiration II
70	TCA	TCA cycle I (prokaryotic)
69	GLUCONEO-PWY	gluconeogenesis I
69	PWY-6342	noradrenaline and adrenaline degradation
66		3143/3156: Checking for pathway TYR-DEG-4HPAC L-Tyrosine degradation to 4-hydroxyphenylacetate via tyramine
66	ADENOSYLHOMOCYSCAT-PWY	L-methionine salvage from L-homocysteine
66	ALACAT2-PWY	L-alanine degradation II (to D-lactate)
66	ANAPHENOXI-PWY	L-phenylalanine degradation II (anaerobic)
66	ARGASEDEG-PWY	L-arginine degradation I (arginase pathway)
66	ARGDEG-III-PWY	L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)
66	ARGININE-SYN4-PWY	L-ornithine biosynthesis II
66	GLYCINE-SYN2-PWY	glycine biosynthesis II
66	GLYCLEAV-PWY	glycine cleavage
66	GLYOXYLATE-BYPASS	glyoxylate cycle
66	HOMOSERSYN-PWY	L-homoserine biosynthesis
66	ILEUDEG-PWY	L-isoleucine degradation I
66	LEU-DEG2-PWY	L-leucine degradation I
66	P421-PWY	4-nitrotoluene degradation I
66	PROPIONMET-PWY	propanoyl CoA degradation I
66	PWY0-1264	biotin-carboxyl carrier protein assembly
66	PWY0-1296	purine ribonucleosides degradation
66	PWY0-501-1	lipoate biosynthesis and incorporation V (mammals)
66	PWY1-3	polyhydroxybutanoate biosynthesis
66	PWY-3641	L-carnitine degradation II
66	PWY-3941	&beta;-alanine biosynthesis II
66	PWY-4381	fatty acid biosynthesis initiation (type II)
66	PWY-43	putrescine biosynthesis II
66	PWY-4983	nitric oxide biosynthesis II (mammals)
66	PWY-5041	S-adenosyl-L-methionine salvage II
66	PWY-5046	2-oxoisovalerate decarboxylation to isobutanoyl-CoA
66	PWY-5057	L-valine degradation II
66	PWY-5076	L-leucine degradation III
66	PWY-5078	L-isoleucine degradation II
66	PWY-5104	L-isoleucine biosynthesis IV
66	PWY-5108	L-isoleucine biosynthesis V
66	PWY-5154	L-arginine biosynthesis III (via N-acetyl-L-citrulline)
66	PWY-5188	tetrapyrrole biosynthesis I (from glutamate)
66	PWY-5458	methylglyoxal degradation V
66	PWY-5482	pyruvate fermentation to acetate II
66	PWY-5782	2-keto-L-gulonate biosynthesis
66	PWY-5941	glycogen degradation II
66	PWY-6328	L-lysine degradation X
66	PWY-6458	benzoyl-CoA biosynthesis
66	PWY-6614	tetrahydrofolate biosynthesis I
66	PWY66-161	ethanol degradation III
66	PWY66-162	ethanol degradation IV
66	PWY66-368	ketolysis
66	PWY66-385	dTMP de novo biosynthesis (mitochondrial)
66	PWY-6683	assimilatory sulfate reduction III
66	PWY-6854	ethene biosynthesis III (microbes)
66	PWY-6969	TCA cycle V (2-oxoglutarate synthase)
66	PWY-6987	lipoate biosynthesis and incorporation III (Bacillus)
66	PWY-7179-1	purine deoxyribonucleosides degradation II
66	PWY-7219	adenosine ribonucleotides de novo biosynthesis
66	PWY-7482	cyclooctatin biosynthesis
66	PWY-7557	(-)-dehydrodiconiferyl alcohol degradation
66	PWY-7790	UMP biosynthesis II
66	PWY-7791	UMP biosynthesis III
66	PWY-7870	L-cysteine biosynthesis VII (from S-sulfo-L-cysteine)
66	PWY-7978	N-methylpyrrolidone degradation
66	PWY-8001	felinine and 3-methyl-3-sulfanylbutan-1-ol biosynthesis
66	PWY-8130	5'-deoxyadenosine degradation I
66	TYRSYN	L-tyrosine biosynthesis I
66	UDPNACETYLGALSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis II
63	PWY-5484	glycolysis II (from fructose 6-phosphate)
62	LYSINE-AMINOAD-PWY	L-lysine biosynthesis IV
62	PWY-5913	partial TCA cycle (obligate autotrophs)
62	PWY-6549	nitrogen remobilization from senescing leaves
62	PWY-7396	butanol and isobutanol biosynthesis (engineered)
61	GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)
60		3123/3156: Checking for pathway PWY-6151-GS S-adenosyl-L-methionine cycle I
60	GLUTORN-PWY	L-ornithine biosynthesis I
60	HISTSYN-PWY	L-histidine biosynthesis
60	P101-PWY	ectoine biosynthesis
60	P162-PWY	L-glutamate degradation V (via hydroxyglutarate)
60	P221-PWY	octane oxidation
60	PWY-5059	pinobanksin biosynthesis
60	PWY-5754	4-hydroxybenzoate biosynthesis I (eukaryotes)
60	PWY-5905	hypusine biosynthesis
60	PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I
60	PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II
60	PWY-622	starch biosynthesis
60	PWY-7111	pyruvate fermentation to isobutanol (engineered)
60	PWY-7174	S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation II
60	PWY-7216	(R)- and (S)-3-hydroxybutanoate biosynthesis (engineered)
60	PWY-7288	fatty acid &beta;-oxidation VII (yeast peroxisome)
60	PWY-7574	propanoyl-CoA degradation II
60	PWY-7904	tRNA-uridine 2-thiolation (thermophilic bacteria)
60	PWY-8113	3PG-factor 420 biosynthesis
60	PWY-8132	S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation III
60	PWY-8289	dZTP biosynthesis
60	PWY-882	L-ascorbate biosynthesis I (plants, L-galactose pathway)
58	PWY66-399	gluconeogenesis III
57	FAO-PWY	fatty acid &beta;-oxidation I (generic)
57	PWY0-1261	peptidoglycan recycling I
57	PWY0-461	L-lysine degradation I
57	PWY-241	C4 photosynthetic carbon assimilation cycle, NADP-ME type
57	PWY-5097	L-lysine biosynthesis VI
57	PWY-5514	UDP-N-acetyl-D-galactosamine biosynthesis II
57	PWY-5736	isopropylamine degradation
57	PWY-6891	thiazole component of thiamine diphosphate biosynthesis II
57	PWY-7382	lipoate biosynthesis and incorporation IV (yeast)
57	PWY-8181	2-methyl-branched fatty acid &beta;-oxidation
57	PWY-8190	L-glutamate degradation XI (reductive Stickland reaction)
55	1CMET2-PWY	folate transformations III (E. coli)
55	NONMEVIPP-PWY	methylerythritol phosphate pathway I
55	PWY-3081	L-lysine biosynthesis V
55	PWY-6545	pyrimidine deoxyribonucleotides de novo biosynthesis III
55	PWY-7184	pyrimidine deoxyribonucleotides de novo biosynthesis I
55	PWY-7560	methylerythritol phosphate pathway II
55	PWY-8363	photorespiration III
54	PWY-3841	folate transformations II (plants)
53		3112/3156: Checking for pathway BIFIDOSHUNT2 Bifidobacterium shunt II
53	P124-PWY	Bifidobacterium shunt
51	PWY0-1337	oleate &beta;-oxidation
50	2AMINOBENZDEG-PWY	anthranilate degradation III (anaerobic)
50	2PHENDEG-PWY	phenylethylamine degradation I
50		3134/3156: Checking for pathway FOLATE-SYN-GS1 Folate biosynthesis from GTP and 4-aminobenzoate via dihydropterin-3-triphosphate
50		3136/3156: Checking for pathway F420-3-BIOSYN-ARCHAEA F420 Biosynthesis until 3 glutamine residues
50		3148/3156: Checking for pathway PHLOROGLUCINOL-DEG-PWY phloroglucinol degradation (anaerobic)
50	ACETOACETATE-DEG-PWY	acetoacetate degradation (to acetyl CoA)
50	ALADEG-PWY	L-alanine degradation I
50	BETA-ALA-DEGRADATION-I-PWY	&beta;-alanine degradation I
50	CITRULLINE-DEG-PWY	L-citrulline degradation
50	COA-PWY	coenzyme A biosynthesis I (bacteria)
50	DETOX1-PWY	superoxide radicals degradation
50	ETOH-ACETYLCOA-ANA-PWY	ethanol degradation I
50	GDPRHAMSYN-PWY	GDP-D-rhamnose biosynthesis
50	GLUTDEG-PWY	L-glutamate degradation II
50	GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)
50	GLYOXDEG-PWY	glycolate and glyoxylate degradation II
50	HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)
