	Shannon	csp_rel
e0325_10Dr2	6.65550325731205	0.0
e0326_10PRr2	5.868788433481774	5.1129972389814906e-05
e0327_10Sr2	6.827274716022192	0.00016296153801384193
e0328_10Sr3	6.08510426763214	7.245009046728401e-05
e0329_11Dr3	5.840116957979403	4.5919404884512695e-05
e0330_11PRr3	5.944659911900818	3.8946876460507865e-05
e0331_11Sr2	5.678883274313884	0.00019903824718957996
e0332_12PRr1	5.54741648120197	0.0011728451844356545
e0333_12PRr3	6.717127882502186	0.0009997524728604173
e0334_12Sr1	6.38509565542927	0.0020259363779112543
e0335_12Sr3	5.7934844234064595	0.0005507138628447124
e0336_13Dr1	6.949498577729804	0.001549997462487101
e0337_13Dr3	5.78652701277587	0.00016634118521334878
e0338_13Sr2	5.653965240314235	0.00016798817363257627
e0339_14Dr1	6.552933648927884	0.00021368043175657526
e0340_14Dr3	6.0146165304665775	0.0004267853855294649
e0341_14PRr1	4.816765014550887	0.0
e0342_14PRr2	4.640027017456369	0.0
e0343_14Sr2	5.893039328441873	0.00020377766744966692
e0344_15Dr1	7.2280736874023885	0.000476871216159364
e0345_15Dr3	6.99429480823945	0.00013629975787744875
e0346_15PRr1	5.823197510047106	2.253720046652005e-05
e0347_15PRr2	5.8977491979472	0.0
e0348_15PRr3	6.018732395974543	5.0487541357710965e-05
e0349_15Sr1	6.419860744061609	0.00011219043493232473
e0350_15Sr3	5.844197926721536	0.0
e0351_16Dr1	6.438299458751489	0.00026152384425655247
e0352_16Dr3	6.147961533825109	0.0005903678573804297
e0353_16PRr2	5.6057445322030315	0.0002945887724854086
e0354_16PRr3	5.119908302283314	0.00014266900790166814
e0355_16Sr1	4.804019056305911	0.00013545198927593905
e0356_17Dr1	6.679286079105273	0.0015483948557211686
e0357_17Dr3	6.6849900896844066	0.0015734397867267643
e0358_17PRr2	4.9915498858899365	3.205010805465001e-05
e0359_18PRr1	5.21530633732039	0.00012411479048852724
e0360_18PRr2	3.421160076669343	3.608727346214084e-05
e0361_18Sr1	5.1973836232253685	0.0023058812107089976
e0362_18Sr2	5.28574028302768	0.006458443620963473
e0363_19Dr2	6.134013022198609	0.0002825577124127603
e0364_1Dr1	6.669304419200758	0.0
e0365_1Dr2	6.641269815869009	0.0
e0366_1PRr2	6.810823816919855	0.0
e0367_1PRr3	6.715934327655664	0.0
e0368_1Sr1	6.278319049701737	0.0
e0369_1Sr3	6.356621412044234	0.0
e0370_20Dr2	5.444063597177289	0.0013302265349360654
e0371_20PRr1	5.425825581473273	0.003529608331824954
e0372_20PRr2	6.17138957442779	0.004988329710081479
e0373_21Dr1	6.127194296295228	0.006227484867859587
e0374_21Sr1	6.263899407187543	0.0018948313819125747
e0375_21Sr2	6.290947959537942	0.0024857652757712245
e0376_22Dr1	6.155427547288124	0.0
e0377_22Dr2	6.468725754712841	0.0039994855369243475
e0378_22PRr1	5.857239343318269	0.0
e0379_22PRr3	5.638414512981585	1.4797246021126239e-05
e0380_23Dr1	6.067650580572559	0.009460349541193347
e0381_23Sr2	5.210232442506298	0.0
e0382_24Dr1	6.249585270250627	0.0049387112685713355
e0383_24Dr2	6.229304455537573	0.006607256823583306
e0385_25Dr1	6.2456773338916936	0.007743856290066312
e0386_25Dr3	6.440704399279513	0.0054996847888085015
e0387_25PRr2	5.264828591838578	0.0003647652722160688
e0388_25Sr1	6.152913577226079	0.0060490289716650745
e0389_25Sr2	6.110116108229317	0.0024361399899961718
e0390_26Dr1	6.031801810505447	0.0010553533977449945
e0391_26Dr2	5.864763657719891	0.0019046473395084005
e0392_26Dr3	6.13360999504709	0.0015729357398203854
e0393_26PRr2	5.290613792357812	0.0013776040934521635
e0394_26PRr3	5.277082302718613	0.0008774028874531388
e0395_26Sr2	5.604421399482731	0.0020383298309955356
e0396_26Sr3	5.70511566066747	0.0033356807272158207
e0397_27Dr1	6.9997500523991505	0.0042381574542980855
e0398_27Dr3	7.005523046721084	0.004514584626296657
e0399_27PRr1	5.3997315924699585	0.0009963969154195963
e0400_27PRr2	5.247761516356473	0.0007298752348070406
e0401_27Sr2	5.687113388441088	0.003042551301412454
e0402_27Sr3	5.898603453760213	0.002125399895356919
e0403_28Dr1	6.347357324506425	0.03923032873150498
e0404_28Dr3	6.14890847760598	0.041808160945107635
e0405_28PRr3	6.276655119495638	0.00440355604866385
e0406_28Sr2	5.724346419691452	0.0011040595570155404
e0407_28Sr3	6.046516612599664	0.0013564324272019132
e0408_29Dr1	6.083582143261903	0.004911356746991641
e0409_29Dr2	6.390687316553076	0.006166972977128042
e0410_29Dr3	6.583346170121224	0.006502082698364319
e0411_29PRr1	6.435002277669019	0.009903210877632315
e0412_29PRr3	6.326891328084572	0.007233013334252541
e0413_29Sr1	5.753093155066937	0.006442033557397191
e0414_2Dr1	7.47704003450438	1.708532029280442e-05
e0415_2Dr3	7.697546412967579	1.5128969058016355e-05
e0416_2PRr2	6.0330582993530975	0.0
e0417_2Sr3	6.754129565278756	9.003560908339247e-06
e0418_30Dr1	6.168475710307141	0.0014858521038804426
e0419_30PRr1	6.541340633427495	0.0014804647955015684
e0420_30PRr3	5.76361823469813	0.0002893270903882281
e0421_30Sr1	5.3931752571223	0.002929747930718823
e0422_30Sr3	5.896735978951934	0.002920214599721047
e0423_31Dr2	6.016185606074043	0.012390381527540321
e0424_31PRr2	4.750769274962032	0.00023990883464283572
e0425_31PRr3	5.4657328778554755	0.0002941796339878464
e0426_31Sr2	6.253465325406667	0.0015090440542847457
e0427_32PRr2	5.9290774910106325	0.019725272041132863
e0428_33Dr2	5.770920890645858	0.006061097698828517
e0429_33PRr1	5.464575420524788	0.0018112221081131546
e0430_33PRr2	5.226634025275592	0.002541846703582154
e0431_33Sr1	6.039677344691125	0.005495603517186251
e0432_34Dr2	5.082874839203976	0.005452799434851556
