sample	Shannon	csp_rel	site	compartment	trip	S	Cl	Na	P
V60PRr2	5.86936488938469	0.0006010172923565	60	rhizosphere	5	0.27	0.54	0.12	0.11
V6Dr1	7.316495737976562	0.0	6	deep	5	0.064	0.041	0.11	0.21
V6PRr1	6.4243534160765705	0.0	6	rhizosphere	5	0.07	0.066	0.16	0.041
V6PRr2	6.357427168516143	9.304686178311624e-05	6	rhizosphere	5	0.07	0.066	0.16	0.041
V6PRr3	5.520279607807068	0.0	6	rhizosphere	5	0.07	0.066	0.16	0.041
V6Sr1	6.408921725188833	0.0	6	surface	5	0.027	0.083	0.13	0.081
V6Sr3	6.37443817074948	0.0	6	surface	5	0.027	0.083	0.13	0.081
V7Dr1T	5.959748051013497	0.0203877646713311	7	deep	5	0.047	0.13	0.13	0.2
V7Dr3R	5.88120519136176	0.0221097296441725	7	deep	5	0.047	0.13	0.13	0.2
V7Dr3	5.700748487534641	0.019929199927787	7	deep	5	0.047	0.13	0.13	0.2
V7PRr1O	6.3291080959454575	0.0039285034228081	7	rhizosphere	5	0.036	0.071	0.07	0.0
V7PRr1T	6.1505963294041255	0.0045888670861907	7	rhizosphere	5	0.036	0.071	0.07	0.0
V7PRr1	6.207171559113666	0.0033593627253275	7	rhizosphere	5	0.036	0.071	0.07	0.0
V7PRr2	5.508287065474857	0.007519516598809	7	rhizosphere	5	0.036	0.071	0.07	0.0
V7PRr3	5.28932798649384	0.0095167271977086	7	rhizosphere	5	0.036	0.071	0.07	0.0
V8Dr3	7.177119968610017	0.0053333009366685	8	deep	5	0.03	0.006	0.42	0.28
V8PRr1	6.698132051182824	0.0017140092484891	8	rhizosphere	5	0.031	0.071	0.13	0.0
V8PRr2	6.40769161245318	0.0013230432835223	8	rhizosphere	5	0.031	0.071	0.13	0.0
V8PRr3	6.214931858647388	0.0014004623008684	8	rhizosphere	5	0.031	0.071	0.13	0.0
V9PRr1	6.422262495156975	0.0003553190029503	9	rhizosphere	5	0.041	0.042	0.032	0.0
V9PRr2	6.159698223391828	0.001605951440072	9	rhizosphere	5	0.041	0.042	0.032	0.0
V9PRr3	6.800607764502855	0.0003459951066406	9	rhizosphere	5	0.041	0.042	0.032	0.0
