cite_key	doi_or_identifier	retrieval_source	examined_format	local_sha256	distribution
armstrong2016temporal	https://doi.org/10.1038/srep34434	Scientific Reports	published PDF	9ee9669b86be5efe89f94f0d410c7a182d07c938984283c5dfbf867249e6550d	local custody only
baselga2010partition	https://doi.org/10.1111/j.1466-8238.2009.00490.x	author laboratory site	published PDF	e7c5d191ee0fc84d1de1bea2b3f4ac395a6be3853b4770ba8fba548efd7a9c0f	local custody only
carini2020temporal	https://doi.org/10.1128/mBio.02776-19	Europe PMC PMC6974563	JATS XML	d609927741d7f8d63ce31f1fa66df2e49ccccf3996315957eef539d7b16772ca	local custody only
coleine2024dryland	https://doi.org/10.1093/ismejo/wrae056	Europe PMC PMC11031246	JATS XML	283b56a1bc083be1b101c447c9cd9e7b33a5030870e29fa492d61fe703bdaff1	local custody only
fierer2006toward	https://doi.org/10.1073/pnas.0507535103	PubMed Central PMC1334650	HTML	757efd96035ca033e99e38534ad790136394bf9c3276dfe1a555f760c4b02f8c	local custody only
gloor2017microbiome	https://doi.org/10.3389/fmicb.2017.02224	Frontiers	published PDF	32cf8e632d4648fabd1bf02124891f403299df5f205cc2a5ff95c55394e2a0f1	local custody only
guillot2013mantel	https://doi.org/10.1111/2041-210X.12018	arXiv 1112.0651v2	author manuscript PDF	66844824822228bbb5141db10aa0dcd7ecbd5e75e1d29c9a9a60cff2202163a3	local custody only
hanson2012biogeography	https://doi.org/10.1038/nrmicro2795	University of Hawaii course archive	published PDF	5612595f7d8065977efee86b7c8db80ec7146a0d2376fd5bc46a5002423a8476	local custody only
huang2015dryland	https://doi.org/10.1038/nclimate2837	Lanzhou University author site	published PDF	15226b6fdb6777649fb8f8a284e6b061c38579efefca88fd294fe0d69ded830c	local custody only
klindworth2013primers	https://doi.org/10.1093/nar/gks808	Europe PMC PMC3592464	JATS XML	d04632f48140b963b2c17184fc188f4b659b5003f7802c963d6f1d222b7bbbc0	local custody only
kurtz2015spieceasi	https://doi.org/10.1371/journal.pcbi.1004226	PLOS Computational Biology	published PDF	bda074fd8f1ffa410040a52673e8f4a1c8866ea16cac0156a95716b0bdd29890	local custody only
maestre2015increasing	https://doi.org/10.1073/pnas.1516684112	PubMed Central PMC4697385	HTML	311d626e27d53bec536e27d36a2c5b6720c6e763e424b221a69fb0df8ebe3aed	local custody only
murgia2019sandfungi	https://doi.org/10.1002/mbo3.595	Europe PMC PMC6341031	JATS XML	4b1744468a28c86fd3e9d7ad02c06c5944116d2d8179e356be4456b0502ae4df	local custody only
noymeir1973desert	https://doi.org/10.1146/annurev.es.04.110173.000325	DocsLib/JSTOR transcription	HTML	4c47def14aa4e56314d1e8a90e114ce810c12ad8ab7429d7465668f573bbd5b8	local custody only
schwinning2004pulse	https://doi.org/10.1007/s00442-004-1520-8	University of Buenos Aires author site	published PDF	ef14c273914f46901128a6d517edaa5e92cac900befd42752cd6b97a597b5ad8	local custody only
zhou2024biocrust	https://doi.org/10.3389/fmicb.2024.1404602	Frontiers	published PDF	7aeaf6f44f28847251cec7cf4707b9d1b02470dae9a7b893e8fe1b4dbf90c9b5	local custody only
