K00697	otsA	trehalose-6-phosphate synthase
K01087	otsB	trehalose-6-phosphate phosphatase
K05343	treS	trehalose synthase
K06044	treY	malto-oligosyltrehalose synthase
K01236	treZ	malto-oligosyltrehalose trehalohydrolase
K13057	treT	trehalose glycosyltransferring synthase
K00108	betA	choline dehydrogenase
K00130	betB	betaine aldehyde dehydrogenase
K00499	cdh	choline dehydrogenase alt
K17755	gbsA	glycine betaine biosynthesis A
K17756	gbsB	glycine betaine biosynthesis B
K06718	ectA	ectoine biosynthesis A
K06720	ectB	ectoine biosynthesis B
K06721	ectC	ectoine biosynthesis C
K10674	ectD	ectoine hydroxylase
K01858	ino1	myo-inositol-1-phosphate synthase
K05845	opuA	glycine betaine/proline ABC
K05846	opuB	choline ABC
K05847	opuC	glycine betaine/carnitine/choline
K05848	opuD	general osmoprotectant
K03451	proP	proline/glycine betaine symporter
K02168	betT	high-affinity choline
K02000	proV	proU ATP-binding
K02001	proW	proU membrane
K02002	proX	proU substrate-binding
K02176	treA	trehalase
K02779	treB	PTS trehalose permease
K01226	treC	trehalose-6-phosphate hydrolase
K03486	treR	trehalose operon regulator
