sample	DADA2_input	filtered	denoisedF	denoisedR	merged	nonchim
CTL_Ctrl1_Trip1	747599	627104	625502	625438	570117	281716
CTL_Ctrl2	424218	378610	374832	376131	338306	322257
CTL_Ctrl3	357876	316155	303353	310043	233722	201379
CTL_ExtractionCtrlPro_Trip1	524640	442208	441516	441023	417837	408918
CTL_NegCtrl1_Trip2	397129	354725	342621	347559	240141	105840
CTL_NegCtrl2_Trip2	402053	356432	345301	349837	236486	87301
CTL_NTC2	346583	295115	292263	292238	179718	76084
CTL_PCRCtrl_Trip1	53700	46383	43582	43717	30360	28427
TRIP4_EB1	233053	208767	208190	208404	187673	180892
TRIP4_EB2	218757	191264	191062	190835	183916	179685
TRIP4_EB3	39860	35041	35027	34998	30434	28224
TRIP4_EB4	34259	30149	30131	30046	26352	24443
TRIP4_EB5	30706	26949	26898	26916	24007	23495
TRIP4_SEB	22079	19740	18818	18760	15983	15021
