picrust2_id	sequence_index	sample_id
e0325_10Dr2	0325	10Dr2
e0326_10PRr2	0326	10PRr2
e0327_10Sr2	0327	10Sr2
e0328_10Sr3	0328	10Sr3
e0329_11Dr3	0329	11Dr3
e0330_11PRr3	0330	11PRr3
e0331_11Sr2	0331	11Sr2
e0332_12PRr1	0332	12PRr1
e0333_12PRr3	0333	12PRr3
e0334_12Sr1	0334	12Sr1
e0335_12Sr3	0335	12Sr3
e0336_13Dr1	0336	13Dr1
e0337_13Dr3	0337	13Dr3
e0338_13Sr2	0338	13Sr2
e0339_14Dr1	0339	14Dr1
e0340_14Dr3	0340	14Dr3
e0341_14PRr1	0341	14PRr1
e0342_14PRr2	0342	14PRr2
e0343_14Sr2	0343	14Sr2
e0344_15Dr1	0344	15Dr1
e0345_15Dr3	0345	15Dr3
e0346_15PRr1	0346	15PRr1
e0347_15PRr2	0347	15PRr2
e0348_15PRr3	0348	15PRr3
e0349_15Sr1	0349	15Sr1
e0350_15Sr3	0350	15Sr3
e0351_16Dr1	0351	16Dr1
e0352_16Dr3	0352	16Dr3
e0353_16PRr2	0353	16PRr2
e0354_16PRr3	0354	16PRr3
e0355_16Sr1	0355	16Sr1
e0356_17Dr1	0356	17Dr1
e0357_17Dr3	0357	17Dr3
e0358_17PRr2	0358	17PRr2
e0359_18PRr1	0359	18PRr1
e0360_18PRr2	0360	18PRr2
e0361_18Sr1	0361	18Sr1
e0362_18Sr2	0362	18Sr2
e0363_19Dr2	0363	19Dr2
e0364_1Dr1	0364	1Dr1
e0365_1Dr2	0365	1Dr2
e0366_1PRr2	0366	1PRr2
e0367_1PRr3	0367	1PRr3
e0368_1Sr1	0368	1Sr1
e0369_1Sr3	0369	1Sr3
e0370_20Dr2	0370	20Dr2
e0371_20PRr1	0371	20PRr1
e0372_20PRr2	0372	20PRr2
e0373_21Dr1	0373	21Dr1
e0374_21Sr1	0374	21Sr1
e0375_21Sr2	0375	21Sr2
e0376_22Dr1	0376	22Dr1
e0377_22Dr2	0377	22Dr2
e0378_22PRr1	0378	22PRr1
e0379_22PRr3	0379	22PRr3
e0380_23Dr1	0380	23Dr1
e0381_23Sr2	0381	23Sr2
e0382_24Dr1	0382	24Dr1
e0383_24Dr2	0383	24Dr2
e0384_24PRr2	0384	24PRr2
e0385_25Dr1	0385	25Dr1
e0386_25Dr3	0386	25Dr3
e0387_25PRr2	0387	25PRr2
e0388_25Sr1	0388	25Sr1
e0389_25Sr2	0389	25Sr2
e0390_26Dr1	0390	26Dr1
e0391_26Dr2	0391	26Dr2
e0392_26Dr3	0392	26Dr3
e0393_26PRr2	0393	26PRr2
e0394_26PRr3	0394	26PRr3
e0395_26Sr2	0395	26Sr2
e0396_26Sr3	0396	26Sr3
e0397_27Dr1	0397	27Dr1
e0398_27Dr3	0398	27Dr3
e0399_27PRr1	0399	27PRr1
e0400_27PRr2	0400	27PRr2
e0401_27Sr2	0401	27Sr2
e0402_27Sr3	0402	27Sr3
e0403_28Dr1	0403	28Dr1
e0404_28Dr3	0404	28Dr3
e0405_28PRr3	0405	28PRr3
e0406_28Sr2	0406	28Sr2
e0407_28Sr3	0407	28Sr3
e0408_29Dr1	0408	29Dr1
e0409_29Dr2	0409	29Dr2
e0410_29Dr3	0410	29Dr3
e0411_29PRr1	0411	29PRr1
e0412_29PRr3	0412	29PRr3
e0413_29Sr1	0413	29Sr1
e0414_2Dr1	0414	2Dr1
e0415_2Dr3	0415	2Dr3
e0416_2PRr2	0416	2PRr2
e0417_2Sr3	0417	2Sr3
e0418_30Dr1	0418	30Dr1
e0419_30PRr1	0419	30PRr1
e0420_30PRr3	0420	30PRr3
e0421_30Sr1	0421	30Sr1
e0422_30Sr3	0422	30Sr3
e0423_31Dr2	0423	31Dr2
e0424_31PRr2	0424	31PRr2
e0425_31PRr3	0425	31PRr3
e0426_31Sr2	0426	31Sr2
e0427_32PRr2	0427	32PRr2
e0428_33Dr2	0428	33Dr2
e0429_33PRr1	0429	33PRr1
e0430_33PRr2	0430	33PRr2
e0431_33Sr1	0431	33Sr1
e0432_34Dr2	0432	34Dr2
e0433_34PRr1	0433	34PRr1
e0434_34PRr3	0434	34PRr3
e0435_34Sr1	0435	34Sr1
e0436_34Sr3	0436	34Sr3
e0437_35Dr2	0437	35Dr2
e0438_35Dr3	0438	35Dr3
e0439_35Sr2	0439	35Sr2
e0440_36Dr2	0440	36Dr2
e0441_36Dr3	0441	36Dr3
e0442_36Sr3	0442	36Sr3
e0443_37Dr2	0443	37Dr2
e0444_37Dr3	0444	37Dr3
e0445_37PRr2	0445	37PRr2
e0446_37PRr3	0446	37PRr3
e0447_37Sr1	0447	37Sr1
e0448_37Sr2	0448	37Sr2
e0449_38Dr2	0449	38Dr2
e0450_38Dr3	0450	38Dr3
e0451_38PRr2	0451	38PRr2
e0452_38Sr2	0452	38Sr2
e0453_39Dr2	0453	39Dr2
e0454_39PRr1	0454	39PRr1
e0455_39PRr3	0455	39PRr3
e0456_39Sr3	0456	39Sr3
e0457_3Dr2	0457	3Dr2
e0458_3PRr1	0458	3PRr1
e0459_3PRr3	0459	3PRr3
e0460_40Dr1	0460	40Dr1
e0461_40Dr2	0461	40Dr2
e0462_40PRr2	0462	40PRr2
e0463_41PRr2	0463	41PRr2
e0464_42Dr1	0464	42Dr1
e0466_42PRr1	0466	42PRr1
e0467_42PRr2	0467	42PRr2
e0468_42Sr1	0468	42Sr1
e0469_42Sr2	0469	42Sr2
e0470_43Dr1	0470	43Dr1
e0471_43Dr2	0471	43Dr2
e0472_43PRr2	0472	43PRr2
e0473_43Sr2	0473	43Sr2
e0474_44Dr2	0474	44Dr2
e0475_44PRr3	0475	44PRr3
e0476_45Dr3	0476	45Dr3
e0477_45PRr2	0477	45PRr2
e0478_46PRr1	0478	46PRr1
e0480_47Dr2	0480	47Dr2
e0481_47Dr3	0481	47Dr3
e0482_47PRr1	0482	47PRr1
e0483_47Sr1	0483	47Sr1
e0484_48Dr2	0484	48Dr2
e0486_48Sr2	0486	48Sr2
e0487_49Dr2	0487	49Dr2
e0488_49Sr2	0488	49Sr2
e0489_49Sr3	0489	49Sr3
e0490_4Dr3	0490	4Dr3
e0491_4PRr1	0491	4PRr1
e0492_4PRr2	0492	4PRr2
e0493_4PRr3	0493	4PRr3
e0494_4Sr1	0494	4Sr1
e0495_50Dr1	0495	50Dr1
e0496_50Dr2	0496	50Dr2
e0497_50PRr2	0497	50PRr2
e0498_50Sr1	0498	50Sr1
e0499_50Sr3	0499	50Sr3
e0500_51Dr1	0500	51Dr1
e0501_51Dr3	0501	51Dr3
e0502_51PRr3	0502	51PRr3
e0503_52Dr1	0503	52Dr1
e0504_53Dr2	0504	53Dr2
e0505_53Dr3	0505	53Dr3
e0506_53PRr2	0506	53PRr2
e0507_54PRr1	0507	54PRr1
e0508_54PRr2	0508	54PRr2
e0509_54PRr3	0509	54PRr3
e0510_54Sr1	0510	54Sr1
e0511_54Sr2	0511	54Sr2
e0512_54Sr3	0512	54Sr3
e0513_55Dr2	0513	55Dr2
e0514_55PRr3	0514	55PRr3
e0515_55Sr3	0515	55Sr3
e0516_56Dr1	0516	56Dr1
e0517_56Dr3	0517	56Dr3
e0518_56Sr1	0518	56Sr1
e0519_56Sr3	0519	56Sr3
e0520_57Dr3	0520	57Dr3
e0521_57PRr3	0521	57PRr3
e0522_58PRr1	0522	58PRr1
e0523_58Sr2	0523	58Sr2
e0524_58Sr3	0524	58Sr3
e0525_59PRr3	0525	59PRr3
e0526_5Dr1	0526	5Dr1
e0527_5Sr1	0527	5Sr1
e0528_5Sr3	0528	5Sr3
e0529_60Sr3	0529	60Sr3
e0530_62PRr2	0530	62PRr2
e0531_62Sr3	0531	62Sr3
e0532_63PRr3	0532	63PRr3
e0533_63Sr3	0533	63Sr3
e0534_64Dr3	0534	64Dr3
e0535_64PRr2	0535	64PRr2
e0536_64PRr3	0536	64PRr3
e0537_64Sr1	0537	64Sr1
e0538_64Sr2	0538	64Sr2
e0539_64Sr3	0539	64Sr3
e0540_6Dr1	0540	6Dr1
e0541_6PRr2	0541	6PRr2
e0542_6Sr2	0542	6Sr2
e0543_7Sr1	0543	7Sr1
e0544_7Sr2	0544	7Sr2
e0545_8Sr3	0545	8Sr3
e0546_9Dr1	0546	9Dr1
e0547_9Dr3	0547	9Dr3
e0548_9PRr2	0548	9PRr2
e0549_9PRr3	0549	9PRr3
e0550_9Sr1	0550	9Sr1
e0551_9Sr2	0551	9Sr2
e0552_9Sr3	0552	9Sr3
e0592_S22PRr1	0592	S22PRr1
e0593_S22Sr1	0593	S22Sr1
e0594_S22Dr1	0594	S22Dr1
e0595_S28PRr1	0595	S28PRr1
e0596_S28Sr1	0596	S28Sr1
e0597_S28Dr2	0597	S28Dr2
e0598_S35PRr1	0598	S35PRr1
e0599_S35Sr1	0599	S35Sr1
e0600_S35Dr1	0600	S35Dr1
e0601_S43PRr1	0601	S43PRr1
e0602_S43Sr1	0602	S43Sr1
e0603_S43Dr1	0603	S43Dr1
e0604_S53PRr1	0604	S53PRr1
e0605_S53Sr1	0605	S53Sr1
e0606_S53Dr1	0606	S53Dr1
e0607_S46PRr1	0607	S46PRr1
e0608_S46Sr1	0608	S46Sr1
e0609_S46Dr1	0609	S46Dr1
e0610_S47PRr1	0610	S47PRr1
e0611_S47Sr1	0611	S47Sr1
e0612_S47Dr1	0612	S47Dr1
e0613_S58PRr1	0613	S58PRr1
e0614_S58Sr1	0614	S58Sr1
e0615_S58Dr1	0615	S58Dr1
e0616_S13PRr1	0616	S13PRr1
e0617_S13Sr1	0617	S13Sr1
e0618_S13Dr1	0618	S13Dr1
e0619_S25PRr1	0619	S25PRr1
e0620_S25Sr1	0620	S25Sr1
e0621_S25Dr1	0621	S25Dr1
e0622_S54PRr1	0622	S54PRr1
e0623_S54Sr1	0623	S54Sr1
e0624_S54Dr1	0624	S54Dr1
e0625_S55PRr1	0625	S55PRr1
e0626_S55Sr1	0626	S55Sr1
e0627_S55Dr1	0627	S55Dr1
e0628_S44PRr1	0628	S44PRr1
e0629_S44Sr1	0629	S44Sr1
e0630_S44Dr1	0630	S44Dr1
e0631_S38PRr1	0631	S38PRr1
e0632_S38Sr1	0632	S38Sr1
e0633_S38Dr1	0633	S38Dr1
e0634_S41PRr1	0634	S41PRr1
e0635_S41Sr1	0635	S41Sr1
e0636_S41Dr1	0636	S41Dr1
e0637_S33PRr1	0637	S33PRr1
e0638_S33Sr1	0638	S33Sr1
e0639_S33Dr1	0639	S33Dr1
e0640_S2Sr1	0640	S2Sr1
e0641_S2Dr1	0641	S2Dr1
e0642_S27PRr1	0642	S27PRr1
e0643_S27Sr1	0643	S27Sr1
e0644_S27Dr1	0644	S27Dr1
e0645_S51PRr1	0645	S51PRr1
e0646_S51Sr1	0646	S51Sr1
e0647_S51Dr1	0647	S51Dr1
e0648_S16PRr1	0648	S16PRr1
e0649_S16Sr1	0649	S16Sr1
e0650_S16Dr1	0650	S16Dr1
e0651_S56PRr1	0651	S56PRr1
e0652_S56Sr1	0652	S56Sr1
e0653_S56Dr1	0653	S56Dr1
e0654_S57PRr1	0654	S57PRr1
e0655_S57Sr1	0655	S57Sr1
e0656_S57Dr1	0656	S57Dr1
e0657_S60PRr1	0657	S60PRr1
e0658_S60Sr1	0658	S60Sr1
e0659_S60Dr1	0659	S60Dr1
e0660_S37PRr1	0660	S37PRr1
e0661_S37Sr1	0661	S37Sr1
e0662_S37Dr1	0662	S37Dr1
e0663_S49PRr1	0663	S49PRr1
e0664_S49Sr1	0664	S49Sr1
e0665_S49Dr1	0665	S49Dr1
e0666_S45PRr1	0666	S45PRr1
e0667_S45Sr1	0667	S45Sr1
e0668_S45Dr1	0668	S45Dr1
e0669_S59PRr1	0669	S59PRr1
e0670_S59Sr1	0670	S59Sr1
e0671_S59Dr1	0671	S59Dr1
e0672_S4PRr1	0672	S4PRr1
e0673_S4Sr1	0673	S4Sr1
e0674_S4Dr1	0674	S4Dr1
e0675_S8PRr1	0675	S8PRr1
e0676_S8Sr1	0676	S8Sr1
e0677_S8Dr1	0677	S8Dr1
e0678_S11PRr1	0678	S11PRr1
e0679_S11Sr1	0679	S11Sr1
e0680_S11Dr1	0680	S11Dr1
e0681_S36Sr1	0681	S36Sr1
e0682_S36PRr1	0682	S36PRr1
e0683_S36Dr1	0683	S36Dr1
e0685_S6PRr1	0685	S6PRr1
e0686_S6Sr1	0686	S6Sr1
e0687_S6Dr1	0687	S6Dr1
e0688_S9PRr1	0688	S9PRr1
e0689_S9Sr1	0689	S9Sr1
e0690_S9Dr1	0690	S9Dr1
e0691_S12PRr1	0691	S12PRr1
e0692_S12Sr1	0692	S12Sr1
e0693_S12Dr1	0693	S12Dr1
e0694_S15PRr1	0694	S15PRr1
e0695_S15Sr1	0695	S15Sr1
e0696_S15Dr1	0696	S15Dr1
e0697_S17PRr1	0697	S17PRr1
e0698_S17Sr1	0698	S17Sr1
e0699_S17Dr1	0699	S17Dr1
e0700_S23PRr1	0700	S23PRr1
e0701_S23Sr1	0701	S23Sr1
e0702_S23Dr1	0702	S23Dr1
