trip	extraction_blank	blank_table_column	sample_id	canonical_column	in_canonical_table	duplicate_assignment
Trip4	EB	TRIP4_SEB	S4PRr1	e0672_S4PRr1	True	False
Trip4	EB	TRIP4_SEB	S4Sr1	e0673_S4Sr1	True	False
Trip4	EB	TRIP4_SEB	S4Dr1	e0674_S4Dr1	True	False
Trip4	EB	TRIP4_SEB	S8PRr1	e0675_S8PRr1	True	False
Trip4	EB	TRIP4_SEB	S8Sr1	e0676_S8Sr1	True	False
Trip4	EB	TRIP4_SEB	S8Dr1	e0677_S8Dr1	True	False
Trip4	EB	TRIP4_SEB	S11PRr1	e0678_S11PRr1	True	False
Trip4	EB	TRIP4_SEB	S11Sr1	e0679_S11Sr1	True	False
Trip4	EB	TRIP4_SEB	S11Dr1	e0680_S11Dr1	True	False
Trip4	EB	TRIP4_SEB	S36PRr1	e0682_S36PRr1	True	False
Trip4	EB	TRIP4_SEB	S36Sr1	e0681_S36Sr1	True	False
Trip4	EB	TRIP4_SEB	S36Dr1	e0683_S36Dr1	True	False
Trip4	EB	TRIP4_SEB	S59Sr1	e0670_S59Sr1	True	False
Trip4	EB1	TRIP4_EB1	S6PRr1	e0685_S6PRr1	True	False
Trip4	EB1	TRIP4_EB1	S6Sr1	e0686_S6Sr1	True	False
Trip4	EB1	TRIP4_EB1	S6Dr1	e0687_S6Dr1	True	False
Trip4	EB1	TRIP4_EB1	S9PRr1	e0688_S9PRr1	True	False
Trip4	EB1	TRIP4_EB1	S9Sr1	e0689_S9Sr1	True	False
Trip4	EB1	TRIP4_EB1	S9Dr1	e0690_S9Dr1	True	False
Trip4	EB1	TRIP4_EB1	S12PRr1	e0691_S12PRr1	True	False
Trip4	EB1	TRIP4_EB1	S12Sr1	e0692_S12Sr1	True	False
Trip4	EB1	TRIP4_EB1	S12Dr1	e0693_S12Dr1	True	False
Trip4	EB1	TRIP4_EB1	S15PRr1	e0694_S15PRr1	True	False
Trip4	EB1	TRIP4_EB1	S15Sr1	e0695_S15Sr1	True	False
Trip4	EB1	TRIP4_EB1	S15Dr1	e0696_S15Dr1	True	False
Trip4	EB1	TRIP4_EB1	S17PRr1	e0697_S17PRr1	True	False
Trip4	EB1	TRIP4_EB1	S17Sr1	e0698_S17Sr1	True	False
Trip4	EB1	TRIP4_EB1	S17Dr1	e0699_S17Dr1	True	False
Trip4	EB1	TRIP4_EB1	S29PRr1	e0703_S29PRr1	True	False
Trip4	EB1	TRIP4_EB1	S29Sr1	e0704_S29Sr1	True	False
Trip4	EB1	TRIP4_EB1	S29Dr1	e0705_S29Dr1	True	False
Trip4	EB1	TRIP4_EB1	S30PRr1	e0706_S30PRr1	True	False
Trip4	EB1	TRIP4_EB1	S30Sr1	e0707_S30Sr1	True	False
Trip4	EB1	TRIP4_EB1	S30Dr1	e0708_S30Dr1	True	False
Trip4	EB1	TRIP4_EB1	S23Dr1	e0702_S23Dr1	True	False
Trip4	EB2	TRIP4_EB2	S3PRr1	e0709_S3PRr1	True	False
Trip4	EB2	TRIP4_EB2	S3Sr1	e0710_S3Sr1	True	False
Trip4	EB2	TRIP4_EB2	S3Dr1	e0711_S3Dr1	True	False
Trip4	EB2	TRIP4_EB2	S7PRr1	e0712_S7PRr1	True	False
Trip4	EB2	TRIP4_EB2	S7Sr1	e0713_S7Sr1	True	False
Trip4	EB2	TRIP4_EB2	S7Dr1	e0714_S7Dr1	True	False
Trip4	EB2	TRIP4_EB2	S14PRr1	e0715_S14PRr1	True	False
Trip4	EB2	TRIP4_EB2	S14Sr1	e0716_S14Sr1	True	False
Trip4	EB2	TRIP4_EB2	S14Dr1	e0717_S14Dr1	True	False
Trip4	EB2	TRIP4_EB2	S21PRr1	e0718_S21PRr1	True	False
Trip4	EB2	TRIP4_EB2	S21Sr1	e0719_S21Sr1	True	False
Trip4	EB2	TRIP4_EB2	S21Dr1	e0720_S21Dr1	True	False
Trip4	EB2	TRIP4_EB2	S32PRr1	e0727_S32PRr1	True	False
Trip4	EB2	TRIP4_EB2	S32Sr1	e0728_S32Sr1	True	False
Trip4	EB2	TRIP4_EB2	S32Dr1	e0729_S32Dr1	True	False
Trip4	EB2	TRIP4_EB2	S39PRr1	e0730_S39PRr1	True	False
Trip4	EB2	TRIP4_EB2	S39Sr1	e0731_S39Sr1	True	False
Trip4	EB2	TRIP4_EB2	S39Dr1	e0732_S39Dr1	True	False
Trip4	EB2	TRIP4_EB2	S48PRr1	e0724_S48PRr1	True	False
Trip4	EB2	TRIP4_EB2	S48Sr1	e0725_S48Sr1	True	False
Trip4	EB2	TRIP4_EB2	S48Dr1	e0726_S48Dr1	True	False
Trip4	EB2	TRIP4_EB2	S31PRr1	e0721_S31PRr1	True	False
Trip4	EB2	TRIP4_EB2	S31Sr1	e0722_S31Sr1	True	False
Trip4	EB3	TRIP4_EB3	S50PRr1	e0733_S50PRr1	True	False
Trip4	EB3	TRIP4_EB3	S50Sr1	e0734_S50Sr1	True	False
Trip4	EB3	TRIP4_EB3	S50Dr1	e0735_S50Dr1	True	False
Trip4	EB3	TRIP4_EB3	S23PRr1	e0700_S23PRr1	True	False
Trip4	EB3	TRIP4_EB3	S23Sr1	e0701_S23Sr1	True	False
Trip4	EB3	TRIP4_EB3	S31Dr1	e0723_S31Dr1	True	False
Trip4	EB3	TRIP4_EB3	S1Dr1	e0738_S1Dr1	True	False
Trip4	EB4	TRIP4_EB4	S5PRr1	e0739_S5PRr1	True	False
Trip4	EB4	TRIP4_EB4	S5Sr1	e0740_S5Sr1	True	False
Trip4	EB4	TRIP4_EB4	S5Dr1	e0741_S5Dr1	True	False
Trip4	EB4	TRIP4_EB4	S10PRr1	e0742_S10PRr1	True	False
Trip4	EB4	TRIP4_EB4	S10Sr1	e0743_S10Sr1	True	False
Trip4	EB4	TRIP4_EB4	S10Dr1	e0744_S10Dr1	True	False
Trip4	EB4	TRIP4_EB4	S20PRr1	e0745_S20PRr1	True	False
Trip4	EB4	TRIP4_EB4	S20Sr1	e0746_S20Sr1	True	False
Trip4	EB4	TRIP4_EB4	S20Dr1	e0747_S20Dr1	True	False
Trip4	EB4	TRIP4_EB4	S24PRr1	e0748_S24PRr1	True	False
Trip4	EB4	TRIP4_EB4	S24Sr1	e0749_S24Sr1	True	False
Trip4	EB4	TRIP4_EB4	S24Dr1	e0750_S24Dr1	True	False
Trip4	EB4	TRIP4_EB4	S34PRr1	e0751_S34PRr1	True	False
Trip4	EB4	TRIP4_EB4	S34Sr1	e0752_S34Sr1	True	False
Trip4	EB4	TRIP4_EB4	S34Dr1		False	False
Trip4	EB4	TRIP4_EB4	S40PRr1		False	False
Trip4	EB4	TRIP4_EB4	S40Sr1	e0754_S40Sr1	True	False
Trip4	EB4	TRIP4_EB4	S40Dr1	e0755_S40Dr1	True	False
Trip4	EB4	TRIP4_EB4	S52PRr1	e0756_S52PRr1	True	False
Trip4	EB4	TRIP4_EB4	S52Sr1	e0757_S52Sr1	True	False
Trip4	EB4	TRIP4_EB4	S52Dr1	e0758_S52Dr1	True	False
Trip4	EB4	TRIP4_EB4	S1PRr1	e0736_S1PRr1	True	False
Trip4	EB4	TRIP4_EB4	S1Sr1	e0737_S1Sr1	True	False
Trip4	EB5	TRIP4_EB5	S19PRr1	e0759_S19PRr1	True	False
Trip4	EB5	TRIP4_EB5	S19Sr1	e0760_S19Sr1	True	False
Trip4	EB5	TRIP4_EB5	S19Dr1	e0761_S19Dr1	True	False
Trip4	EB5	TRIP4_EB5	S26PRr1	e0762_S26PRr1	True	False
Trip4	EB5	TRIP4_EB5	S26Sr1	e0763_S26Sr1	True	False
Trip4	EB5	TRIP4_EB5	S26Dr1	e0764_S26Dr1	True	False
Trip4	EB5	TRIP4_EB5	S42PRr1	e0765_S42PRr1	True	False
Trip4	EB5	TRIP4_EB5	S42Sr1	e0766_S42Sr1	True	False
Trip4	EB5	TRIP4_EB5	S42Dr1	e0767_S42Dr1	True	False
Trip5	EB1	EB1	V12PRr1	V12PRr1	True	False
Trip5	EB1	EB1	V12Sr1	V12Sr1	True	False
Trip5	EB1	EB1	V16Dr1		False	False
Trip5	EB1	EB1	V16PRr1	V16PRr1	True	False
Trip5	EB1	EB1	V16Sr1		False	False
Trip5	EB1	EB1	V23Dr1	V23Dr1	True	False
Trip5	EB1	EB1	V23PRr1	V23PRr1	True	False
Trip5	EB1	EB1	V25PRr1	V25PRr1	True	False
Trip5	EB1	EB1	V33PRr1	V33PRr1	True	False
Trip5	EB1	EB1	V5Dr1	V5Dr1	True	False
Trip5	EB1	EB1	V5PRr1	V5PRr1	True	False
Trip5	EB1	EB1	V5Sr1	V5Sr1	True	False
Trip5	EB1	EB1	V60PRr1	V60PRr1	True	False
Trip5	EB1	EB1	V7Dr1		False	False
Trip5	EB1	EB1	V7PRr1	V7PRr1	True	False
Trip5	EB2	EB2	V10Dr1	V10Dr1	True	False
Trip5	EB2	EB2	V13PRr1	V13PRr1	True	False
Trip5	EB2	EB2	V15Dr1	V15Dr1	True	False
Trip5	EB2	EB2	V15PRr1	V15PRr1	True	False
