site	Domibacillus	Massilia	Bacillus	Microvirga	Flavisolibacter	Herpetosiphon	Noviherbaspirillum	Streptomyces	Paenibacillus	Nocardioides	Rubrobacter	Ammoniphilus	Lysinibacillus	Deinococcus	Rubellimicrobium	Geodermatophilus	Ramlibacter	Ectobacillus	Acidiferrimicrobium	Neobacillus	Planococcus	Nibribacter	Bradyrhizobium	Adhaeribacter	Metabacillus	Solirubrobacter	Ellin6055	Halomonas	Symbiobacterium	Arthrobacter	Sphingoaurantiacus	Blastococcus	Nitrolancea	Pontibacter	Tumebacillus	Roseomonas	CSP1-2	Chthoniobacter	Pseudomonas	Aeromonas	Pseudonocardia	Lysobacter	Cytophaga	Saccharopolyspora	Archangium	Actinomadura	Cellulomonas	Pirellula	Segetibacter	Halalkalibacter	Chelativorans	Oxalophagus	Steroidobacter	Devosia	Gemmatimonas	Gaiella	Phenylobacterium	Cnuella	Aquibacillus	Prauserella	Roseisolibacter	Vallicoccus	Verrucosispora	Azospirillum	Sphingomonas	Telluribacter	Mycobacterium	Acidibacter	Brucella	Pir4 lineage	MND1	Croceibacterium	Marmoricola	Daejeonella	Bryobacter	Pedomicrobium	Opitutus	Escherichia-Shigella	Sediminibacillus	DSSF69	Terribacillus	Peredibacter	Subgroup 10	Limnobacter	Nitrospira	Truepera	Kallotenue	Litchfieldia	Novosphingobium	Sporocytophaga	OM27 clade	Arenimicrobium	Kocuria	Parviterribacter	Arcticibacter	Roseicella	Nitrosomonas	Actinophytocola	Mesobacillus	Dongia	Lautropia	Saccharibacillus	Brevibacillus	Rhodocista	Pelagibacterium	Caulobacter	Baekduia	Isoptericola	Saccharomonospora	Gemmata	Pantoea	Georgenia	Kineococcus	Streptococcus	Glycomyces	Conexibacter	TM7a	Blastocatella	Cystobacter	Niallia	[Polyangium] brachysporum group	Saccharothrix	Amycolatopsis	Falsirhodobacter	Gracilibacillus	Rubritepida	Methylobacillus	Caenimonas	Aridibacter	Oceanobacillus	SH-PL14	Brevundimonas	Neorhizobium	Turicibacter	Sumerlaea	Polycyclovorans	Thermosipho	Limibaculum	Corynebacterium	YC-ZSS-LKJ147	Pajaroellobacter	Phaselicystis	Luteitalea	Myxococcus	Aeromicrobium	Azohydromonas	Herbaspirillum	Staphylococcus	Polygonibacillus	Arsenicitalea	Aureibacillus	Nesterenkonia	Paracoccus	Hydrocarboniphaga	Rufibacter	Abditibacterium	Caldilinea	Bauldia	Anaeromyxobacter	Plastorhodobacter	Tepidisphaera	Ohtaekwangia	Candidatus Alysiosphaera	Fimbriiglobus	Enterococcus	SM1A02	Rhizorhabdus	Actinoplanes	Longispora	Acinetobacter	JCM 18997	Allorhizocola	Rhodoplanes	Litorilinea	Crossiella	Ornithinibacillus	Nonomuraea	Modestobacter	Nordella	Paraconexibacter	Pelagibius	Fictibacillus	Rhodococcus	Mangrovihabitans	Peribacillus	PMMR1	Cupriavidus	Sandaracinobacter	I-8	Luedemannella	Rhodocytophaga	Niastella	Thermobaculum	Pseudalkalibacillus	Sandaracinus	Kineosporia	Plantactinospora	Tautonia	SZB85	MM2
11	-0.142939	-0.25842	-0.276746	0.192464	0.660014	0.205695	0.242307	0.241698	0.065096	0.126739	0.849009	-0.651725	0.038614	0.848268	0.508565	1.112162	0.445539	0.490756	0.297863	0.416002	-1.270328	-1.788876	0.448682	0.144882	-0.793525	1.16224	0.938447	-0.151513	0.772354	-0.35571	0.435738	1.486222	-0.950944	-2.504627	0.609566	-0.12291	0.182442	-0.577577	-1.418332	-0.372948	0.471226	0.077578	-1.484718	-1.496049	1.124385	0.105142	1.58569	0.80807	0.46966	-2.862924	0.729856	0.398423	1.318383	-0.935176	0.768483	0.969791	0.232975	0.829267	-2.292079	-2.627903	1.266626	0.843724	2.043275	-0.890675	0.616116	-1.402928	2.192919	0.651903	0.044803	-0.248277	0.491226	0.18809	1.245175	-1.804382	1.189752	0.278264	-0.048742	-1.903634	-1.832111	-0.421271	-0.049411	-0.050648	0.305526	2.846767	0.727591	-0.893604	1.907708	-1.645094	-0.397375	0.270059	-0.014868	2.409522	-0.045276	1.22638	-0.715542	0.325221	-0.132403	0.173457	-0.353454	0.785037	0.206339	-1.162381	0.288597	-1.395353	-0.912361	0.595667	1.151056	-0.205801	0.536576	0.40361	-1.409661	0.267765	-0.638757	-0.432489	-0.26624	0.89428	-0.725973	1.275	0.64315	0.967278	1.148413	0.521747	-0.534274	-2.894576	-0.031768	1.349284	-0.900174	0.993687	0.360823	0.022519	-0.273392	-0.986762	-0.387842	0.849905	0.79139	-1.017862	-1.069486	-1.495376	-0.210609	0.426787	0.552393	0.583383	0.568815	-0.052529	1.739489	-1.786593	0.265064	-1.227637	-1.991116	-0.179239	1.499837	-1.092439	-0.401468	-1.715399	-0.572808	0.953063	1.063008	-0.25323	-0.280558	-3.075255	-0.575424	0.101001	-1.077002	-2.278286	-1.230949	-0.271491	-0.308202	0.518586	-0.317801	-0.697852	-0.403748	1.191885	-0.65782	1.797692	-1.401856	-0.541265	0.876195	0.144212	0.671114	1.362765	-0.14886	-1.626587	1.883795	0.68618	0.957621	1.516742	-0.352041	-0.947003	-1.307077	1.234328	2.030595	1.402421	-0.122911	-1.712446	-0.3576	0.837375	0.878626	-0.001558	0.477347	-2.223988
12	0.040588	0.189736	-0.353604	0.401827	0.548041	0.283742	0.246411	0.937675	-0.032701	-0.071141	0.736853	-0.486204	-0.509462	0.737451	0.360165	0.856614	0.339994	0.41309	0.769434	-0.111798	-2.393934	-1.074868	-0.401156	0.402482	-0.753553	0.838323	0.973013	-2.767685	0.318442	-0.035219	0.458129	1.180284	-0.782451	-1.892438	0.749749	0.084612	-0.260064	0.644685	-1.770385	-0.837253	0.045568	0.423099	0.145798	-1.499101	1.449093	-0.520205	1.438874	1.194897	0.563415	-3.812929	1.370695	0.676237	1.425914	-0.217283	0.698787	1.267635	0.131859	0.410341	-2.355748	-2.338236	0.996798	1.020751	1.011664	-0.38895	0.867885	-0.383409	0.980518	0.724578	-0.130075	0.417767	1.039833	0.175766	0.977224	-0.107966	1.371124	0.256096	0.720504	-1.671025	-1.949666	-1.09116	0.634512	-0.470237	1.792795	2.806721	1.237302	-2.087687	1.843566	-2.306722	-1.21183	0.699357	0.422383	4.441158	-1.980773	0.772152	-0.521503	1.123653	0.408096	1.442581	-0.697912	1.151999	0.813959	-0.433292	-0.174946	-2.781904	-2.094007	0.207409	1.254542	-0.620466	0.941775	1.61444	-1.482569	-1.296239	-0.946758	-1.598517	-0.972575	0.61068	-0.484335	2.857279	1.544211	0.101573	1.001581	0.98323	-0.145656	-3.044731	-2.585918	1.302735	-1.479844	1.454675	2.228561	-0.295923	0.021203	-1.490563	-1.21957	-1.282319	-0.032287	0.507712	-1.568798	-1.539161	-1.901457	2.254608	0.311963	1.125433	1.632928	-1.14094	0.481095	-0.931492	0.745238	-1.368486	-1.946512	-0.026412	0.683139	-1.915904	-1.918733	0.317972	-0.708819	1.061208	1.648531	-0.986724	-0.276055	-2.563028	-0.880344	0.038301	0.233512	0.588283	-1.165761	-0.153989	-0.159343	1.783937	0.097518	-1.436757	-0.78365	0.770239	0.362754	1.674767	-2.024533	-1.527775	1.129078	-0.658917	1.486451	1.929348	-2.13438	-1.150367	-0.583055	1.307456	0.041208	0.905652	0.123508	-0.483716	0.383132	2.619185	2.37257	0.644885	-0.949025	-2.426892	0.640306	-1.068146	0.906265	0.947135	1.491108	-2.156689
13	-0.096423	0.49904	-0.904119	0.275829	0.520887	0.595748	0.576342	0.650235	-0.30567	-5.7e-05	0.396225	-1.15017	-0.703377	1.400456	0.79511	1.184772	0.221091	-0.301327	0.237069	-0.336856	-0.109687	-1.449572	-1.560039	0.213487	-0.458127	0.692298	1.286565	-1.374118	0.105474	-0.180979	0.389043	1.486813	-0.377142	-0.747454	-1.865895	-0.061463	0.381702	0.199156	-1.310935	-0.816071	0.838992	0.935161	1.112042	0.519045	0.786812	0.247103	1.344006	0.622165	0.445021	-0.717933	1.100635	0.057232	0.508885	-0.505673	0.905655	0.221522	0.485499	0.623626	-1.243109	0.572687	1.556925	0.670215	0.181653	0.220254	0.912039	-1.275434	0.902337	0.823647	0.493794	0.199556	-0.385339	-0.019346	0.662136	-0.535943	0.65204	-0.751243	0.355276	-1.089001	-1.195404	0.038532	2.126715	-0.078971	-0.581744	2.99545	-1.232478	-0.389278	2.67936	-1.526924	-0.404277	1.338012	0.160402	3.384323	0.059748	0.571283	0.711242	0.1339	-0.256382	0.666865	-0.678597	-0.641882	1.259303	-2.593095	-1.494105	-0.754935	0.798193	1.048386	0.136601	-0.305845	2.454338	0.271892	-1.053946	1.180419	-0.641239	-0.340858	-0.090611	0.433542	-0.447639	2.638953	0.370421	0.283279	0.135533	-1.060041	-1.144346	-3.659574	-1.350739	0.967835	-1.959508	1.102318	2.922618	0.010314	-0.74911	-0.564132	0.239125	0.823695	0.684842	-1.5469	-1.073479	-1.210376	-0.431893	1.688151	-0.300469	0.713481	0.877903	-0.823002	1.06739	-1.829955	0.397637	-1.044618	-1.884307	-0.119809	-1.598447	-0.79272	-1.230049	-0.024197	-0.157607	-0.30304	1.346639	-0.899019	0.39576	-2.858978	-2.112565	-1.622187	0.187	-0.764186	-0.873414	-1.12676	0.276848	1.511495	-0.643757	-1.572587	0.18649	-0.735897	0.24032	-0.19332	-1.629271	-0.894778	-0.912385	-0.860309	-1.116432	1.989282	0.149887	0.183831	0.1405	2.278625	0.294869	1.561266	-0.418324	-1.210723	-0.153519	1.342903	2.338139	-0.595094	-0.222928	-1.098743	-0.206587	0.723244	-1.68558	1.337415	1.407885	-1.721329
14	0.096535	-0.190503	-0.499578	-0.848949	-0.995309	1.33502	-0.380089	2.094082	0.207352	0.532077	1.251872	-0.578529	0.632524	-0.920311	-0.719181	-0.009834	-0.543278	0.072084	-0.899786	0.020579	0.458464	0.397702	-1.948207	-0.45408	0.13656	0.123779	-0.603856	1.183962	-0.320438	-0.594522	0.327365	-0.300479	1.823154	-0.989746	-0.424542	-0.638391	0.177385	-0.675214	0.818055	0.003113	1.406856	-0.011383	-0.720274	3.537616	-0.092565	2.536334	-0.227603	-0.404891	-1.191287	-1.473765	1.491769	0.368312	0.539478	0.259	-0.561009	-0.311372	0.386503	-1.596816	-1.794871	4.538392	-0.588158	-0.355936	-1.04407	-0.825461	-1.487028	-0.508861	0.422873	-0.238446	0.569096	-0.591449	-0.309706	0.243689	-0.59567	1.310393	-1.347623	-0.735905	-0.772819	-0.590125	-0.952809	2.510214	2.168654	-0.14179	-1.102831	-0.1207	-0.517047	-0.905535	-0.259017	-1.354436	3.032801	-1.760405	-0.426519	-1.518017	-0.593569	-0.360223	0.437884	-0.302965	-0.028112	2.331513	-1.165207	0.310288	-0.456813	-0.088086	0.193724	0.726828	3.779588	0.409533	-0.635007	-0.780248	1.472168	-0.712834	1.290311	2.976061	-1.761699	1.547286	1.793308	0.095811	1.241592	-0.741593	0.759155	0.236889	0.136811	-0.116315	-0.927492	2.596311	1.01859	-1.064866	0.982147	-0.803555	-1.747268	2.052787	-1.105684	1.612466	1.27804	-0.607835	-0.000223	0.932911	0.136576	-0.133713	-1.72878	-1.582148	-0.397155	-0.53188	-1.585171	0.66175	1.3385	0.250846	-1.602103	0.560326	-0.828253	-1.390683	-2.166814	4.040661	1.611924	4.421195	0.461339	-0.246428	0.495202	-1.514501	-0.266741	2.724365	0.083945	0.54421	0.374202	1.364999	-1.10661	-0.542653	0.74035	-1.464547	-0.700037	0.282416	1.588895	-1.286586	-2.678564	-1.848208	0.850036	0.521779	-0.104233	-0.72558	-0.90878	-0.563306	-1.353977	-1.281805	1.984492	-0.641152	-1.031992	-1.118437	0.072093	1.383136	0.044104	-0.950014	-0.270672	-1.051204	-0.48556	-1.391021	-0.052598	-1.181834	0.308259	-1.881859	-2.131712	1.626674
15	-0.788389	-0.452757	-0.911177	-0.448649	-0.505698	-0.587414	-0.441609	0.75087	-0.641955	0.201201	-0.212867	-0.561661	-0.045695	-1.046467	-1.131068	-0.475892	-0.311827	0.209156	-0.285837	-0.380861	-0.786539	-0.06866	-2.064574	-0.014288	-0.332449	0.350153	0.142035	0.27195	-0.35628	-0.449111	-0.168018	0.23315	-0.472076	0.008809	0.39559	-0.13779	-1.146869	0.288477	-0.768718	-0.498398	1.201733	-0.263119	-0.670086	1.462061	-0.854236	0.373154	0.325971	0.350087	-0.71284	-0.285113	0.946952	-0.305131	0.660828	0.239332	0.029981	0.170931	-0.01658	-1.008015	0.164081	2.121279	-0.779974	-0.615247	-0.697032	-0.295884	-0.592457	-0.199832	1.231547	-0.303838	-0.226704	0.388346	-0.209586	0.694437	0.01769	0.975205	-0.141257	0.670025	0.197283	-1.086514	-0.199957	1.757136	2.15587	-0.005804	-0.63013	0.242936	-0.640107	-0.586063	0.997859	-0.422154	1.595455	-0.552645	-0.120287	0.454278	-1.919211	0.19286	-0.328206	0.022502	-0.440683	1.340348	0.313227	0.140137	-0.896978	-1.46824	0.568595	0.233163	1.743769	1.736569	-0.020429	1.095938	0.854114	0.283623	0.162986	2.509333	-1.415053	-1.312327	-0.983345	-0.108438	0.939984	0.411462	-1.666881	-0.135611	0.349628	0.087486	-0.222581	0.280874	0.590696	-0.392717	0.715945	-0.243187	-0.018674	1.683603	-0.581258	0.774354	1.444613	-0.77361	0.358071	-0.312071	-0.566879	0.728448	-1.907333	0.084107	-0.274697	-0.387672	0.321704	-0.080285	2.072784	-0.556558	-0.787588	-1.828299	-1.185272	0.059864	-2.636734	2.606841	-0.198056	1.556408	-0.201871	0.374808	0.656868	-0.222256	-0.067965	0.103501	0.147486	-0.892125	-0.358919	0.212603	-1.027246	0.46497	2.337157	-0.267259	0.607863	-1.339279	0.674498	-0.444548	-0.073574	0.425434	-0.964724	0.772254	0.495894	-0.254653	0.564805	0.833083	0.520429	1.189664	3.30764	0.101737	-0.413611	-0.041695	0.506096	1.170329	0.766797	-1.369635	0.523012	-0.102647	-1.161606	-0.826945	-0.225891	-1.936366	-1.167088	-0.041282	0.089152	0.578273
16	-0.577229	-0.18353	-0.557379	-0.195611	0.007236	0.270322	-0.235659	1.072028	-0.30043	0.252157	-0.194384	-0.897962	0.457418	0.332306	-0.450217	0.117422	-0.351997	0.097378	-0.42304	-0.367281	0.319556	-0.015184	-1.303397	-0.153242	-0.35412	0.439513	0.382344	0.173705	-0.319377	0.042616	0.142776	0.255614	-0.199257	-0.354034	-0.288902	0.066771	-0.545139	0.517872	0.154498	-1.174624	0.507136	-0.081849	0.22795	1.177306	-0.766777	0.651681	0.703132	0.30815	-0.401717	0.288214	-0.115188	-0.200748	0.357718	0.407302	0.526372	-0.003215	0.409343	-0.109376	-1.68917	1.832931	0.682031	-0.470347	-0.264778	-0.362782	-0.022066	-0.253562	1.577617	0.018901	-0.918506	-0.351729	-0.543255	0.552904	0.35755	1.026403	0.165053	0.348641	0.137413	-0.500275	-1.913298	1.351861	2.048394	-0.146061	-1.142034	0.069591	-0.696742	-1.338794	0.90603	-0.036036	-0.552527	0.866766	-0.109368	-1.443581	-0.751203	0.289181	0.200538	0.360203	-0.658182	-0.204904	1.757832	0.265992	-0.245108	-0.270317	0.263638	0.023802	0.944144	2.445054	-0.066225	1.340176	1.092907	0.154107	0.983367	1.405164	-0.368635	-0.05686	0.062022	1.1426	0.309003	0.291359	-0.11438	0.991943	-1.145361	0.656667	-1.895041	-1.460918	0.073137	0.004228	0.667732	0.018243	0.44543	0.165779	-0.065566	-0.33786	-0.242993	-0.21184	0.78008	0.090555	-1.532526	-2.558954	-1.039919	-0.709037	-0.035525	0.151938	0.97486	0.844384	2.114378	-1.262833	-0.351989	-1.153715	-1.578818	0.9777	-1.967076	2.712485	-0.250209	-0.153203	-0.123879	-0.033321	0.259961	0.162023	0.415395	-2.134687	-1.476122	-0.047466	-1.412583	-0.024018	-0.317499	0.171533	2.008352	0.323886	-0.706345	-0.637658	1.317725	-0.996057	-0.596329	-0.202261	0.254568	1.77365	1.250236	-0.307553	-0.696958	1.174099	-0.112893	-0.621248	2.55855	0.008478	0.498341	-0.309046	0.567731	1.621134	0.034955	0.119188	-0.107269	-0.79937	-0.998733	-2.27626	0.086888	-0.360977	-0.465437	0.304657	-1.36646	-0.82449
17	-0.399749	0.149686	-0.85257	0.173494	0.341053	0.536831	0.303528	1.333872	-0.033965	0.319601	-0.314752	-0.974626	-0.088145	-0.270028	-0.084559	0.117757	0.242817	0.290364	0.067115	-0.776125	0.232856	0.689772	-0.983315	0.371868	-0.729347	0.174949	-0.005949	-1.878912	0.026506	-0.299641	0.424277	-0.060303	-0.535069	-0.176826	-0.122658	1.231501	0.518924	0.997352	0.280753	-1.260317	0.350449	-0.415383	0.005999	0.642668	0.726368	-0.374531	0.776849	0.720301	0.286972	-1.829979	-0.150355	0.039704	0.759713	0.546256	0.447518	0.431265	0.366144	0.379802	-1.165411	0.924543	0.316731	-0.703488	-0.893007	0.737879	0.309978	0.612043	-0.141944	0.18417	0.122228	-0.395989	0.366802	-0.252046	0.346431	1.329968	0.918674	0.06314	1.097152	-1.161442	-1.414313	-0.3104	-1.95538	0.168171	-0.023714	-0.153077	-0.129612	-2.629298	-0.37467	-1.235817	0.022657	0.314638	0.254005	-2.482387	0.412742	0.235362	1.1359	1.030899	0.252968	1.820228	-1.290802	0.976411	-0.46498	0.965853	-1.276483	-0.05743	-0.447927	-0.971361	0.742776	0.195285	-1.820062	1.372401	1.598383	-3.607394	1.508939	-0.552129	0.531011	0.036373	0.28897	0.27293	-1.655076	-0.138054	1.071083	0.872529	2.454382	1.992857	-2.146148	0.290269	0.756748	1.114142	0.5693	-1.088913	0.245659	1.336926	1.778844	-1.311879	-0.342366	2.202371	0.04733	-1.572889	-1.049518	-2.014802	1.084965	0.759742	1.375398	1.391612	0.034497	1.026546	-0.150136	-1.469225	-1.741163	1.45707	0.181694	-1.574158	-0.067492	-2.239065	-0.239811	0.97701	0.71713	0.325368	0.4449	-1.108675	1.705708	1.32112	0.336991	1.27049	-1.804935	1.041008	-0.402253	0.416133	-1.53663	-0.843798	1.006257	0.173695	0.952975	-1.747021	-1.836239	-1.881351	0.470441	1.109957	1.253331	0.860649	-1.004587	-0.857295	-2.146531	-0.152779	-1.466905	0.196459	1.161893	0.95975	0.932363	0.082037	-0.154715	1.919838	-0.502895	-2.353933	0.672144	-2.080722	1.640261	-0.569578	-2.451556	1.467362
18	0.84091	1.210483	-0.220242	0.701244	1.373894	0.524819	1.054259	1.383613	0.13428	0.77865	0.569706	-0.299994	0.48286	1.267913	1.19882	0.947576	0.778597	0.445768	-0.088752	-0.053178	1.298326	-0.144648	-0.042488	0.110433	-0.637717	0.29454	0.682529	-1.498017	0.725837	0.537333	0.737358	0.728501	0.598997	-0.317938	0.589721	0.459312	1.43796	-0.511178	0.390734	-0.16457	-1.030469	1.289412	0.802113	0.681196	0.54606	-0.365766	0.946647	0.165278	0.896009	-1.705676	-0.400983	0.954183	-0.000951	-1.222247	0.60948	0.702473	1.00135	1.2721	-1.366187	-0.664871	1.228297	1.393997	0.878439	-1.056068	0.867431	-0.170464	-2.181713	-0.950902	-0.622468	-2.167133	-0.127129	-1.78521	1.183401	-1.173429	-0.615423	-0.717867	0.450033	0.728577	-0.475299	0.957588	-0.469557	-0.299706	-1.906914	1.855941	0.118926	-1.702933	-0.636374	-0.302274	-0.219876	0.218262	0.490228	0.558237	0.995327	0.240283	1.314668	-0.550572	0.909113	-1.04433	-0.626081	-0.396022	1.54966	0.283449	1.12017	-2.480557	-2.214272	0.71247	-0.557453	-0.417797	-0.191457	-0.161553	0.494794	-0.890339	-1.123405	-0.124694	1.997715	0.787861	-1.2236	0.423299	0.575968	0.515801	1.505398	0.541995	-0.599294	-1.557133	-1.172897	1.697712	0.565486	1.989326	0.505675	0.36889	-1.435043	-1.230858	-1.351992	-0.538698	-0.240958	0.755414	-0.091072	-0.385432	-0.794978	-1.554857	-0.500604	0.164312	-0.103012	0.636875	-1.884402	1.163354	1.437228	0.880303	-0.991811	-1.253426	0.765903	-0.982921	0.090816	-1.681599	0.163863	-0.445149	1.470485	-0.16867	0.085592	-2.006567	-0.727779	-0.32982	-0.559116	0.135925	0.478469	-0.168804	-0.294445	1.518234	-0.95555	-0.423508	1.049565	0.611317	-1.367068	-0.162751	-1.058105	-1.190256	-0.552032	0.286497	-0.325758	0.644734	-1.381577	0.801263	-1.561083	1.48153	0.807276	0.425196	-0.150806	-1.288648	-0.673218	-0.600779	0.759279	-0.910857	-0.147919	-1.309748	-1.387566	1.704657	0.548655	-1.393249	-0.18133	-0.650547
19	0.787274	1.014595	-0.661935	-0.078459	0.555521	0.452308	0.320895	0.425717	-0.116649	-0.074617	0.098602	-0.678959	0.305488	0.377488	0.265799	-0.330173	0.137109	0.399322	-0.092674	-0.149364	1.142988	1.632224	-0.46131	0.267174	-0.553761	-0.178184	-0.23513	-2.677956	-0.182689	0.381787	0.287474	-0.733404	0.686944	-0.593543	-1.039465	0.599367	1.396394	0.732332	1.223076	-1.056355	-0.078968	0.428189	1.036932	0.618263	-1.039914	0.643957	-0.28219	0.450521	0.854347	-1.811882	0.385382	0.225151	0.260671	0.534541	0.00461	-0.426288	0.404732	0.948913	-2.346851	0.784192	0.461549	-0.520196	0.079495	0.415231	0.360423	1.637928	-0.629132	0.030972	0.168577	-0.820176	-0.573271	-0.274758	-0.415189	1.487935	-0.171352	-0.655275	0.572608	-1.946605	-1.805093	0.614003	-1.320044	0.166199	-1.181734	0.630642	-0.792578	-2.221627	0.422098	-1.223546	0.221491	0.496814	0.244804	-1.994367	-0.501413	-0.305375	1.110898	0.095928	1.426385	0.438587	-1.599001	0.996132	0.66589	2.015439	-0.998824	0.392025	0.093791	0.059099	-0.399484	0.322766	-0.475488	-0.303242	1.944637	-1.759959	0.010939	-1.153914	1.642318	-0.085757	0.182286	0.812893	-1.520731	-0.277804	0.380452	1.219716	-0.493842	1.525867	-2.639793	0.642963	1.298117	1.308712	0.334002	-0.889432	0.853551	1.109548	2.076786	-0.066419	0.468149	0.280079	0.521944	-0.625951	-1.69109	-1.065519	0.474207	0.005561	0.131612	1.823974	-1.5007	-0.002612	0.136095	-2.482982	-1.861593	0.796133	-0.332956	-0.971832	-0.167222	-2.291632	1.86959	0.765362	1.097939	0.413006	-0.197932	-0.486987	1.457218	0.632819	0.076175	1.454601	-2.487765	-0.878921	-0.342056	1.208725	-0.353503	-2.1505	0.56904	1.600869	-0.06848	-0.954655	-0.055853	-1.300578	0.890064	0.009057	0.252601	0.717162	-2.271527	-0.498667	-2.48067	0.589668	-0.949084	0.398925	1.538738	-0.292505	-1.098142	2.130576	-0.248359	1.474901	0.268323	-1.413522	0.152834	1.118567	0.849262	-1.023365	-0.728147	0.956897
20	0.834357	0.665806	-0.07187	0.158896	1.170092	0.378562	0.531698	0.117569	0.023402	0.587147	0.612086	-0.160734	-0.265346	1.59429	0.935424	0.809418	0.629894	1.379757	0.353898	0.51292	0.33399	0.765264	-0.073138	0.298432	-0.191394	0.535203	0.623236	-2.165872	0.510717	-0.121592	0.467653	1.020555	0.579397	-0.379046	-0.40379	0.317431	1.037205	0.257351	-0.10146	-1.081662	-0.327676	1.012499	1.424427	0.589796	0.080939	0.497949	1.162542	0.361195	0.762797	-2.397882	0.005211	1.435217	0.612668	-1.321277	0.633821	0.705769	0.604327	1.345634	-1.915839	0.67316	1.24431	1.089618	-0.545482	-0.281897	0.808593	0.650489	-0.488855	-0.171196	-0.687138	-0.305325	0.510015	-0.712273	0.68028	-0.397361	0.363163	-0.056553	0.662297	-0.404875	-1.767049	-1.205686	-1.800956	0.649401	0.162201	1.769635	0.57688	-1.960901	-0.191064	-0.35757	-0.518583	0.606433	0.207342	0.027093	0.562575	0.511463	0.719123	0.138156	-0.145553	-0.508918	0.103759	0.651066	0.876769	1.284632	0.995318	-3.686738	-1.634091	-0.414841	0.34761	-1.679812	-2.172436	0.022265	-0.872129	-0.870921	0.802652	-0.906824	1.2552	0.920797	-2.13851	1.252941	0.372982	-0.253083	1.016687	0.416108	0.372237	-1.262384	-0.160057	1.297859	0.659481	1.37459	1.156654	-0.138703	-0.516728	-0.574717	-0.511793	-0.733426	0.03267	-0.155666	-1.016322	-2.021741	0.859585	-0.895341	-0.328243	0.578028	0.654998	0.691502	0.79638	-0.053889	0.763415	-0.118193	-1.033026	0.365609	1.2077	-0.62875	-0.179894	-1.641541	0.997377	-0.028993	0.926048	-0.266785	0.358793	-2.927558	-0.732788	-0.243211	-1.309316	-0.410533	-1.280315	-1.922191	-0.621226	1.011859	0.237171	-1.154153	0.382021	0.457251	-0.382501	-1.050129	-0.763987	-0.742183	0.82666	1.760559	0.41909	0.281741	-1.071218	0.497259	-2.418803	1.54386	0.277065	1.020182	-0.407452	-2.829665	-1.145177	-0.342055	0.750374	-0.892138	-0.261291	-1.175157	-0.074645	1.714337	0.456428	-1.0325	0.395808	-1.760463
21	-0.764164	0.612653	-1.058057	-0.017788	0.303884	0.477131	0.939041	0.860027	-0.823026	0.71063	0.315508	-0.571475	-0.765952	-0.266517	0.171963	0.783515	0.968815	-0.174839	0.983906	-0.808911	-2.840284	-0.277719	-1.306662	-0.251387	-1.641214	0.53777	0.153683	-2.534723	-0.436956	-0.777682	-0.093553	0.21026	0.479674	-1.351862	-1.624661	1.039657	1.348586	0.474993	1.829205	-0.723383	1.245235	0.14214	-0.606264	1.333008	-0.001372	0.13663	-0.397071	0.749539	-0.285542	-1.87972	-0.416509	-0.552377	0.18701	0.476039	0.830916	1.224396	1.662675	-0.299009	-1.185991	1.466917	0.574532	0.265426	0.968014	0.913331	0.856874	0.118732	-1.271472	-0.056583	-0.309413	0.375478	0.614354	-1.264681	0.205628	0.64327	0.726861	0.360375	0.986118	-0.986399	-2.015556	-0.886232	-1.423894	0.685542	0.738959	-0.049543	0.195343	-1.198118	-1.311205	-1.338932	-0.555724	-0.169577	0.689859	-0.885541	-1.407332	0.434519	-1.039373	1.144488	-0.025181	1.647369	-1.16893	1.102233	0.926735	-0.348274	-0.723343	-0.85947	-1.501561	0.341683	1.35099	-0.376703	-2.676761	1.42198	0.054435	-1.20698	-1.718244	-0.2689	0.130042	0.443821	0.770136	1.074648	0.716191	-0.798917	0.493042	0.053409	1.332679	-0.801684	-1.21437	-0.154189	-0.421114	1.631253	-0.414965	-2.288977	0.713262	1.523588	0.092585	-1.093464	0.331708	2.386769	-0.106931	0.386334	-0.977286	-0.470405	1.101782	1.362909	1.082463	0.652067	1.559464	1.538322	-0.167198	-0.992283	-0.585279	0.96306	-0.339388	-0.405576	-0.532151	-0.785745	0.630416	-0.312151	1.451066	1.517014	0.52419	-2.49463	-0.44968	0.173132	-0.089911	1.454827	-1.142263	-0.466833	1.216011	0.28748	-0.566441	-0.427201	1.507063	0.6604	0.859332	0.275295	-1.331435	-1.703747	0.300752	-0.662763	1.00322	1.375153	-0.732547	0.197461	0.087449	0.424276	-0.436518	-0.49385	2.298232	-0.666818	0.570072	-0.339255	-0.02017	-0.82016	-0.702494	-1.399548	0.657658	0.165425	1.282505	0.481819	-1.11929	-0.032104
