set_a	set_b	n_profiles_a	n_profiles_b	n_genera_a	n_genera_b	n_shared	jaccard	fraction_of_a_in_b	fraction_of_b_in_a	top50_a_detected_in_b	top50_b_detected_in_a	note
Empty Quarter west third	Empty Quarter east third	469	309	368	317	267	0.6387559809	0.7255434783	0.8422712934	50	44	Same primers, workflow and taxonomy; genera detected in at least 10% of profiles after 20 subsamples to 8000 reads.
Empty Quarter west third	Empty Quarter central third	469	426	368	364	331	0.825436409	0.8994565217	0.9093406593	50	50	Same primers, workflow and taxonomy; genera detected in at least 10% of profiles after 20 subsamples to 8000 reads.
Empty Quarter central third	Empty Quarter east third	426	309	364	317	275	0.6773399015	0.7554945055	0.8675078864	50	45	Same primers, workflow and taxonomy; genera detected in at least 10% of profiles after 20 subsamples to 8000 reads.
Empty Quarter all core profiles	Atacama pit all depths (PRJEB39249)	1204	58	364	76	43	0.1083123426	0.1181318681	0.5657894737	17	31	Different primers (V3-V4 versus V4), DNA fraction (total versus intracellular), depth range and site design; same SILVA 138.2 nomenclature and the same detection rule. Presence comparison only.
Empty Quarter surface	Atacama pit 2.5-10 cm (PRJEB39249)	368	4	336	61	33	0.09065934066	0.09821428571	0.5409836066	15	32	Different primers (V3-V4 versus V4), DNA fraction (total versus intracellular), depth range and site design; same SILVA 138.2 nomenclature and the same detection rule. Presence comparison only.
