rank	class	n_asvs	mean_relative_abundance	median_relative_abundance	prevalence	mean_surface	mean_shallow_subsurface	mean_root_adjacent	mean_west_third	prevalence_west_third	mean_central_third	prevalence_central_third	mean_east_third	prevalence_east_third
1	Bacilli	39174	0.2095463859	0.1650530403	0.9975550122	0.1929216775	0.1736143186	0.2514757301	0.171172534	0.9979123173	0.1852819884	1	0.2990852418	0.9937694704
2	Gammaproteobacteria	60851	0.146748363	0.1292348451	0.9983700081	0.1748630479	0.1288610001	0.1390614905	0.1266819622	0.9979123173	0.1658281635	1	0.1513113884	0.9968847352
3	Actinobacteria	33860	0.132709006	0.115323276	0.9926650367	0.1318579212	0.1216687447	0.1422510801	0.1693045211	0.9979123173	0.1259917824	1	0.08703611744	0.9750778816
4	Alphaproteobacteria	27695	0.122030867	0.1068127962	0.9991850041	0.1240160669	0.1089735297	0.1309683167	0.1361950361	0.9979123173	0.09929189387	1	0.1311427192	1
5	Bacteroidia	16657	0.07137724242	0.06072216711	0.988590057	0.08206041049	0.05854334303	0.07330883977	0.06801272733	0.9958246347	0.08372850619	1	0.05996793742	0.9626168224
6	Chloroflexia	13054	0.06184339321	0.05014649059	0.9853300733	0.06625804837	0.07605547768	0.04695508962	0.07963679305	0.9979123173	0.06150230973	0.9976580796	0.03574558674	0.9501557632
7	Planctomycetes	14761	0.02414847816	0.01762157606	0.9714751426	0.01749383918	0.02757751951	0.02661485147	0.02247622934	0.9895615866	0.02825169636	0.9953161593	0.02118565266	0.9127725857
8	Acidimicrobiia	6067	0.02079057968	0.01174133539	0.9608801956	0.01552080775	0.03230427552	0.01567167048	0.02162327181	0.9770354906	0.02309955519	0.9882903981	0.01647658568	0.9003115265
9	Thermoleophilia	11667	0.01815044555	0.01251808896	0.9543602282	0.01779034159	0.02501687288	0.01291384189	0.0205010879	0.9749478079	0.0197488266	0.9882903981	0.01251659387	0.8785046729
10	Longimicrobiia	5687	0.01742288293	0.01330451445	0.9600651997	0.01901195887	0.02328169238	0.01146646383	0.01622785118	0.9791231733	0.01731295502	0.9859484778	0.01935235154	0.8971962617
