genus	phylum	n_sites	spearman_rho_route_position	p_value	east_minus_west_mean_clr	east_minus_west_ci_low	east_minus_west_ci_high	mean_clr_west_third	mean_clr_central_third	mean_clr_east_third	q_bh_200	supported_q_lt_0_05	direction	mean_relative_abundance_west_third	mean_relative_abundance_central_third	mean_relative_abundance_east_third
Tepidisphaera	Planctomycetota	60	0.3013059183	0.0193114801	0.835887536	0.1798519292	1.491923143	-0.4294968903	0.06819142977	0.4063906457	0.0327313222	True	increases_eastward	0.000457396855	0.000377806165	0.0004163767598
Mesobacillus	Bacillota	60	0.3086412892	0.01642504568	0.8452080857	0.1943446554	1.496071516	-0.2618634465	-0.2316882461	0.5833446392	0.02831904427	True	increases_eastward	0.0005287700582	0.0006988016239	0.002202054636
Ohtaekwangia	Bacteroidota	60	0.3222561823	0.01203702484	0.6316073841	0.06720564935	1.196009119	-0.5895483417	0.6427055431	0.04205904245	0.02130446874	True	increases_eastward	0.0002546061087	0.0006470236842	0.0003180798203
I-8	Planctomycetota	60	0.3255904418	0.01113151159	0.7332586736	0.2516740926	1.214843255	-0.4003226423	0.182051145	0.3329360313	0.02005677763	True	increases_eastward	0.0001060056156	0.0001758884672	0.0008289625016
Niastella	Bacteroidota	60	0.3297026952	0.01009634461	0.5100141948	-0.08585101147	1.105879401	-0.2271700157	0.06545251048	0.2828441791	0.01852540296	True	increases_eastward	0.0004558049539	0.0003375911269	0.0001442178615
Georgenia	Actinomycetota	60	0.330980828	0.009792095763	1.072945696	0.1179717745	2.027919618	-0.1412916361	-0.6447122758	0.9316540601	0.01813351067	True	increases_eastward	0.0007611721546	0.000769439089	0.0009891199738
SH-PL14	Planctomycetota	60	0.3424284523	0.00740335639	0.6078579442	0.1809960255	1.034719863	-0.2759247444	0.01035448021	0.3319331997	0.01451638508	True	increases_eastward	0.0004100479099	0.0002877854357	0.0006175576075
Hydrocarboniphaga	Pseudomonadota	60	0.3434287302	0.007221158353	1.047917289	0.1389443204	1.956890257	-0.4810952634	0.07559629994	0.5668220253	0.01429932347	True	increases_eastward	0.0006233588302	0.0009562481216	0.0001367568648
Paenibacillus	Bacillota	60	0.3670464018	0.003917289848	0.5579804061	0.09690932736	1.019051485	-0.2380454671	-0.04461055949	0.3199349389	0.008609428238	True	increases_eastward	0.01222717529	0.01341863079	0.01647319044
SM1A02	Planctomycetota	60	0.4015004168	0.0014751759	0.8996070528	0.309242216	1.489971889	-0.3713190555	-0.04266550688	0.5282879972	0.003512323571	True	increases_eastward	0.0002774277877	0.000480213496	0.0005463292629
Oceanobacillus	Bacillota	60	0.4083912198	0.001198064572	1.072920105	0.3038982907	1.84194192	-0.12168936	-0.7139877087	0.9512307454	0.002886902584	True	increases_eastward	0.0008288951482	0.0009145204414	0.0005065212455
Pseudomonas	Pseudomonadota	60	0.4106140595	0.001119233455	1.415008928	0.5491589469	2.280858909	-0.7358509503	0.3322994621	0.6791579777	0.002762640067	True	increases_eastward	0.004294189438	0.006841220565	0.004224543262
Falsirhodobacter	Pseudomonadota	60	0.4240066685	0.0007353562856	1.931896073	0.9557686473	2.908023498	-1.259459094	0.793018281	0.6724369789	0.001885528937	True	increases_eastward	0.0005616712189	0.001123694165	0.0006509298901
Streptococcus	Bacillota	60	0.4452347874	0.0003643913495	1.105318925	0.3975326038	1.813105247	-0.4773453924	0.14541103	0.627973533	0.0009589246038	True	increases_eastward	0.0002405954141	0.001815213135	0.000919117131
MM2	Pseudomonadota	60	0.4840789108	8.901613036e-05	1.284655581	0.6616913187	1.907619842	-0.930401383	0.7854832351	0.3542541976	0.0002781754074	True	increases_eastward	0.000200493765	0.0006276452054	0.0001893715033
Corynebacterium	Actinomycetota	60	0.4875798833	7.773483101e-05	1.721834274	0.9455891107	2.498079437	-0.5437929473	-0.2444520501	1.178041327	0.0002467772413	True	increases_eastward	8.291648408e-05	0.0004386679554	0.001377673904
Truepera	Deinococcota	60	0.4891358711	7.315655274e-05	2.787835124	1.675595709	3.900074538	-0.6955849354	-0.9961919247	2.092250188	0.0002359888798	True	increases_eastward	0.0002961066926	0.0001845940136	0.002550503568
Saccharomonospora	Actinomycetota	60	0.4936371214	6.127317139e-05	1.434839396	0.688708447	2.180970346	-0.4390472779	-0.3633816549	0.9957921183	0.0002008956439	True	increases_eastward	0.0008998777565	0.00102534204	0.001001160196
Brucella	Pseudomonadota	60	0.5059738816	3.721106895e-05	1.533155354	0.8718093536	2.194501354	-0.4589125053	-0.3465804063	1.074242848	0.0001240368965	True	increases_eastward	0.0002463791578	0.0003348041252	0.003094668791
Crossiella	Actinomycetota	60	0.5263684357	1.562214697e-05	1.644346185	0.8701946718	2.418497698	-0.5225143337	-0.2487620234	1.121831851	5.481455078e-05	True	increases_eastward	0.0001814404762	0.0001047537397	0.00050197629
Nesterenkonia	Actinomycetota	60	0.5357043623	1.030214785e-05	1.176903323	0.2697980674	2.084008579	-0.2969311826	-0.2979747922	0.8799721406	3.873597054e-05	True	increases_eastward	0.0004425444552	0.00137485824	0.0001872436243
