genus	phylum	n_sites	spearman_rho_route_position	p_value	east_minus_west_mean_clr	east_minus_west_ci_low	east_minus_west_ci_high	mean_clr_west_third	mean_clr_central_third	mean_clr_east_third	q_bh_200	supported_q_lt_0_05	direction	mean_relative_abundance_west_third	mean_relative_abundance_central_third	mean_relative_abundance_east_third
PMMR1	Pseudomonadota	60	-0.4818005001	9.714689019e-05	-1.646911594	-2.377841351	-0.9159818379	1.14674296	-0.8711921004	-0.5001686345	0.0002943845157	True	decreases_eastward	0.0006150109145	0.0001417429291	6.027248973e-05
Rhodocytophaga	Bacteroidota	60	-0.4656293415	0.000177549198	-1.7958911	-2.461787409	-1.12999479	1.382961129	-1.231023758	-0.4129299706	0.000529997606	True	decreases_eastward	0.0005340397626	0.0001001841925	6.278305629e-05
Nitrospira	Nitrospirota	60	-0.4646846346	0.0001837463042	-1.044124679	-1.670640255	-0.4176091029	0.2952225806	0.2861202588	-0.7489020982	0.0005404303066	True	decreases_eastward	0.001145200214	0.0008801394185	0.0006548924597
Sumerlaea	Sumerlaeota	60	-0.4631286468	0.0001943862196	-0.8650617635	-1.289849525	-0.4402740025	0.3598187289	0.0212841355	-0.5052430346	0.0005634383178	True	decreases_eastward	0.0005608489569	0.0005186955516	0.0004816312515
Saccharothrix	Actinomycetota	60	-0.4597388163	0.0002195440512	-0.9880558084	-1.472854686	-0.5032569309	0.4995992818	-0.09709915189	-0.4884565266	0.0006272687177	True	decreases_eastward	0.0008164369386	0.001118554087	0.0001171146998
Mangrovihabitans	Actinomycetota	60	-0.4591831064	0.0002239413199	-1.582210934	-2.255647206	-0.908774662	1.22510442	-1.055971682	-0.3571065144	0.0006308206195	True	decreases_eastward	0.0006276690202	9.788798319e-05	4.724640374e-05
Deinococcus	Deinococcota	60	-0.4520144485	0.0002883560197	-1.183477207	-1.864228131	-0.5027262823	0.5051028568	-0.01909326344	-0.67837435	0.0008009889436	True	decreases_eastward	0.01391976944	0.00835263197	0.00725800122
Novosphingobium	Pseudomonadota	60	-0.4477354821	0.0003344443903	-1.180597103	-1.770127558	-0.5910666477	0.2020295603	0.5366801483	-0.9785675428	0.0009162860008	True	decreases_eastward	0.001047036336	0.00185101346	0.0004373907
Chthoniobacter	Verrucomicrobiota	60	-0.4464573493	0.0003494583923	-1.307415113	-1.966638937	-0.6481912897	0.2399635155	0.5000186564	-1.067451598	0.0009444821414	True	decreases_eastward	0.003547844127	0.003581464955	0.002314005287
Dongia	Pseudomonadota	60	-0.4456237844	0.0003595781194	-1.275763213	-1.888631266	-0.6628951596	0.1947700441	0.7142901293	-1.080993169	0.000958874985	True	decreases_eastward	0.0009404259896	0.0009622458415	0.0003113004451
Caldilinea	Chloroflexota	60	-0.4432898027	0.0003893489743	-1.223560614	-1.820254709	-0.6268665196	0.4601466606	0.2114272149	-0.7634139539	0.001011296037	True	decreases_eastward	0.0004556346966	0.0004085614371	0.0001624311937
Modestobacter	Actinomycetota	60	-0.420450125	0.0008235205372	-0.9012160048	-1.479850148	-0.322581862	0.6153476149	-0.5295781157	-0.2858683899	0.002084862119	True	decreases_eastward	0.0005784954022	0.000230826796	0.0002044081033
Flavisolibacter	Bacteroidota	60	-0.4142261739	0.001001047239	-1.356041583	-2.030080125	-0.6820030408	0.3304798895	0.4884343413	-1.025561694	0.002502618097	True	decreases_eastward	0.02492088676	0.02266817103	0.01096712034
Sphingoaurantiacus	Pseudomonadota	60	-0.4102250625	0.001132682428	-1.204995713	-1.79709658	-0.6128948461	0.3444876859	0.2425408482	-0.860508027	0.002762640067	True	decreases_eastward	0.005455440855	0.004428029274	0.00308677626
Massilia	Pseudomonadota	60	-0.3987774382	0.001599661822	-1.07188252	-1.608627965	-0.5351370757	0.2634779869	0.4291639214	-0.8084045333	0.003763910169	True	decreases_eastward	0.03687854184	0.04576744523	0.01971404745
Kallotenue	Chloroflexota	60	-0.3981105863	0.001631548433	-1.774946473	-2.699000263	-0.8508926821	1.639920208	-1.814216751	-0.1350262652	0.003794298682	True	decreases_eastward	0.002161402068	0.0001191913424	0.0004499368441
Arcticibacter	Bacteroidota	60	-0.3949986107	0.001788010581	-0.9767600434	-1.46073854	-0.4927815467	0.2109240533	0.4013178848	-0.7658359902	0.004110369152	True	decreases_eastward	0.00116459589	0.001369615617	0.0007805357887
Vallicoccus	Actinomycetota	60	-0.3892192276	0.002114589107	-0.8029899081	-1.556964019	-0.04901579698	0.671347124	-0.7981244883	-0.1316427841	0.004805884333	True	decreases_eastward	0.002418089493	0.0009123916135	0.001228622114
Arthrobacter	Actinomycetota	60	-0.3798277299	0.002759834718	-0.7674391571	-1.414926562	-0.1199517519	0.368316463	-0.1204085393	-0.3991226941	0.006201875771	True	decreases_eastward	0.008561864752	0.003986227764	0.003278180182
Actinomadura	Actinomycetota	60	-0.3749374826	0.003160758428	-1.412286934	-2.045556421	-0.779017447	0.09957808032	1.037206582	-1.312708854	0.007023907618	True	decreases_eastward	0.002835826299	0.003177616698	0.0005724009092
Sporocytophaga	Bacteroidota	60	-0.365323701	0.00410231629	-0.7044165464	-1.312887252	-0.09594584059	0.3494169186	-0.126482435	-0.3549996278	0.008918078891	True	decreases_eastward	0.001191084086	0.0007167429809	0.000786727582
Fimbriiglobus	Planctomycetota	60	-0.3628785774	0.004378185348	-0.7535529952	-1.295244573	-0.2118614174	0.05591240469	0.5359525849	-0.6976405906	0.009415452361	True	decreases_eastward	0.0003326126512	0.0005328657224	0.0001855725354
Cnuella	Bacteroidota	60	-0.3615448736	0.004535456288	-1.177860083	-1.824541077	-0.5311790898	0.2559445936	0.4369247024	-0.9219154897	0.009649906995	True	decreases_eastward	0.001871767278	0.002523956025	0.00156175115
Rubellimicrobium	Pseudomonadota	60	-0.3606557377	0.004643052156	-0.8075932281	-1.436965942	-0.1782205139	0.3212620298	-0.04082378589	-0.4863311983	0.009774846644	True	decreases_eastward	0.01165126185	0.007642325854	0.007097451395
Verrucosispora	Actinomycetota	60	-0.3594887469	0.004787683602	-0.7010111719	-1.245238034	-0.1567843096	0.07056005504	0.4775831919	-0.6304511168	0.009974340838	True	decreases_eastward	0.001160978803	0.0009948687468	0.001424627947
Nonomuraea	Actinomycetota	60	-0.3590441789	0.004843816772	-0.8175734253	-1.348224155	-0.2869226958	0.7377531532	-0.7666265242	-0.07982027218	0.009987251076	True	decreases_eastward	0.0005437791233	0.0001435493128	5.912328594e-05
Ramlibacter	Pseudomonadota	60	-0.3552097805	0.005352533836	-1.059365871	-1.618297595	-0.500434146	0.1566173024	0.5417194493	-0.9027485683	0.01092353844	True	decreases_eastward	0.008093099186	0.01068983226	0.00480932803
Phaselicystis	Myxococcota	60	-0.3509308141	0.005975165941	-0.7213138426	-1.273688248	-0.168939437	0.09716236336	0.3919913608	-0.6241514792	0.0120710423	True	decreases_eastward	0.0003759403013	0.000486871144	0.0003070491825
Phenylobacterium	Pseudomonadota	60	-0.3476521256	0.006494380343	-0.9523425029	-1.483045894	-0.4216391122	0.2214420738	0.3005648418	-0.7309004291	0.01298876069	True	decreases_eastward	0.002273324915	0.003069145178	0.001329736166
Noviherbaspirillum	Pseudomonadota	60	-0.3362045013	0.008629843224	-0.8536007443	-1.331668043	-0.3755334458	0.2238143643	0.230899511	-0.62978638	0.01675697713	True	decreases_eastward	0.02224603949	0.0209971538	0.01227534874
Archangium	Myxococcota	60	-0.3350930814	0.008866538034	-0.6626732095	-1.358690293	0.03334387362	0.3068782542	-0.1385572955	-0.3557949553	0.01705103468	True	decreases_eastward	0.002866237588	0.002192209782	0.003169250588
Roseicella	Pseudomonadota	60	-0.3335926646	0.009195021667	-0.6076206392	-1.15383461	-0.0614066689	0.1856402956	0.03613995236	-0.4219803436	0.01751432698	True	decreases_eastward	0.00092617678	0.0008423879689	0.0007112848976
Nocardioides	Actinomycetota	60	-0.3330925257	0.009306841642	-0.8101886115	-1.302508177	-0.3178690456	0.176545205	0.2724297594	-0.6336434065	0.01756007857	True	decreases_eastward	0.0145346724	0.01358190474	0.007382548616
Lautropia	Pseudomonadota	60	-0.331258683	0.009727017674	-0.8209990678	-1.417420195	-0.2245779406	0.27849523	0.08916586655	-0.5425038378	0.01813351067	True	decreases_eastward	0.000773385464	0.0006982589951	0.0006146179737
Herbaspirillum	Pseudomonadota	60	-0.3260905807	0.01100089913	-0.7575836931	-1.282350497	-0.2328168889	0.22426475	0.146142359	-0.5333189431	0.02000163478	True	decreases_eastward	0.0005618008679	0.0005876625671	0.0003480924696
MND1	Pseudomonadota	60	-0.3246457349	0.01138188666	-0.721641902	-1.264056316	-0.1792274882	0.1592889351	0.281593227	-0.562352967	0.0203247976	True	decreases_eastward	0.001162987005	0.001028882019	0.001205313767
Roseomonas	Pseudomonadota	60	-0.3155320922	0.01405801407	-0.916086736	-1.486233893	-0.3459395794	0.05709005017	0.575010845	-0.8589966858	0.02466318258	True	decreases_eastward	0.003799933526	0.005413178625	0.002963359877
Saccharopolyspora	Actinomycetota	60	-0.3131981106	0.0148245984	-1.278308413	-2.109488457	-0.447128368	0.08353678021	0.9946115708	-1.194771632	0.02578191027	True	decreases_eastward	0.0042048568	0.003023973227	0.0006334470023
Pajaroellobacter	Myxococcota	60	-0.3075298694	0.01683709187	-0.6450736365	-1.106072882	-0.1840743912	0.02858004261	0.4605632188	-0.6164935939	0.02878135363	True	decreases_eastward	0.0004795902828	0.0005532652998	0.0004069278736
Niallia	Bacillota	60	-0.2955265351	0.02187974491	-0.5687906865	-1.148237379	0.01065600629	0.4688160452	-0.5105792643	-0.09997464137	0.03677268053	True	decreases_eastward	0.000948314152	0.0003405880851	0.000683442943
Aeromicrobium	Actinomycetota	60	-0.289802723	0.02470286699	-0.6683261111	-1.300129406	-0.03652281651	0.5800072483	-0.6064790307	-0.0883188628	0.04117144499	True	decreases_eastward	0.0006484964829	0.0006904271617	0.0004687530773
Daejeonella	Bacteroidota	60	-0.2821339261	0.02896172899	-1.013507505	-1.641933351	-0.3850816599	-0.02937981559	0.9329949928	-1.042887321	0.04709224226	True	decreases_eastward	0.001683836141	0.002250130682	0.0007542628987
Herpetosiphon	Chloroflexota	60	-0.2789663795	0.03089220472	-1.384992823	-2.202237908	-0.5677477376	0.2203818591	0.704365902	-1.164610964	0.04982613665	True	decreases_eastward	0.01452493209	0.02188946752	0.007158319717
Anaeromyxobacter	Myxococcota	60	-0.2769658238	0.03216600731	-0.6200485422	-1.062528908	-0.1775681767	0.04048882368	0.3925252201	-0.5795597185	0.05134340094	False	decreases_eastward	0.0004288401909	0.000497075222	0.0002578475911
Myxococcus	Myxococcota	60	-0.2766879689	0.03234634259	-0.4756699187	-1.006819878	0.0554800409	0.2760525696	-0.2106638267	-0.1996173491	0.05134340094	False	decreases_eastward	0.0004176343599	0.0006076019546	0.000300599797
Microvirga	Pseudomonadota	60	-0.2659627674	0.03997998309	-0.4852262613	-0.947995852	-0.02245667059	0.2213059005	-0.1037690846	-0.2639203608	0.06296060329	False	decreases_eastward	0.03321551771	0.01946785499	0.01659100469
Rhizorhabdus	Pseudomonadota	60	-0.2571825507	0.0472862762	-0.7136597134	-1.406048113	-0.02127131419	0.4818160416	-0.4477206334	-0.2318436718	0.07331205612	False	decreases_eastward	0.000572092225	0.0003502087216	0.0003704024671
Lysobacter	Pseudomonadota	60	-0.2364545707	0.06892230336	-0.6884344045	-1.309750621	-0.06711818824	0.213751159	0.1345443674	-0.4746832456	0.1028691095	False	decreases_eastward	0.003228506002	0.003010580061	0.002923500602
Pedomicrobium	Pseudomonadota	60	-0.2307307585	0.07612047086	-0.4002244736	-1.039356648	0.2389077005	-0.09111096895	0.4735731653	-0.4913354426	0.1115498037	False	decreases_eastward	0.0009937907665	0.001087940611	0.0009302464214
Opitutus	Verrucomicrobiota	60	-0.2306196166	0.07626593285	-0.9557354744	-1.588401725	-0.3230692237	0.01241052854	0.7679463413	-0.9433249459	0.1115498037	False	decreases_eastward	0.000923193965	0.001505132601	0.0006269949881
JCM 18997	Actinomycetota	60	-0.2305084746	0.07641161553	-0.6887640833	-1.309084012	-0.06844415477	0.04203995225	0.5844007741	-0.646724131	0.1115498037	False	decreases_eastward	0.0003611609701	0.000559541559	0.0001347720214
[Polyangium] brachysporum group	Pseudomonadota	60	-0.2168380106	0.09608201742	-0.7844998968	-1.397622886	-0.1713769075	-0.02745529683	0.7422876397	-0.8119551936	0.1372600249	False	decreases_eastward	0.0005804354133	0.0009129287222	0.0002903999142
Nordella	Pseudomonadota	60	-0.2102806335	0.1068204259	-0.6689418994	-1.320908826	-0.01697497267	0.1405630837	0.3816835738	-0.5283788157	0.1515183346	False	decreases_eastward	0.0003773520007	0.0004661191307	0.0002466975101
Terribacillus	Bacillota	60	-0.1966657405	0.132048737	-0.3968709105	-1.179644335	0.3859025138	0.4907046188	-0.7484954612	0.09383370835	0.182136189	False	decreases_eastward	0.001526318172	0.0008862214012	0.002303629465
Nibribacter	Bacteroidota	60	-0.1845512642	0.1580635004	-0.4991887425	-1.119006184	0.1206286988	-0.1249656714	0.6763452755	-0.6241544139	0.2150523815	False	decreases_eastward	0.008294377529	0.01809744888	0.0053362959
Cupriavidus	Pseudomonadota	60	-0.1675465407	0.2006941774	-0.3354657491	-0.8368255718	0.1658940735	0.01900198587	0.2219542206	-0.3164637633	0.2640712861	False	decreases_eastward	0.0005138058998	0.0006007586244	0.00013998899
Ectobacillus	Bacillota	60	-0.1415948875	0.2805139035	-0.8499020974	-1.626523377	-0.07328081805	-0.01379065969	0.7359132528	-0.8636927571	0.3601224043	False	decreases_eastward	0.007308253042	0.01060219213	0.004813618512
SZB85	Pseudomonadota	60	-0.1085857183	0.4088869836	-0.4100590876	-1.180249437	0.3601312614	0.2639892426	-0.1056499971	-0.146069845	0.5017018204	False	decreases_eastward	0.0003803713874	0.0001655281083	9.721040718e-05
Arenimicrobium	Acidobacteriota	60	-0.09947207558	0.4495429037	-0.7928693271	-1.928749509	0.3430108549	1.073346339	-1.389226826	0.2804770114	0.5482230532	False	decreases_eastward	0.001441136394	0.0001418522976	0.0009128394737
Domibacillus	Bacillota	60	-0.096526813	0.4631433103	-0.310320457	-0.8559186202	0.2352777062	0.09385565511	0.09710371958	-0.2164648019	0.5580039883	False	decreases_eastward	0.07087730707	0.06333393129	0.04775342119
Acidibacter	Pseudomonadota	60	-0.09297026952	0.479859787	-0.2992456784	-0.9012662746	0.3027749177	-0.1637227826	0.5310573625	-0.4629684611	0.5746823796	False	decreases_eastward	0.000875662683	0.0009711509339	0.001247948562
Subgroup 10	Acidobacteriota	60	-0.07913309253	0.5478321896	0.2361849259	-0.7262184543	1.198588306	0.09300752128	-0.3623219105	0.3291924471	0.6333320112	False	decreases_eastward	0.0005125898999	0.0002386522822	0.001165409054
Kineosporia	Actinomycetota	60	-0.06218393998	0.6369271826	0.01878661584	-0.7841941775	0.8217674092	0.4658219656	-1.056943417	0.4846085814	0.7170048205	False	decreases_eastward	0.0004479460154	0.000132613313	0.0003433107501
Luedemannella	Actinomycetota	60	-0.05373714921	0.6834316195	-0.401176643	-1.066528118	0.2641748324	0.2060865716	0.06412078144	-0.1950900714	0.7593684661	False	decreases_eastward	0.0003401895049	0.0002134696649	0.0001128319626
Rhodoplanes	Pseudomonadota	60	-0.04256737983	0.7467438497	0.1837472135	-0.4968294246	0.8643238516	-0.1480906873	0.1498620743	0.03565652617	0.820597637	False	decreases_eastward	0.0003626039694	0.0004066353276	0.0003257900377
Plantactinospora	Actinomycetota	60	-0.04006668519	0.7611670167	-0.2957895133	-0.9820491317	0.390470105	0.02690380426	0.3984360096	-0.2688857091	0.8267083465	False	decreases_eastward	0.000256661002	0.0003617709221	0.0001147827869
Acidiferrimicrobium	Actinomycetota	60	-0.03945540428	0.7647052205	0.09162302829	-0.6046532408	0.7878992974	-0.1046130226	0.1051525653	-0.01298999436	0.8267083465	False	decreases_eastward	0.006222629829	0.00736187678	0.004362428558
Cystobacter	Myxococcota	60	-0.03595443179	0.7850596701	0.1409907157	-0.5220445697	0.804026001	-0.07979855227	0.05008057005	0.06119216339	0.8441501829	False	decreases_eastward	0.0004730432137	0.0004231372887	0.0007899448906
Caulobacter	Pseudomonadota	60	-0.0351764379	0.7896029195	0.05852152627	-0.5225456588	0.6395887114	0.4874416585	-1.084091353	0.5459631848	0.844495101	False	decreases_eastward	0.0004976312477	0.0001528084594	0.001723487163
Croceibacterium	Pseudomonadota	60	-0.03323145318	0.8009912502	0.09415945296	-0.4660434012	0.6543623071	0.04450780922	-0.2840355885	0.1386672622	0.8476097885	False	decreases_eastward	0.001401047055	0.0009496460923	0.001851987338
Litorilinea	Chloroflexota	60	-0.01811614337	0.8907254239	-0.1731971636	-0.8357933743	0.4893990472	0.2300231043	-0.2558461148	0.05682594077	0.9152732344	False	decreases_eastward	0.0003411314565	9.904781168e-05	0.0001300348815
Nitrosomonas	Pseudomonadota	60	-0.01783828841	0.8923914035	-0.05865273943	-0.7970868806	0.6797814017	0.5038164451	-0.8708564404	0.4451637057	0.9152732344	False	decreases_eastward	0.0001112536768	2.377586991e-05	0.002634904067
Oxalophagus	Bacillota	60	-0.01467074187	0.9114145301	-0.2807751808	-1.221693121	0.6601427594	-0.1774500945	0.6050611068	-0.4582252752	0.9300148266	False	decreases_eastward	0.001122131146	0.003055524072	0.001581765464
YC-ZSS-LKJ147	Gemmatimonadota	60	-0.004112253404	0.975123257	0.01430479095	-0.7955931215	0.8242027034	0.303969228	-0.6359492902	0.318274019	0.9849729869	False	decreases_eastward	0.0007866501529	0.0004671760751	0.0006160518417
Saccharibacillus	Bacillota	60	-0.0004445679355	0.9973102029	0.1089745698	-0.6590282058	0.8769773455	-0.2995474262	0.5317748955	-0.1905728564	0.9973102029	False	decreases_eastward	0.000941363954	0.001209817342	0.000626548937
Nitrolancea	Chloroflexota	60	0.0008335648791	0.9949566538	-0.1400275663	-0.8955142202	0.6154590876	-0.2654669856	0.6380855412	-0.4054945519	0.9973102029	False	increases_eastward	0.003021619458	0.004547064272	0.001956585904
Glycomyces	Actinomycetota	60	0.01061405946	0.9358484382	-0.4306221006	-1.209083326	0.3478391243	-0.08082854143	0.7537260057	-0.511450642	0.9500999372	False	increases_eastward	0.0005608590419	0.001352431572	0.000317460544
Chelativorans	Pseudomonadota	60	0.02634065018	0.8416554949	-0.06312957031	-0.6657104219	0.5394512813	0.1181665196	-0.1228507796	0.0550369493	0.87218186	False	increases_eastward	0.003294031369	0.002373437909	0.001444894284
OM27 clade	Bdellovibrionota	60	0.02672964712	0.8393478817	-0.02516532015	-0.4447563641	0.3944257239	-0.04348438153	0.09948102705	-0.06864970168	0.87218186	False	increases_eastward	0.0009241543164	0.001005060421	0.0006618907384
Neorhizobium	Pseudomonadota	60	0.02884134482	0.8268447773	0.1206236914	-0.6204770313	0.8617244142	-0.06421768024	0.01937670007	0.05640601119	0.8658060496	False	increases_eastward	0.001127295732	0.000615705057	0.0003933494739
Kocuria	Actinomycetota	60	0.03000833565	0.8199532551	0.3390917498	-0.4529904772	1.131173977	0.2444714083	-0.8103597857	0.5835631582	0.8631086896	False	increases_eastward	0.001173342267	0.0004286746347	0.001746574901
Allorhizocola	Actinomycetota	60	0.03439844401	0.7941531455	-0.09739972163	-0.7385481464	0.5437487032	-0.2829096813	0.7964907803	-0.380309403	0.8448437718	False	increases_eastward	0.000335587045	0.0006283056769	0.0001211424026
Brevundimonas	Pseudomonadota	60	0.03956654626	0.7640615525	0.1547241117	-0.4549557771	0.7644040006	-0.3672414353	0.5561803861	-0.2125173236	0.8267083465	False	increases_eastward	0.0005102542072	0.0007355757828	0.0008003020047
Arsenicitalea	Pseudomonadota	60	0.04606835232	0.7266966983	0.1259163346	-0.3739600478	0.625792717	-0.05601232923	0.03353575434	0.06990400537	0.8029797771	False	increases_eastward	0.0004888579943	0.000541072154	0.0003784247399
Cytophaga	Bacteroidota	60	0.05873853848	0.6557410629	-0.10335769	-0.818334617	0.611619237	-0.2222811024	0.5272923239	-0.3256387924	0.7326715787	False	increases_eastward	0.002037654721	0.004176435532	0.002891616623
Isoptericola	Actinomycetota	60	0.06196165602	0.6381342902	0.3116111764	-0.3563111769	0.9795335297	-0.04228323218	-0.2394780654	0.2693279442	0.7170048205	False	increases_eastward	0.0008869689082	0.0006856378429	0.001413398988
CSP1-2	Dadabacteria	60	0.0627396499	0.6339135216	0.2664627862	-0.9860030164	1.518928589	-0.7588251535	1.429062709	-0.4923623674	0.7170048205	False	increases_eastward	0.001461811302	0.005045678578	0.001382442377
Polycyclovorans	Pseudomonadota	60	0.06640733537	0.614173271	-0.06399055661	-0.7177390398	0.5897579266	-0.1778425358	0.5060353759	-0.2418330924	0.7019123097	False	increases_eastward	0.0004600723471	0.0006873993657	0.0001745309117
Fictibacillus	Bacillota	60	0.06801889414	0.605583794	0.1514745096	-0.5049697747	0.8079187939	-0.2361236081	0.4241106588	-0.08464909845	0.6960733264	False	increases_eastward	0.0002104784881	0.0002008028844	0.0001380862213
Planococcus	Bacillota	60	0.08296749097	0.5285425648	0.4161033255	-0.5161721933	1.348378844	-0.1148058132	-0.21500596	0.3012975123	0.6145843777	False	increases_eastward	0.007380592677	0.006188459755	0.01994927732
Candidatus Alysiosphaera	Pseudomonadota	60	0.08546818561	0.5161465148	0.240876927	-0.2590287533	0.7407826073	-0.2414568453	0.2386175548	-0.0005799182612	0.6036801343	False	increases_eastward	0.0004260775144	0.0003828015646	0.0004846734276
Devosia	Pseudomonadota	60	0.08602389553	0.5134119195	0.1986247271	-0.3823724588	0.7796219129	-0.2155611138	0.1902416851	-0.01693638673	0.6036801343	False	increases_eastward	0.002520374215	0.00271152015	0.002619167033
Rhodococcus	Actinomycetota	60	0.08657960545	0.5106846894	0.1607423774	-0.7444572108	1.065941966	0.183147192	-0.4752506903	0.3438895694	0.6036801343	False	increases_eastward	0.0004455433824	0.0009157056057	0.0002481672889
Methylobacillus	Pseudomonadota	60	0.09124756877	0.4880705232	0.07849737431	-0.5034447957	0.6604395443	-0.174740193	0.2583247547	-0.09624281872	0.5810363372	False	increases_eastward	0.0007031344203	0.0006803639129	0.0004957185047
