rank	genus	phylum	class	n_asvs	mean_relative_abundance	median_relative_abundance	prevalence	mean_surface	mean_shallow_subsurface	mean_root_adjacent	mean_west_third	prevalence_west_third	mean_central_third	prevalence_central_third	mean_east_third	prevalence_east_third
1	unclassified_genus			182590	0.3559286653	0.3639082483	0.9983700081	0.3363084735	0.4315784455	0.3105196888	0.348928831	0.9979123173	0.3741634038	1	0.3421177223	0.9968847352
2	Domibacillus	Bacillota	Bacilli	3390	0.06220266255	0.02521531761	0.9722901385	0.06137686563	0.04092129517	0.07995666556	0.07087730707	0.9812108559	0.06333393129	0.9953161593	0.04775342119	0.9283489097
3	Massilia	Pseudomonadota	Gammaproteobacteria	3637	0.03548144245	0.01583722311	0.9364303178	0.04850198129	0.02141898108	0.03656616258	0.03687854184	0.9749478079	0.04576744523	0.9976580796	0.01971404745	0.7975077882
4	Bacillus	Bacillota	Bacilli	4210	0.02972200496	0.01430748274	0.9828850856	0.03816812092	0.02638723745	0.02577388531	0.0155828566	0.9895615866	0.02114645165	0.9953161593	0.06222796548	0.9563862928
5	Microvirga	Pseudomonadota	Alphaproteobacteria	2197	0.02408208604	0.01843666108	0.9722901385	0.02539973456	0.02106375975	0.02547410517	0.03321551771	0.993736952	0.01946785499	0.9953161593	0.01659100469	0.9096573209
6	Flavisolibacter	Bacteroidota	Bacteroidia	2551	0.02048643799	0.01471018805	0.9421352893	0.02876954364	0.02002264358	0.01435856958	0.02492088676	0.9853862213	0.02266817103	0.9953161593	0.01096712034	0.8068535826
7	Noviherbaspirillum	Pseudomonadota	Gammaproteobacteria	4306	0.01920295398	0.01461344977	0.9437652812	0.02622847091	0.01762583381	0.01495694234	0.02224603949	0.9770354906	0.0209971538	0.9953161593	0.01227534874	0.8255451713
8	Streptomyces	Actinomycetota	Actinobacteria	3759	0.01802914941	0.005970910327	0.9087204564	0.01432727551	0.01910140878	0.02007253817	0.02604732331	0.9791231733	0.0170664333	0.9906323185	0.007344957783	0.6947040498
9	Herpetosiphon	Chloroflexota	Chloroflexia	1132	0.01516060777	0.007479710303	0.9160554197	0.01680349618	0.0206533136	0.009456229257	0.01452493209	0.9686847599	0.02188946752	0.9859484778	0.007158319717	0.7445482866
10	Paenibacillus	Bacillota	Bacilli	7600	0.01375262139	0.009560262215	0.9625101874	0.01081767096	0.01293708332	0.01671152764	0.01222717529	0.9812108559	0.01341863079	0.9906323185	0.01647319044	0.8971962617
11	Lysinibacillus	Bacillota	Bacilli	1452	0.0132477365	0.00382471878	0.9462102689	0.006511882127	0.006965176229	0.02358400925	0.01573390863	0.9728601253	0.01324199793	0.9859484778	0.00954547454	0.8535825545
12	Nocardioides	Actinomycetota	Actinobacteria	2844	0.01233201264	0.009635348254	0.9470252649	0.01190596025	0.01140596614	0.01341073671	0.0145346724	0.993736952	0.01358190474	1	0.007382548616	0.8068535826
13	Ammoniphilus	Bacillota	Bacilli	1300	0.01093471858	0.00516462652	0.9551752241	0.008931936304	0.01462877097	0.009537252444	0.005328617553	0.9415448852	0.01100704667	0.9929742389	0.01920399678	0.9252336449
14	Nibribacter	Bacteroidota	Bacteroidia	838	0.01093200366	0.001838137637	0.8394458028	0.01262384673	0.004673278202	0.01463497576	0.008294377529	0.8830897704	0.01809744888	0.9391100703	0.0053362959	0.6417445483
15	Planococcus	Bacillota	Bacilli	752	0.01025386653	0.001747698891	0.8247758761	0.01322789769	0.005962094663	0.01136953211	0.007380592677	0.8830897704	0.006188459755	0.8594847775	0.01994927732	0.691588785
16	Deinococcus	Deinococcota	Deinococci	1043	0.01023957767	0.0036219787	0.8818255909	0.01832735948	0.009353719824	0.004604254907	0.01391976944	0.9311064718	0.00835263197	0.9601873536	0.00725800122	0.7040498442
17	Rubrobacter	Actinomycetota	Rubrobacteria	2641	0.009626944669	0.004619043824	0.8883455583	0.009770662346	0.01376323176	0.006189416488	0.01071652813	0.9645093946	0.01188296107	0.9672131148	0.005000061547	0.6697819315
18	Rubellimicrobium	Pseudomonadota	Alphaproteobacteria	751	0.009064799889	0.00599572599	0.9217603912	0.01306107638	0.008926844057	0.006039370178	0.01165126185	0.9624217119	0.007642325854	0.9789227166	0.007097451395	0.785046729
19	Ramlibacter	Pseudomonadota	Gammaproteobacteria	1536	0.008137691266	0.007225890937	0.9217603912	0.008384961463	0.009322329014	0.006991422289	0.008093099186	0.9728601253	0.01068983226	0.9906323185	0.00480932803	0.753894081
20	Geodermatophilus	Actinomycetota	Actinobacteria	942	0.00811243594	0.00421982433	0.8924205379	0.01209973399	0.009119568534	0.004173633425	0.01236311342	0.9540709812	0.00503277957	0.9320843091	0.005866139237	0.7476635514
21	Ectobacillus	Bacillota	Bacilli	863	0.007801924035	0.003846481589	0.8834555827	0.00686514932	0.009721500609	0.006994163526	0.007308253042	0.9144050104	0.01060219213	0.981264637	0.004813618512	0.707165109
22	Neobacillus	Bacillota	Bacilli	366	0.007657508406	0.004691697391	0.934800326	0.007760742076	0.007864193128	0.00741035692	0.006866921144	0.9665970772	0.006812077021	0.9742388759	0.009961840181	0.8348909657
23	Metabacillus	Bacillota	Bacilli	595	0.007646741383	0.003895068173	0.9331703341	0.004401484018	0.005636387529	0.01180956956	0.005282114971	0.9457202505	0.008025829598	0.981264637	0.01067099491	0.8504672897
24	Adhaeribacter	Bacteroidota	Bacteroidia	1532	0.007545867984	0.004967921572	0.9087204564	0.009132009226	0.00802327817	0.005917307177	0.008606747	0.9791231733	0.00933136606	0.981264637	0.003587709957	0.707165109
25	Ellin6055	Pseudomonadota	Alphaproteobacteria	323	0.006254476949	0.002997024194	0.9030154849	0.009439844077	0.006283436416	0.003731291024	0.01123409205	0.9749478079	0.003418283129	0.9765807963	0.002596592607	0.6978193146
26	Acidiferrimicrobium	Actinomycetota	Acidimicrobiia	1321	0.006132437359	0.003108449545	0.9030154849	0.004652114483	0.009744383011	0.004390936973	0.006222629829	0.9331941545	0.00736187678	0.9484777518	0.004362428558	0.7975077882
27	Halomonas	Pseudomonadota	Gammaproteobacteria	454	0.005749861636	0	0.3471882641	0.002362223309	0.003441691325	0.01026381595	0.0005761395728	0.3194154489	0.0006226029364	0.2740046838	0.02029052311	0.4859813084
28	Arthrobacter	Actinomycetota	Actinobacteria	781	0.005587243936	0.001291804468	0.8712306438	0.004102852218	0.003161597168	0.00870193832	0.008561864752	0.9415448852	0.003986227764	0.9156908665	0.003278180182	0.707165109
29	Bradyrhizobium	Pseudomonadota	Alphaproteobacteria	45	0.005351842942	5.26918973e-05	0.6112469438	0.009139298424	0.005134781175	0.002553883225	0.0006289855716	0.5657620042	0.000926220518	0.6042154567	0.01828638953	0.6884735202
30	Solirubrobacter	Actinomycetota	Thermoleophilia	2609	0.005330192275	0.003626277618	0.8899755501	0.005748381879	0.007086086171	0.00359060977	0.006336597001	0.9603340292	0.005818686198	0.9695550351	0.003178619786	0.6791277259
31	Pseudomonas	Pseudomonadota	Gammaproteobacteria	458	0.005162344181	0.0002829146403	0.7595762021	0.004139986706	0.001942705508	0.008552638094	0.004294189438	0.739039666	0.006841220565	0.8407494145	0.004224543262	0.6822429907
32	Sphingoaurantiacus	Pseudomonadota	Alphaproteobacteria	323	0.004478223186	0.002948023524	0.890790546	0.005419234093	0.004126159655	0.004022696071	0.005455440855	0.9582463466	0.004428029274	0.9836065574	0.00308677626	0.6666666667
33	Pontibacter	Bacteroidota	Bacteroidia	670	0.00442485991	0.001000269736	0.8891605542	0.005300021662	0.003818712139	0.004225244148	0.001320659718	0.8830897704	0.003568006784	0.9648711944	0.01019678569	0.7975077882
34	Symbiobacterium	Bacillota	Symbiobacteriia	3610	0.004377248323	0.002112594033	0.8557457213	0.00445456208	0.00683492906	0.002341094149	0.003497270255	0.872651357	0.005417967499	0.9320843091	0.00430597856	0.7289719626
35	Roseomonas	Pseudomonadota	Alphaproteobacteria	675	0.004142488958	0.001980575129	0.8899755501	0.003686243526	0.003060265906	0.005370443144	0.003799933526	0.9645093946	0.005413178625	0.9836065574	0.002963359877	0.6542056075
36	Blastococcus	Actinomycetota	Actinobacteria	559	0.004035908759	0.001072164747	0.8280358598	0.006943582679	0.003797221118	0.001945793343	0.007065517875	0.9248434238	0.001999574806	0.868852459	0.002223858389	0.6292834891
37	Tumebacillus	Bacillota	Bacilli	923	0.003831590956	0.0002049115869	0.7351263244	0.004759219771	0.004202705472	0.002805277559	0.002499409635	0.8016701461	0.002584844234	0.7728337237	0.007477932709	0.5856697819
38	Nitrolancea	Chloroflexota	Chloroflexia	739	0.003273851866	0.0009897516851	0.847595762	0.003615722396	0.003628821879	0.002720224415	0.003021619458	0.8747390397	0.004547064272	0.9601873536	0.001956585904	0.6573208723
39	Chthoniobacter	Verrucomicrobiota	Verrucomicrobiia	1393	0.003236755151	0.001312887971	0.8606356968	0.002294425568	0.003467840784	0.003790558903	0.003547844127	0.9352818372	0.003581464955	0.9531615925	0.002314005287	0.6261682243
40	Pseudonocardia	Actinomycetota	Actinobacteria	1103	0.003210333259	0.00103916253	0.8549307253	0.002374948768	0.002910398971	0.004107037887	0.004088494625	0.9373695198	0.003364370887	0.9555035129	0.001695026836	0.5981308411
41	Lysobacter	Pseudomonadota	Gammaproteobacteria	398	0.003072873475	0.001051329623	0.8630806846	0.005336388972	0.002875407015	0.001455166633	0.003228506002	0.9206680585	0.003010580061	0.9461358314	0.002923500602	0.6666666667
42	Cytophaga	Bacteroidota	Bacteroidia	227	0.003005365541	0.0009096790508	0.8133659332	0.003699604413	0.002917782327	0.00253091901	0.002037654721	0.8371607516	0.004176435532	0.9320843091	0.002891616623	0.6199376947
43	Cellulomonas	Actinomycetota	Actinobacteria	490	0.002892427516	0.0009931001946	0.8019559902	0.00401124826	0.002647461969	0.002211268352	0.005016091888	0.9415448852	0.001727899667	0.8384074941	0.001272546386	0.5451713396
44	Saccharopolyspora	Actinomycetota	Actinobacteria	901	0.002859575764	0.0004390838381	0.7660961695	0.001545741354	0.001472316362	0.005005761909	0.0042048568	0.8475991649	0.003023973227	0.9297423888	0.0006334470023	0.4267912773
45	Aeromonas	Pseudomonadota	Gammaproteobacteria	26757	0.002770033107	0	0.1988590057	0.001601091729	0.002844281471	0.003627749492	0.002190161437	0.2275574113	0.003635190343	0.1943793911	0.002484476691	0.1619937695
46	Archangium	Myxococcota	Myxococcia	578	0.002710946064	0.0008140493786	0.8239608802	0.002698411961	0.002652742997	0.002767566433	0.002866237588	0.8997912317	0.002192209782	0.8782201405	0.003169250588	0.6386292835
47	CSP1-2	Dadabacteria	Dadabacteriia	49	0.0026882448	0.0005823525076	0.7310513447	0.002652754106	0.00393695154	0.00171239094	0.001461811302	0.7160751566	0.005045678578	0.9227166276	0.001382442377	0.4984423676
48	Devosia	Pseudomonadota	Alphaproteobacteria	622	0.002612739177	0.0008275678135	0.8427057865	0.001798296758	0.001395980112	0.004229949692	0.002520374215	0.9081419624	0.00271152015	0.9133489461	0.002619167033	0.6510903427
49	Segetibacter	Bacteroidota	Bacteroidia	471	0.002567618993	0.001327433628	0.8312958435	0.003660343426	0.002208001488	0.001999097434	0.002969364356	0.9081419624	0.002890798589	0.9391100703	0.001538230471	0.5732087227
50	Chelativorans	Pseudomonadota	Alphaproteobacteria	1073	0.002489902264	0.0003294440032	0.7766911165	0.000881027549	0.001391532815	0.004635430016	0.003294031369	0.8246346555	0.002373437909	0.8477751756	0.001444894284	0.6105919003
51	Pirellula	Planctomycetota	Planctomycetes	872	0.002465054056	0.001321081085	0.8638956805	0.001523947791	0.002738292413	0.002984015484	0.003049802866	0.9519832985	0.002552742167	0.962529274	0.00147584065	0.6012461059
52	Actinomadura	Actinomycetota	Actinobacteria	997	0.0023626274	0.0004097354497	0.7750611247	0.001913246768	0.002354172583	0.00272210183	0.002835826299	0.8705636743	0.003177616698	0.9274004684	0.0005724009092	0.4299065421
53	Halalkalibacter	Bacillota	Bacilli	208	0.002359105601	1.230239282e-05	0.5134474328	0.001323849655	0.00211451562	0.003368185757	0.0002513749753	0.3340292276	0.0002727988966	0.6229508197	0.008279529066	0.6355140187
54	Phenylobacterium	Pseudomonadota	Alphaproteobacteria	522	0.002303417225	0.001488482246	0.8810105949	0.002439355821	0.001875562561	0.002540639733	0.002273324915	0.9645093946	0.003069145178	0.9672131148	0.001329736166	0.6417445483
55	Escherichia-Shigella	Pseudomonadota	Gammaproteobacteria	258	0.002253709771	0	0.1768541157	0.003497985027	0.001356959546	0.00199799551	5.988855102e-05	0.1127348643	9.882277376e-05	0.1428571429	0.008393825384	0.3177570093
56	Prauserella	Actinomycetota	Actinobacteria	398	0.002100600962	5.394779876e-05	0.576202119	0.0006553191126	0.0004525540042	0.004559568766	0.0026490373	0.5741127349	0.002424570388	0.7822014052	0.0008512677823	0.3052959502
57	Steroidobacter	Pseudomonadota	Gammaproteobacteria	1064	0.002051071451	0.0007273166039	0.8353708231	0.001667151564	0.002016386918	0.002380255006	0.002913908092	0.9394572025	0.001785537542	0.925058548	0.001116754406	0.5607476636
58	Cnuella	Bacteroidota	Bacteroidia	198	0.002017626624	0.00106152605	0.8190709046	0.00258201559	0.001493529453	0.001995956427	0.001871767278	0.8997912317	0.002523956025	0.9344262295	0.00156175115	0.5451713396
59	Gemmatimonas	Gemmatimonadota	Gemmatimonadia	881	0.001957222996	0.001348329253	0.8761206194	0.002076908376	0.002606997521	0.00134100558	0.002575464475	0.9498956159	0.001855383308	0.9765807963	0.001170144736	0.6323987539
60	Oxalophagus	Bacillota	Bacilli	227	0.001915204818	0.0003451939286	0.7033414833	0.002216334589	0.003027506234	0.0007848100618	0.001122131146	0.7557411273	0.003055524072	0.8149882904	0.001581765464	0.476635514
