rank	pathway	description	mean_relative_abundance	prevalence	pathway_class	autotrophy_marker	mean_surface	mean_shallow_subsurface	mean_root_adjacent
1	PWY-3781	aerobic respiration I (cytochrome c)	0.01696242515	1	energy_central_metabolism	False	0.01679764473	0.01751593164	0.01664683938
2	PWY-7111	pyruvate fermentation to isobutanol (engineered)	0.01027552923	1	energy_central_metabolism	False	0.01041408628	0.01009412576	0.01031259991
3	PWY-5101	L-isoleucine biosynthesis II	0.009324930167	1	biosynthesis	False	0.009331715698	0.009448962625	0.009219907838
4	ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	0.009062232407	1	biosynthesis	False	0.009087482193	0.009155746599	0.008967249649
5	VALSYN-PWY	L-valine biosynthesis	0.009062232407	1	biosynthesis	False	0.009087482193	0.009155746599	0.008967249649
6	BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	0.007961656569	1	biosynthesis	False	0.007912664259	0.00817205628	0.007830987474
7	PWY-5973	cis-vaccenate biosynthesis	0.007587547935	1	biosynthesis	False	0.007393804091	0.007548154363	0.007771264518
8	PWY-7663	gondoate biosynthesis (anaerobic)	0.007449251549	1	biosynthesis	False	0.007304915989	0.007379288293	0.007618763846
9	FASYN-ELONG-PWY	fatty acid elongation -- saturated	0.007359001886	1	biosynthesis	False	0.007264704646	0.007293457542	0.007485691694
10	TCA	TCA cycle I (prokaryotic)	0.007252496558	1	energy_central_metabolism	False	0.007245667683	0.007375780871	0.007158760309
11	PWY-6969	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	0.007169935829	0.9991850041	energy_central_metabolism	False	0.007133466553	0.007354733875	0.007050017084
12	PWY-7094	fatty acid salvage	0.007139104671	0.9991850041	biosynthesis	False	0.007375081963	0.007230785955	0.006880214118
13	PWY-5103	L-isoleucine biosynthesis III	0.007115289553	1	biosynthesis	False	0.007069174267	0.007266919012	0.007029601921
14	PWY-5667	CDP-diacylglycerol biosynthesis I	0.006891133462	1	biosynthesis	False	0.006818360945	0.007088644729	0.006789487015
15	PWY0-1319	CDP-diacylglycerol biosynthesis II	0.006891133462	1	biosynthesis	False	0.006818360945	0.007088644729	0.006789487015
16	FAO-PWY	fatty acid &beta;-oxidation I	0.006834472366	1	energy_central_metabolism	False	0.00704147901	0.006848880098	0.006660430557
17	PWY-7208	superpathway of pyrimidine nucleobases salvage	0.006707262584	1	biosynthesis	False	0.006636728426	0.006880161386	0.006623642885
18	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	0.006697070274	1	energy_central_metabolism	False	0.006537677125	0.006855962769	0.006694446246
19	PWY-7229	superpathway of adenosine nucleotides de novo biosynthesis I	0.006604910104	1	biosynthesis	False	0.006499267299	0.006800297308	0.006530767907
20	PWY-5695	urate biosynthesis/inosine 5'-phosphate degradation	0.006565769571	1	degradation_utilization	False	0.006738507006	0.006425246945	0.006543155213
21	PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)	0.006542729244	1	biosynthesis	False	0.00645458292	0.006790171531	0.006413013889
22	PWY-3001	superpathway of L-isoleucine biosynthesis I	0.006521620952	1	biosynthesis	False	0.006439505405	0.00667402009	0.006463568022
23	REDCITCYC	TCA cycle VIII (helicobacter)	0.006493896836	0.9991850041	energy_central_metabolism	False	0.006653703914	0.006418900653	0.006428760365
24	PWY-2942	L-lysine biosynthesis III	0.006446620385	1	biosynthesis	False	0.00635255508	0.006562496316	0.006427303009
25	SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	0.006400593478	1	biosynthesis	False	0.006284812088	0.006468811527	0.00643662639
26	PWY-7219	adenosine ribonucleotides de novo biosynthesis	0.006399335488	1	biosynthesis	False	0.00629366728	0.00662309667	0.006302406296
27	PWY-6126	superpathway of adenosine nucleotides de novo biosynthesis II	0.006363447139	1	biosynthesis	False	0.006264859727	0.006557642431	0.006284725855
28	PWY-7220	adenosine deoxyribonucleotides de novo biosynthesis II	0.006352154404	1	biosynthesis	False	0.006253510849	0.006510482726	0.00630230696
29	PWY-7222	guanosine deoxyribonucleotides de novo biosynthesis II	0.006352154404	1	biosynthesis	False	0.006253510849	0.006510482726	0.00630230696
30	P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	0.00628871282	0.9991850041	energy_central_metabolism	False	0.006303916284	0.006221256378	0.006331002305
31	PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	0.006199885519	1	biosynthesis	False	0.006157818043	0.006342568306	0.006118212438
32	PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	0.006191207213	1	biosynthesis	False	0.006100250631	0.006365785903	0.006122264951
33	PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	0.006191207213	1	biosynthesis	False	0.006100250631	0.006365785903	0.006122264951
34	PWY0-162	superpathway of pyrimidine ribonucleotides de novo biosynthesis	0.006191165114	1	biosynthesis	False	0.006116008137	0.006389832014	0.006090461118
35	PWY-5686	UMP biosynthesis	0.006182481876	1	biosynthesis	False	0.00610623558	0.006368651853	0.006092677786
36	PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)	0.006172027058	1	biosynthesis	False	0.006071989752	0.006427029707	0.006045566864
37	PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)	0.006172027058	1	biosynthesis	False	0.006071989752	0.006427029707	0.006045566864
38	PWY-7228	superpathway of guanosine nucleotides de novo biosynthesis I	0.006141442771	1	biosynthesis	False	0.006063464631	0.006294522102	0.006079596025
39	PWY-5097	L-lysine biosynthesis VI	0.006054765816	1	biosynthesis	False	0.005972296888	0.006146669648	0.006045616198
40	PWY-841	superpathway of purine nucleotides de novo biosynthesis I	0.006041152356	1	biosynthesis	False	0.00596998093	0.006207765863	0.005963084898
41	COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	0.00599397482	1	biosynthesis	False	0.005892768206	0.006178161534	0.005925353981
42	PWY-6125	superpathway of guanosine nucleotides de novo biosynthesis II	0.005988805546	1	biosynthesis	False	0.005913163925	0.006147843202	0.005920335791
43	ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	0.005981745881	1	energy_central_metabolism	False	0.005890311569	0.006140105908	0.005926215066
44	CALVIN-PWY	Calvin-Benson-Bassham cycle	0.005873047503	1	energy_central_metabolism	True	0.005803901091	0.00601277969	0.005814997929
