rank	phylum	n_asvs	mean_relative_abundance	median_relative_abundance	prevalence	mean_surface	mean_shallow_subsurface	mean_root_adjacent	mean_west_third	prevalence_west_third	mean_central_third	prevalence_central_third	mean_east_third	prevalence_east_third
1	Pseudomonadota	88894	0.2688053664	0.2633645203	0.9991850041	0.298896657	0.2378612706	0.2700622028	0.2629014156	0.9979123173	0.2651601769	1	0.2824642088	1
2	Bacillota	48693	0.2249744377	0.1818246635	0.9975550122	0.2078271043	0.1961405298	0.2616084607	0.1829630172	0.9979123173	0.2043942541	1	0.3150405086	0.9937694704
3	Actinomycetota	56581	0.187476229	0.1717387618	0.9934800326	0.1796719781	0.2034334715	0.180774693	0.2256470885	0.9979123173	0.1903527719	1	0.1266907912	0.9781931464
4	Chloroflexota	24409	0.08570040128	0.07377232732	0.9902200489	0.0848925255	0.1068748676	0.06931444792	0.1030466338	0.9979123173	0.08580789509	1	0.05967315763	0.9657320872
5	Bacteroidota	16657	0.07137724242	0.06072216711	0.988590057	0.08206041049	0.05854334303	0.07330883977	0.06801272733	0.9958246347	0.08372850619	1	0.05996793742	0.9626168224
6	Planctomycetota	20808	0.03245734826	0.02373863979	0.9812550937	0.02309426415	0.03515471638	0.03763745383	0.03114636217	0.9958246347	0.03639905412	1	0.02917028888	0.9345794393
7	Gemmatimonadota	12107	0.02688067955	0.02246803022	0.9763651182	0.02912703004	0.0352449741	0.01839452217	0.02722198295	0.987473904	0.02548030254	0.9976580796	0.0282341894	0.9314641745
8	Acidobacteriota	17405	0.02317148207	0.01422782186	0.9535452323	0.02053621967	0.03366071373	0.01680844482	0.02562224137	0.9832985386	0.02478773441	0.9906323185	0.01736446195	0.8598130841
9	Myxococcota	15121	0.01683521714	0.0144183343	0.9788101059	0.01571845967	0.01961888166	0.01547415722	0.01733555431	0.9916492693	0.01806587467	0.9953161593	0.01445156521	0.937694704
10	Deinococcota	1419	0.01117242352	0.005168975368	0.9266503667	0.01899802302	0.009997621613	0.005975116588	0.01431140819	0.9540709812	0.008642605159	0.981264637	0.009853603538	0.8130841121
11	Verrucomicrobiota	7065	0.009934105905	0.006637321423	0.9421352893	0.007222345645	0.01328929979	0.009365426466	0.00947356172	0.9728601253	0.01227341162	0.9929742389	0.007509548656	0.8286604361
12	Bdellovibrionota	11556	0.006454571	0.005172273169	0.9380603097	0.005740572749	0.007709439804	0.006006263689	0.005661657464	0.9624217119	0.007854928931	0.9929742389	0.005774984542	0.8286604361
13	Patescibacteria	5597	0.005836675746	0.002901824747	0.9323553382	0.005095363375	0.004361902255	0.0076038844	0.005881059365	0.9645093946	0.0066651931	0.9859484778	0.00466833723	0.8130841121
14	unclassified_phylum	8615	0.005688597208	0.002859027931	0.9070904645	0.003919712588	0.01062189521	0.003111463324	0.00435286263	0.9373695198	0.006435184876	0.9742388759	0.006688671752	0.7725856698
15	Cyanobacteriota	2474	0.004444797206	0.002994268298	0.9339853301	0.003978412876	0.004135094758	0.005059758395	0.003761359975	0.9707724426	0.004075181013	0.9789227166	0.005956300471	0.8193146417
16	Rhodothermota	1536	0.003256383381	0.001503970444	0.9176854116	0.002041228624	0.004037723962	0.003582009559	0.001848212012	0.9331941545	0.002643163778	0.9578454333	0.006173389164	0.8411214953
17	Dadabacteria	171	0.00316818512	0.0006456235385	0.7457212714	0.003090147932	0.00466607713	0.00202542769	0.001611985922	0.7265135699	0.006031422985	0.9320843091	0.001681633244	0.5264797508
18	Methylomirabilota	1502	0.002059195291	0.0005847736949	0.760391198	0.001987337288	0.003243898623	0.001163328641	0.001796138133	0.8121085595	0.002913397019	0.8782201405	0.001315457724	0.5264797508
19	Balneolota	563	0.001754877393	0	0.2053789731	0.0003802560683	0.0007125238968	0.00367153523	0.0002514393838	0.139874739	0.0002171260286	0.1779859485	0.006043870038	0.3395638629
20	Entotheonellaeota	665	0.001227145199	0.0002507543071	0.7269763651	0.001091637927	0.002078633793	0.0006490683032	0.001514074187	0.7954070981	0.00135773894	0.8641686183	0.0006252682131	0.4423676012
21	Thermodesulfobacteriota	731	0.001224187323	9.130968525e-05	0.717196414	0.000304393748	0.0006777633926	0.002385264808	0.0001344995383	0.6826722338	0.000203791994	0.8196721311	0.00420758064	0.6323987539
22	Nitrospirota	645	0.0009247217217	0.0003978637227	0.7799511002	0.0007476200609	0.001325449811	0.0007416086751	0.001145271459	0.866388309	0.000880145956	0.8852459016	0.0006549102822	0.5109034268
23	Thermotogota	286	0.0008706000837	0.0001094948916	0.6397718011	0.0007353754971	0.001449382854	0.0005115015836	0.0004606149268	0.6805845511	0.001483326441	0.8079625293	0.0006673251164	0.3551401869
24	Armatimonadota	984	0.0006395382215	0.0003543675804	0.8345558272	0.0005934886192	0.0008827485304	0.000480186585	0.000725700033	0.9081419624	0.0006609755809	0.962529274	0.0004824501835	0.554517134
25	Sumerlaeota	324	0.0005800097021	0.0002189922283	0.7693561532	0.000524309351	0.0006530430458	0.0005650198848	0.0005638789811	0.8684759916	0.00052542875	0.8430913349	0.0006766847235	0.523364486
26	Candidatus Eremiobacterota	141	0.0004931741271	0.0001176304863	0.684596577	0.0002307718209	0.0003948465123	0.0007781456021	0.0003741319969	0.7306889353	0.000644046944	0.7447306792	0.0004701164558	0.5358255452
27	Abditibacteriota	566	0.0004199752945	6.28747667e-05	0.6373268134	0.0003700492686	0.0004452438634	0.0004388469336	0.0006536563445	0.7703549061	0.0003608122956	0.7236533958	0.0001499733555	0.3239875389
28	Fibrobacterota	201	0.000266849615	1.018109625e-05	0.5093724531	0.0001766378603	0.000268345478	0.0003364463427	0.0003409042672	0.5929018789	0.000302340415	0.5620608899	0.0001091338827	0.3146417445
29	Chlamydiota	1006	0.0002249648263	3.394681318e-05	0.6071719641	0.0001452484016	0.0001851327575	0.0003195439997	0.0001519935659	0.6450939457	0.0001436729386	0.6978922717	0.0004419893428	0.4299065421
30	MBNT15	130	0.0002164349604	2.097229465e-05	0.5452322738	0.0001727022636	0.0004067758721	9.776128086e-05	8.734399129e-05	0.5490605428	0.0001850583752	0.7072599532	0.0004508037333	0.3239875389
31	Halobacteriota	900	0.0001728159672	0	0.0880195599	1.601699159e-06	0.0003722244935	0.0001469025899	9.567750422e-06	0.08768267223	8.787671329e-06	0.06557377049	0.0006346102917	0.1183800623
32	Candidatus Kapabacteria	153	0.0001422240627	1.0053799e-05	0.5142624287	6.670250891e-05	0.0001524715628	0.0001932572283	0.0001597324098	0.5845511482	0.0001518100553	0.5573770492	0.0001033464394	0.3520249221
33	GAL15	116	0.0001274511273	0	0.4409127954	0.0001229646301	0.0001897056097	8.093218033e-05	5.580916137e-05	0.3862212944	0.0002479199484	0.6768149883	7.410631435e-05	0.2087227414
34	RCP2-54	93	0.0001263117769	0	0.3634881826	0.0001174168772	0.0002148659535	6.211296137e-05	0.0002394816193	0.4008350731	6.976594782e-05	0.4871194379	3.265668198e-05	0.1433021807
35	Elusimicrobiota	697	0.0001040331869	0	0.4621026895	6.534212495e-05	0.0001704169591	8.103921611e-05	0.0001292430304	0.5344467641	9.818765463e-05	0.5644028103	7.419059258e-05	0.2180685358
36	Acetothermia	26	0.0001019914351	0	0.032599837	3.490187648e-07	3.602375006e-05	0.000234786091	2.627188649e-05	0.02713987474	2.132400399e-07	0.007025761124	0.0003503682361	0.07476635514
37	FCPU426	49	9.923741592e-05	0	0.3349633252	5.756290422e-05	0.0001951697898	5.483379546e-05	8.181635564e-05	0.369519833	0.0001458748391	0.4379391101	6.319538525e-05	0.1464174455
38	Dependentiae	301	8.474307881e-05	0	0.3895680522	4.177977406e-05	8.13382045e-05	0.0001211979448	6.409845196e-05	0.4196242171	4.677246983e-05	0.4426229508	0.0001660584255	0.2741433022
39	Campylobacterota	60	7.358781744e-05	0	0.06927465363	1.22360734e-05	1.257900422e-05	0.0001707760171	4.228156443e-05	0.06054279749	0.0001362617897	0.1007025761	3.693332843e-05	0.04049844237
40	Spirochaetota	607	6.664983104e-05	0	0.07008964955	1.025005075e-05	6.331517058e-06	0.0001593966578	2.494659376e-05	0.04801670146	0.0001448734657	0.08430913349	2.482540314e-05	0.08411214953
41	Thermoplasmatota	890	6.343498972e-05	0	0.1678891606	1.170635514e-05	9.062731994e-05	8.217501978e-05	4.454237257e-05	0.1983298539	5.620062368e-05	0.1615925059	0.0001012500611	0.1308411215
42	SAR324 clade(Marine group B)	206	5.109411239e-05	0	0.4360228199	2.790539974e-05	5.240289629e-05	6.824085172e-05	4.617891464e-05	0.5365344468	5.14944862e-05	0.4449648712	5.789604421e-05	0.2741433022
43	Zixibacteria	3	4.781618081e-05	0	0.004074979625	4.500183777e-07	0.0001533136289	1.910430593e-07	0	0	5.620924679e-07	0.007025761124	0.000182026294	0.006230529595
44	Hydrogenedentes	98	4.77078144e-05	0	0.3064384678	1.702876342e-05	4.962615193e-05	7.024308945e-05	2.736975068e-05	0.3089770355	4.419586442e-05	0.3770491803	8.272817319e-05	0.2087227414
45	Nitrospinota	13	3.615527229e-05	0	0.0195599022	1.109595984e-05	2.578722967e-05	6.415588086e-05	9.604960592e-07	0.006263048017	3.305443145e-07	0.01405152225	0.0001363280345	0.04672897196
46	Calditrichota	5	2.597192561e-05	0	0.00814995925	1.970645823e-06	4.0539562e-06	6.242598137e-05	0	0	0	0	9.92758652e-05	0.03115264798
47	Fusobacteriota	34	2.094437153e-05	0	0.0586797066	5.977897275e-06	5.45838768e-05	5.650862919e-06	6.144379104e-06	0.05427974948	5.001533483e-05	0.06088992974	4.358374793e-06	0.06230529595
48	NB1-j	48	1.781994588e-05	0	0.1279543602	1.192797496e-05	2.47297975e-05	1.688990308e-05	1.112097614e-05	0.1231732777	1.600969822e-05	0.1522248244	3.022425196e-05	0.1028037383
49	Latescibacterota	27	1.473263868e-05	0	0.1385493073	1.605459464e-05	2.563188739e-05	4.934365731e-06	1.499842271e-05	0.1377870564	1.810305087e-05	0.2177985948	9.852649407e-06	0.03426791277
50	Marinimicrobia (SAR406 clade)	1	5.751434395e-06	0	0.0032599837	1.896016606e-05	0	8.076434341e-09	2.093738408e-07	0.002087682672	8.965409549e-09	0.002341920375	2.166009876e-05	0.006230529595
51	Synergistota	39	4.704995165e-06	0	0.0293398533	1.629600206e-06	1.64395026e-07	1.076831917e-05	4.6994316e-06	0.02922755741	7.972075595e-06	0.04449648712	3.673677617e-07	0.009345794393
52	Deferribacterota	13	4.22117611e-06	0	0.03015484923	2.163725335e-06	1.021616428e-07	9.146737715e-06	1.04142032e-06	0.01670146138	1.048808193e-05	0.06088992974	6.296939801e-07	0.009345794393
53	TX1A-33	25	4.215158069e-06	0	0.07416462918	3.216408068e-06	4.61486458e-06	4.677704101e-06	1.764093725e-06	0.05845511482	3.594518124e-06	0.08430913349	8.698251766e-06	0.08411214953
54	Candidatus Kryptonia	2	3.679396869e-06	0	0.0065199674	0	0	9.524514679e-06	1.007094591e-07	0.002087682672	1.370788875e-07	0.004683840749	1.373161197e-05	0.01557632399
55	Incertae Sedis	2	3.313225138e-06	0	0.007334963325	0	0	8.576639755e-06	1.01664039e-06	0.004175365344	7.834814963e-07	0.004683840749	1.010532678e-05	0.01557632399
56	WS2	11	2.69914714e-06	0	0.01466992665	6.285354979e-08	1.110374585e-06	6.045188404e-06	2.600290917e-06	0.02922755741	4.819246734e-06	0.007025761124	2.646678017e-08	0.003115264798
57	Margulisbacteria	17	1.899240752e-06	0	0.0130399348	0	7.756471043e-08	4.854042717e-06	9.408587147e-07	0.01043841336	4.313333275e-06	0.02341920375	1.180802801e-07	0.003115264798
58	Schekmanbacteria	5	1.722335476e-06	0	0.01059494703	9.165309596e-07	1.981366129e-07	3.579886209e-06	0	0	2.30637453e-08	0.002341920375	6.552826823e-06	0.03738317757
59	Nanoarchaeota	77	1.212927846e-06	0	0.04971475143	1.824827059e-07	1.224187574e-06	2.012581086e-06	1.302703173e-06	0.06471816284	1.284894501e-06	0.04449648712	9.832326957e-07	0.03426791277
60	Halanaerobiaeota	20	1.105426066e-06	0	0.0162999185	4.966886285e-07	1.955122519e-06	9.001855132e-07	6.208871546e-07	0.008350730689	4.351129304e-07	0.009367681499	2.72012341e-06	0.03738317757
61	CK-2C2-2	1	9.7955897e-07	0	0.007334963325	1.041923218e-06	0	1.717981897e-06	2.746621611e-08	0.002087682672	4.05581181e-08	0.002341920375	3.649358948e-06	0.02180685358
62	PAUC34f	7	7.896049765e-07	0	0.02200488998	2.515109604e-07	8.741097133e-07	1.143981916e-06	5.954402297e-07	0.01461377871	6.561391011e-07	0.02341920375	1.256878629e-06	0.03115264798
63	Thermoproteota	21	6.436926165e-07	0	0.0260798696	2.178854801e-08	4.357295014e-07	1.298929453e-06	4.969429411e-07	0.03131524008	4.044667082e-07	0.02576112412	1.180896845e-06	0.01869158879
64	Methanobacteriota	3	4.887930245e-07	0	0.008964955175	0	0	1.265293336e-06	7.120852229e-07	0.004175365344	5.702545932e-07	0.018735363	4.723211204e-08	0.003115264798
65	AncK6	3	4.724416743e-07	0	0.01059494703	4.491609002e-07	2.645433276e-08	8.491961576e-07	7.324324296e-08	0.002087682672	5.405463324e-07	0.01639344262	9.775362526e-07	0.01557632399
