library	campaign	site	position	recruited_pct	coxL_CO_dehydrogenase	NiFe_hydrogenase_large	rbcL_RuBisCO	psbA_photosystem_II	nifH_nitrogenase	amoA_pmoA_ammonia_monooxygenase	nirK_nirS_nitrite_reductase	nosZ_N2O_reductase	ureC_urease	otsA_otsB_trehalose	treY_treZ_trehalose	ectABC_ectoine	crtB_phytoene_synthase	spo0A_sporulation	phrB_photolyase	uvrA_excision_repair	recA_recombination_repair	katE_katG_catalase	sodA_superoxide_dismutase	dps_DNA_protection
38PRr2	1	38	Rhizosphere	41.15035266	0.5383582749	0.1202459003	0.2813269532	0.002796680091	0.0006482289039	0.003175798227	0.1433559746	0.0384750964	0.4431613433	0.9010059101	0.844304152	0.41192067	0.6329122563	0.06172831021	0.2055696958	0.9617710631	0.8965806496	0.9361586799	0.87541067	0.7775106167
39PRr3	1	39	Rhizosphere	37.91865937	0.2032887713	0.06031062464	0.173027209	0.0004154664817	0	0.003291583492	0.137943302	0.0005228002606	0.2649178849	0.7692468479	0.8565649099	0.1579211836	0.3913886352	0.03087068537	0.2918867353	0.9767942605	0.8277668424	0.7762565497	0.9220633469	0.8446850686
3PRr3	1	3	Rhizosphere	33.99908845	0.2316159678	0.07852792044	0.123172885	0.0003804576708	0	0.004720445339	0.1191285322	0.003681036611	0.2610500833	0.7416033562	0.6936542296	0.1796338356	0.5159672441	0.2380226547	0.3315465451	0.9669529542	0.9503982376	0.9293950118	0.8349337231	0.7502754608
41PRr2	1	41	Rhizosphere	27.61699272	0.6614001279	0.254857795	0.2681150898	0	0	0.0204688525	0.3301510027	0.009743550765	0.1657597003	0.8145389807	0.5443145577	0.5462871562	0.3746863907	0.0002824322793	0.1191194565	0.9213278394	0.6558656923	0.6651086709	0.7367728868	0.5085627548
42PRr2	1	42	Rhizosphere	41.01757828	0.2481874482	0.05448375115	0.1228120046	0.0005192514745	0.0001409187778	0.0005485061758	0.1272503461	0.0098499869	0.3670185507	0.8279950195	0.86162166	0.3062030276	0.4645589896	0.05851760362	0.2179933694	0.9734347476	0.9211551889	0.8586296731	0.9053028771	0.835253863
43PRr3	1	43	Rhizosphere	24.10832757	0.4335632136	0.3841666799	0.2726448806	0.0005446348761	0.0004027367709	0.072723432	0.4058223098	0.02320665348	0.2427438903	0.7592204463	0.7701212801	0.245655117	0.3533232834	0.07202856207	0.09710290688	0.9251031243	0.8578691973	0.5976695992	0.7736889718	0.7015207205
44Dr2	1	44	Deep	28.0877944	0.4951065661	0.3071970376	0.3141467729	0.0008504515896	0.001131786396	0.05218894583	0.346099445	0.01121599156	0.285140471	0.8422241074	0.8453150056	0.2508075657	0.4337263049	0.04844727017	0.1637887569	0.9390385659	0.8890520494	0.7618881773	0.8286227787	0.7673192958
45PRr2	1	45	Rhizosphere	32.90372537	0.4981079674	0.04128278261	0.1237724731	0.0004774012311	0.0006221060919	0.001838664477	0.2787961978	0.003589643959	0.3151468169	0.7655324266	0.9375228173	0.3447537343	0.465152535	0.03439488265	0.2955738831	0.9149067088	0.9421416727	0.8903830777	0.8638722811	0.7807423598
46PRr3	1	46	Rhizosphere	22.90347402	0.4454814464	0.2291372502	0.2345180829	0.001648578507	0	0.02172613152	0.2344560103	0.02227210525	0.2265638741	0.9181403718	0.8684876547	0.2253620498	0.5146445221	0.0214986339	0.243168879	0.926303124	0.9169692648	0.7635512179	0.6960740143	0.5337724762
47PRr2	1	47	Rhizosphere	23.56035308	0.3112342467	0.1778036558	0.118418102	0.000708483143	0	0.006463148514	0.1271620825	0.00613166507	0.3400885544	0.9318511947	0.9082832916	0.2354746524	0.3601705093	0.02809138398	0.3657443396	0.8360712331	0.9224545071	0.8300386672	0.7467632187	0.6872722714
48Dr2	1	48	Deep	29.27424012	0.2077287477	0.08921365894	0.07405800922	0	0	0.0006355819971	0.09622559823	0.01140358177	0.3550351889	0.8865662544	0.8875378667	0.2456410129	0.3171759286	0.03252668011	0.3205500252	0.9390970887	0.915691569	0.8712099153	0.8360200297	0.8141798202
48PRr2	1	48	Rhizosphere	22.02476706	0.1917070542	0.04952235492	0.1612380031	0	0	0.002375776432	0.793257495	0.3697407594	0.1287706231	0.6637453878	0.729307996	0.4564712166	0.5863867796	0.01350410378	0.2975692942	0.9187360904	0.8153759032	0.9308842836	0.9301530113	0.8610643379
48Sr2	1	48	Surface	24.23236927	0.3929389679	0.03115321463	0.4602945807	0	0.000651777939	0.04576727398	0.527662257	0.1780327537	0.1618994595	0.8014936103	0.6066377851	0.6021632033	0.7593481229	0.01743406314	0.1695407043	0.9445190087	0.6317444557	0.9351531894	0.9330578993	0.7908979775
49Dr2	1	49	Deep	24.29845146	0.3556248594	0.01343180411	0.2901362107	0	0.0006834291899	0.007775276144	0.2982249494	0.01696233712	0.3252832321	0.9077412328	0.8858611921	0.4754637004	0.7220218504	0.03874367625	0.2312368436	0.9001616667	0.946138796	0.9034158621	0.7824069456	0.6750244255
49PRr1	1	49	Rhizosphere	34.89625218	0.3621665427	0.09804755084	0.1975238178	0.001214717428	0.0003793413383	0.00131645395	0.1746931454	0.01351194607	0.3106145392	0.7494775207	0.8077721234	0.3090705978	0.4844755929	0.0970552425	0.133658353	0.9274360059	0.9369338628	0.8281239627	0.8737166272	0.7646811848
4Dr2	1	4	Deep	25.71400827	0.4384295221	0.3204455472	0.1066271386	0.001120410816	0	0.02554047574	0.5709053883	0.007995043668	0.1900417283	0.9495558465	0.5953530991	0.3154613271	0.3968577857	0.02600688971	0.2289963698	0.9105122019	0.9676169102	0.8072777274	0.739240554	0.3119458577
4PRr1	1	4	Rhizosphere	38.39929674	0.3996707741	0.07603736935	0.1680979987	0.0009496388501	0.001438697825	0.003449989116	0.2131876435	0.0139953417	0.5219857265	0.807867735	0.8937201714	0.2942945875	0.633732521	0.07330111617	0.2407534456	0.9542160179	0.9351172173	0.915642774	0.8733778378	0.713002338
