sample	DADA2_input	filtered	denoisedF	denoisedR	merged	nonchim
TRIP4_EB1	233053	208767	208485	208451	187849	183006
TRIP4_EB2	218757	191264	191144	191046	184215	180973
TRIP4_EB3	39860	35041	34966	34981	30459	28823
TRIP4_EB4	34259	30149	30117	30061	26236	24712
TRIP4_EB5	30706	26949	26875	26859	23965	23371
TRIP4_SEB	22079	19740	18720	18685	15953	15201
