run_accession	desert	shannon_otu97	total_reads_postqc	n_otus_observed	csp_abundance_97id	csp_abundance_85id	csp_rel_97	csp_rel_85
SRR5839285	Gurbantunggut	5.558911461123012	20262	1073	0	7	0.0	0.00034547428684236504
SRR5839286	Gurbantunggut	5.351494678893942	22178	1075	0	11	0.0	0.0004959870141581748
SRR5839287	Gurbantunggut	5.520141240989193	16903	957	0	9	0.0	0.0005324498609714252
SRR5839288	Gurbantunggut	5.216566727337918	20477	941	0	9	0.0	0.00043951750744737996
SRR5839289	Gurbantunggut	5.510525119709591	22562	1182	0	9	0.0	0.0003989008066660757
SRR5839290	Gurbantunggut	5.668165953268506	16675	1040	0	8	0.0	0.00047976011994003
SRR5839291	Gurbantunggut	5.6427581205501935	18408	1083	0	9	0.0	0.0004889178617992178
SRR5839293	Gurbantunggut	5.701214239808179	20896	1266	0	17	0.0	0.0008135528330781011
SRR5839294	Gurbantunggut	5.590109029497809	24508	1242	0	16	0.0	0.0006528480496164518
SRR5839295	Gurbantunggut	5.373698511855811	18471	1012	0	6	0.0	0.00032483352281955497
SRR5839296	Gurbantunggut	5.722687719640642	24279	1234	0	7	0.0	0.00028831500473660367
SRR5839297	Gurbantunggut	5.9568376861512	22730	1237	0	8	0.0	0.0003519577650681918
SRR5839298	Gurbantunggut	5.541429657129864	24142	1069	0	4	0.0	0.00016568635572860574
SRR5839299	Gurbantunggut	5.278038782513843	14906	756	0	0	0.0	0.0
SRR5839300	Gurbantunggut	5.274522455048762	25373	1059	0	16	0.0	0.0006305915737200962
SRR5839301	Gurbantunggut	5.693333535716518	20504	1021	0	4	0.0	0.00019508388607101054
SRR5839302	Gurbantunggut	5.013325185238835	17533	880	0	4	0.0	0.00022814121941481776
SRR5839303	Gurbantunggut	5.713837636901325	24668	1344	0	10	0.0	0.0004053834927841738
SRR5839304	Gurbantunggut	5.410328454793335	21071	984	0	11	0.0	0.0005220445161596507
SRR5839305	Gurbantunggut	5.35156916047879	20115	934	0	10	0.0	0.0004971414367387521
SRR5839306	Gurbantunggut	5.476406771526271	27065	1121	0	10	0.0	0.0003694808793644929
SRR5839307	Gurbantunggut	5.466820458537235	24620	1170	0	2	0.0	8.123476848090982e-05
SRR5839308	Gurbantunggut	5.312897575882744	27410	1149	0	5	0.0	0.00018241517694272163
SRR5839309	Gurbantunggut	5.519085176354375	24791	1146	0	8	0.0	0.00032269775321689325
SRR5839310	Gurbantunggut	5.1964721837686	25836	921	0	0	0.0	0.0
SRR5839311	Gurbantunggut	5.379832422522164	21932	999	0	13	0.0	0.0005927412000729528
SRR5839312	Gurbantunggut	5.597988461370587	25253	1045	0	9	0.0	0.0003563932998059636
SRR5839313	Gurbantunggut	5.025882652521284	23190	707	0	0	0.0	0.0
SRR5839314	Gurbantunggut	4.73097199651964	29861	678	0	0	0.0	0.0
SRR5839315	Gurbantunggut	5.140097011712565	19596	666	0	0	0.0	0.0
SRR5839316	Gurbantunggut	5.35652932504086	23065	779	0	0	0.0	0.0
SRR5839317	Gurbantunggut	5.350309579278886	20829	976	0	3	0.0	0.00014402995823131211
SRR5839318	Gurbantunggut	5.5783263294513645	13407	875	0	3	0.0	0.00022376370552696352
SRR5839319	Gurbantunggut	5.268612053246384	22333	872	0	0	0.0	0.0
SRR5839320	Gurbantunggut	5.4469140693040785	23832	1005	0	2	0.0	8.392077878482712e-05
SRR5839321	Gurbantunggut	4.819869889619789	25720	878	0	5	0.0	0.00019440124416796267
SRR5839322	Gurbantunggut	5.200259093669748	28740	1062	0	4	0.0	0.00013917884481558804
SRR5839323	Gurbantunggut	5.144337765401662	23309	890	0	2	0.0	8.580376678536188e-05
SRR5839324	Gurbantunggut	5.327936141333375	19728	891	0	0	0.0	0.0
SRR5839325	Gurbantunggut	5.9008592630917045	22699	1415	0	13	0.0	0.0005727124542931407
SRR5839326	Gurbantunggut	5.033922658190425	18725	830	0	2	0.0	0.0001068090787716956
SRR5839328	Gurbantunggut	5.109872157015214	21790	972	0	7	0.0	0.0003212482790270766
SRR5839329	Gurbantunggut	4.97328850556339	16945	775	0	0	0.0	0.0
SRR5839330	Gurbantunggut	5.227570658540268	26033	1040	2	36	7.682556754888027e-05	0.001382860215879845
SRR5839331	Gurbantunggut	5.317660762008385	20855	948	0	28	0.0	0.0013426036921601534
SRR5839332	Gurbantunggut	5.321342322116513	21747	874	0	3	0.0	0.00013795006207752792
SRR5839333	Gurbantunggut	5.22929343466315	22708	992	0	2	0.0	8.807468733485996e-05
SRR5839334	Gurbantunggut	5.561801432745902	17993	1023	0	13	0.0	0.0007225031956872117
SRR5839335	Gurbantunggut	5.04603637955047	25223	1026	0	20	0.0	0.000792927090354042
SRR5839336	Gurbantunggut	5.686582938001171	17817	1022	0	4	0.0	0.00022450468653533142
SRR5839337	Gurbantunggut	5.570499483169944	22694	1156	0	10	0.0	0.0004406451044328897
SRR5839338	Gurbantunggut	5.545887625783054	19752	1084	0	0	0.0	0.0
SRR5839339	Gurbantunggut	5.379105605537637	18448	969	0	4	0.0	0.0002168256721595837
SRR5839341	Gurbantunggut	5.720562353915832	24827	1247	2	22	8.055745760663793e-05	0.0008861320336730173
SRR5839342	Gurbantunggut	5.645648963098477	18695	1149	0	5	0.0	0.0002674511901577962
SRR5839343	Gurbantunggut	5.221411671968889	18656	960	0	5	0.0	0.00026801029159519727
SRR5839344	Gurbantunggut	5.348327534647716	25373	1007	0	10	0.0	0.0003941197335750601
SRR5839348	Gurbantunggut	5.613537773987023	15333	895	0	14	0.0	0.0009130633274636405
SRR5839350	Gurbantunggut	5.317169435541866	21317	1104	0	21	0.0	0.000985129239574049
SRR5839351	Gurbantunggut	5.384377678044999	22170	1092	9	23	0.00040595399188092014	0.0010374379792512404
SRR5839352	Gurbantunggut	4.627648114656205	18257	722	10	19	0.0005477351152982418	0.0010406967190666593
