run_accession	sample_accession	sample_title	library_name	instrument_model	read_count	base_count	lat	lon	country	fastq_ftp	fastq_bytes	desert	bioproject
SRR5839250	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	34371	9490508	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/000/SRR5839250/SRR5839250.fastq.gz	3235529	Gurbantunggut	PRJNA376617
SRR5839251	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	31257	8631007	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/001/SRR5839251/SRR5839251.fastq.gz	3042375	Gurbantunggut	PRJNA376617
SRR5839253	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	34059	9406245	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/003/SRR5839253/SRR5839253.fastq.gz	3195090	Gurbantunggut	PRJNA376617
SRR5839255	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	36302	10024144	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/005/SRR5839255/SRR5839255.fastq.gz	3468209	Gurbantunggut	PRJNA376617
SRR5839257	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	44973	12418115	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/007/SRR5839257/SRR5839257.fastq.gz	4139282	Gurbantunggut	PRJNA376617
SRR5839264	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	37838	10450911	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/004/SRR5839264/SRR5839264.fastq.gz	3514902	Gurbantunggut	PRJNA376617
SRR5839265	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	34215	9449306	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/005/SRR5839265/SRR5839265.fastq.gz	3234745	Gurbantunggut	PRJNA376617
SRR5838954	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	40139	11085234	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/004/SRR5838954/SRR5838954.fastq.gz	3903059	Gurbantunggut	PRJNA376617
SRR5839281	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	37089	10243931	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/001/SRR5839281/SRR5839281.fastq.gz	3664349	Gurbantunggut	PRJNA376617
SRR5839283	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	43701	12068233	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/003/SRR5839283/SRR5839283.fastq.gz	4035171	Gurbantunggut	PRJNA376617
