profile	trip	site	compartment	depth	lat	lon	lib_series	lib_number	dna_conc	dna_kit
e0325_10Dr2	1	10	Deep	503679.0	19.420469722222222	46.460795277777784	JUL_M25	325	0.023396143844205	Pro
e0326_10PRr2	1	10	Rhizosphere	234734.0	19.420469722222222	46.460795277777784	JUL_M25	326	0	Pro
e0327_10Sr2	1	10	Surface	1634081.0	19.420469722222222	46.460795277777784	JUL_M25	327	0.015569376299201	Pro
e0328_10Sr3	1	10	Surface	1049003.0	19.420469722222222	46.460795277777784	JUL_M25	328	0.009257466988714	Pro
e0329_11Dr3	1	11	Deep	152441.0	19.44435222222222	46.6356325	JUL_M25	329	5.34025399123065	Pro
e0330_11PRr3	1	11	Rhizosphere	847369.0	19.44435222222222	46.6356325	JUL_M25	330		
e0331_11Sr2	1	11	Surface	125604.0	19.44435222222222	46.6356325	JUL_M25	331	0.00324011344605	Pro
e0332_12PRr1	1	12	Rhizosphere	43484.0	19.47793361111111	46.83437333333334	JUL_M25	332	0.014896105972749	Pro
e0333_12PRr3	1	12	Rhizosphere	311186.0	19.47793361111111	46.83437333333334	JUL_M25	333	0.062782457941644	Pro
e0334_12Sr1	1	12	Surface	182291.0	19.47793361111111	46.83437333333334	JUL_M25	334	0.008331720289843	Pro
e0335_12Sr3	1	12	Surface	145306.0	19.47793361111111	46.83437333333334	JUL_M25	335	0	Pro
e0336_13Dr1	1	13	Deep	473455.0	19.52934611111111	47.053284444444444	JUL_M25	336	0.013128771365813	Pro
e0337_13Dr3	1	13	Deep	1852185.0	19.52934611111111	47.053284444444444	JUL_M25	337	0.002945557678227	Pro
e0338_13Sr2	1	13	Surface	357173.0	19.52934611111111	47.053284444444444	JUL_M25	338	0.01321293015662	Pro
e0339_14Dr1	1	14	Deep	655184.0	19.581338055555555	47.2920225	JUL_M25	339	0.014391153227911	Pro
e0340_14Dr3	1	14	Deep	1195294.0	19.581338055555555	47.2920225	JUL_M25	340	1.3103102934617	PowerSoil
e0341_14PRr1	1	14	Rhizosphere	529395.0	19.581338055555555	47.2920225	JUL_M25	341	1.44454356479806	Pro
e0342_14PRr2	1	14	Rhizosphere	458988.0	19.581338055555555	47.2920225	JUL_M25	342	7.17070769127189	Pro
e0343_14Sr2	1	14	Surface	1079644.0	19.581338055555555	47.2920225	JUL_M25	343	0.415281553234643	Pro
e0344_15Dr1	1	15	Deep	943660.0	19.613749722222224	47.47587194444445	JUL_M25	344	0.060720567566885	Pro
e0345_15Dr3	1	15	Deep	1181250.0	19.613749722222224	47.47587194444445	JUL_M25	345	0.028193194920175	Pro
e0346_15PRr1	1	15	Rhizosphere	532453.0	19.613749722222224	47.47587194444445	JUL_M25	346	0.835654713313079	PowerSoil
e0347_15PRr2	1	15	Rhizosphere	909284.0	19.613749722222224	47.47587194444445	JUL_M25	347	0.793996111863865	Pro
e0348_15PRr3	1	15	Rhizosphere	594206.0	19.613749722222224	47.47587194444445	JUL_M25	348	0.4523114211895	Pro
e0349_15Sr1	1	15	Surface	900509.0	19.613749722222224	47.47587194444445	JUL_M25	349	0.047675954991879	Pro
e0350_15Sr3	1	15	Surface	71452.0	19.613749722222224	47.47587194444445	JUL_M25	350	0.011740151317506	Pro
e0351_16Dr1	1	16	Deep	416803.0	19.644455833333332	47.62611861111111	JUL_M25	351	0.038460567398568	Pro
e0352_16Dr3	1	16	Deep	120288.0	19.644455833333332	47.62611861111111	JUL_M25	352	0.017420869696944	Pro
e0353_16PRr2	1	16	Rhizosphere	869078.0	19.644455833333332	47.62611861111111	JUL_M25	353	0.04704476406083	Pro
e0354_16PRr3	1	16	Rhizosphere	822232.0	19.644455833333332	47.62611861111111	JUL_M25	354	0.056428469235754	Pro
e0355_16Sr1	1	16	Surface	214146.0	19.644455833333332	47.62611861111111	JUL_M25	355	0.033789754508807	Pro
e0356_17Dr1	1	17	Deep	133041.0	19.676460000000002	47.82730555555556	JUL_M25	356	0.02099761830622	Pro
e0357_17Dr3	1	17	Deep	145553.0	19.676460000000002	47.82730555555556	JUL_M25	357	0.01152975434049	Pro
e0358_17PRr2	1	17	Rhizosphere	218408.0	19.676460000000002	47.82730555555556	JUL_M25	358	4.00928271462596	Pro
e0359_18PRr1	1	18	Rhizosphere	701029.0	19.732518055555555	48.046860555555554	JUL_M25	359	0.075784991121248	Pro
