state	contrast	n_paired_sites	mean_difference	median_difference	wilcoxon_p	bh_q_across_six_sensitivity_tests
before	Deep-Surface	47	-0.1264348672	0.097160804	0.7811455419	0.7811455419
before	Rhizosphere-Surface	52	-0.5049362349	-0.374884047	0.0003448873625	0.001230364209
before	Rhizosphere-Deep	62	-0.3796895241	-0.469308623	0.001338633687	0.002677267373
after	Deep-Surface	47	-0.1150971041	0.096665735	0.7097032588	0.7811455419
after	Rhizosphere-Surface	52	-0.4853161027	-0.3672575507	0.0004101214029	0.001230364209
after	Rhizosphere-Deep	62	-0.3593221905	-0.4728308217	0.002371284449	0.003556926674
