Site	Type	shannon	richness_hurlbert_25000	evenness_h_over_log_hurlbert	evenness_h_over_log_observed
1	Deep	5.16273326299	1617.28563984	0.818607508276	0.814916588883
1	Rhizosphere	5.41769417431	1357.27501611	0.771850196956	0.760137754037
1	Surface	6.19923866272	1737.16631476	0.840832780183	0.834371722331
2	Deep	6.26854602949	2572.38816252	0.882190162744	0.851700066209
2	Rhizosphere	5.57826345663	1996.23122703	0.805484312185	0.789555254743
2	Surface	6.58744105669	2669.11239089	0.856912604304	0.839578401553
3	Deep	6.29679017597	2237.92413256	0.891942461111	0.882911025533
3	Rhizosphere	5.54468535642	1788.17925498	0.747801590002	0.742113160646
3	Surface	6.29706940624	1474.38130332	0.887909703173	0.878509633699
4	Deep	6.67985717081	2713.42871757	0.864145010833	0.839354786387
4	Rhizosphere	6.18194773067	2095.85155954	0.812753625979	0.784702515379
4	Surface	6.55348250614	2188.24257036	0.856686821194	0.832307763578
5	Deep	6.33192668948	1582.10868865	0.894612256668	0.885678600084
5	Rhizosphere	6.46233358181	2231.67088792	0.847964751847	0.829465686681
5	Surface	6.35188907302	2203.10587875	0.845212459963	0.821669937517
6	Deep	6.74816639557	2865.3037009	0.870697128747	0.843890048045
6	Rhizosphere	5.68923030716	2293.43454899	0.812770176953	0.791197900824
6	Surface	6.16708677001	1887.52716581	0.825250082	0.798425405245
7	Deep	6.48604309439	1930.53595819	0.860213019598	0.846409069739
7	Rhizosphere	5.93961216004	1836.29031142	0.817117885921	0.809070142143
7	Surface	5.7240582725	1496.62927304	0.786010350009	0.775690810527
8	Deep	5.72314285264	1974.85902989	0.852078423637	0.80910150882
8	Rhizosphere	6.32027011472	2239.11386019	0.855693203059	0.837854645408
8	Surface	6.18598621995	1531.72406145	0.857578562259	0.844249258717
9	Deep	6.07891136095	1692.29275866	0.818666195778	0.804576463207
9	Rhizosphere	5.37965087585	1267.87612551	0.765284326378	0.754591612162
9	Surface	6.07010730273	1790.35469697	0.811442711264	0.797311857243
10	Deep	6.121731335	2097.46860832	0.804908200787	0.78450475975
10	Rhizosphere	5.3637166231	1666.14522913	0.745406529545	0.731115885548
10	Surface	6.26563927152	2229.11086315	0.813365975532	0.789599625561
11	Deep	6.54809558383	2255.07834474	0.860297828229	0.841081102064
11	Rhizosphere	6.15687403628	2377.92869782	0.811130958869	0.786071592442
11	Surface	5.60432925116	1244.91979202	0.805156800745	0.78784201896
12	Deep	6.91149352833	2720.05803972	0.88348271844	0.856028586856
12	Rhizosphere	6.14228543482	1911.91330585	0.824315672491	0.801317445829
12	Surface	6.13671110124	1865.05843629	0.822083991163	0.801296877559
13	Deep	6.47003105409	2099.65844411	0.849001659707	0.826565631921
13	Rhizosphere	6.46375778149	2372.15837429	0.837407182094	0.815024239016
13	Surface	6.18138048313	1622.31995915	0.842962006666	0.825832625003
14	Deep	5.80768038743	1938.78158496	0.769933021854	0.746294595675
14	Rhizosphere	4.59606045414	649.566419299	0.721547733132	0.705645634697
