adjustment	genus	mean_clr_dune	mean_clr_saline_pan	pan_minus_dune_clr	mannwhitney_p	q_bh_200	supported_q_lt_0_05	phylum
none	Modestobacter	-0.202118884	0.3234579238	0.5255768078	0.3494203291	0.554635443	False	Actinomycetota
none	Ornithinibacillus	-0.03171094625	0.5048501746	0.5365611208	0.2706629953	0.4587508396	False	Bacillota
none	Planococcus	-0.08517493781	0.4882712126	0.5734461504	0.5301627033	0.6885229913	False	Bacillota
none	Litorilinea	-0.1221875719	0.4527070233	0.5748945952	0.08165918444	0.2148925906	False	Chloroflexota
none	Blastocatella	-0.2464365296	0.3985645609	0.6450010905	0.4274397208	0.6350565048	False	Acidobacteriota
none	Subgroup 10	-0.2034445601	0.4563361717	0.6597807318	0.2706629953	0.4587508396	False	Acidobacteriota
none	Nonomuraea	-0.1805950899	0.4877344725	0.6683295624	0.1265278163	0.281172925	False	Actinomycetota
none	Limnobacter	-0.3067770119	0.3879297854	0.6947067972	0.5301627033	0.6885229913	False	Pseudomonadota
none	Pseudomonas	-0.023960781	0.6857664754	0.7097272564	0.4555450938	0.6416128082	False	Pseudomonadota
none	Saccharothrix	-0.1699047985	0.549660465	0.7195652634	0.05966338125	0.1754805331	False	Actinomycetota
none	Pelagibius	-0.07897752722	0.6569512828	0.73592881	0.4555450938	0.6416128082	False	Pseudomonadota
none	Tautonia	-0.1864945001	0.6386244373	0.8251189374	0.01244788963	0.06915494237	False	Planctomycetota
none	Rhodoplanes	-0.1312740297	0.6967577786	0.8280318083	0.01016242436	0.06774949571	False	Pseudomonadota
none	SZB85	-0.1733434136	0.7021137637	0.8754571773	0.03819231701	0.1294654814	False	Pseudomonadota
none	Kineococcus	-0.198165963	0.710831464	0.908997427	0.03019365619	0.1118283562	False	Actinomycetota
none	Tumebacillus	-0.1446900612	0.7651749917	0.9098650529	0.05966338125	0.1754805331	False	Bacillota
none	Kineosporia	-0.3456173205	0.5668487446	0.9124660652	0.04531508693	0.1461776998	False	Actinomycetota
none	Georgenia	-0.1179221213	0.805494981	0.9234171023	0.09968486714	0.2431338223	False	Actinomycetota
none	Actinoplanes	-0.2796708664	0.6577815358	0.9374524022	0.1046547617	0.249178004	False	Actinomycetota
none	Corynebacterium	-0.1779465615	0.7597708256	0.9377173871	0.01962908073	0.08922309423	False	Actinomycetota
none	Nitrosomonas	-0.2271149278	0.7210365762	0.948151504	0.01244788963	0.06915494237	False	Pseudomonadota
none	Acinetobacter	-0.1370872175	0.9363145739	1.073401791	0.01727783949	0.0886043051	False	Pseudomonadota
none	Staphylococcus	-0.1140947215	0.9701903278	1.084285049	0.2050266621	0.3981100234	False	Bacillota
none	Kocuria	-0.2486843881	0.975631258	1.224315646	0.003999392249	0.04999240312	True	Actinomycetota
none	Aeromonas	-0.1733034457	1.100464088	1.273767534	0.0267656554	0.1049633545	False	Pseudomonadota
none	Gracilibacillus	-0.1991768417	1.097204013	1.296380855	0.1265278163	0.281172925	False	Bacillota
none	Kallotenue	-0.3932624647	0.9331899323	1.326452397	0.08165918444	0.2148925906	False	Chloroflexota
none	Peribacillus	-0.2824340248	1.077702647	1.360136671	0.005378352215	0.05661423384	False	Bacillota
none	Bradyrhizobium	-0.1703775203	1.324370787	1.494748307	0.09968486714	0.2431338223	False	Pseudomonadota
none	PMMR1	-0.4263505987	1.077374443	1.503725041	0.01962908073	0.08922309423	False	Pseudomonadota
none	YC-ZSS-LKJ147	-0.3351468374	1.175029446	1.510176283	0.003709085304	0.04945447072	True	Gemmatimonadota
none	Limibaculum	-0.2931074945	1.260200748	1.553308242	0.073692616	0.2018975781	False	Pseudomonadota
none	Rhodocytophaga	-0.4373981982	1.142422179	1.579820377	0.007698627282	0.06415522735	False	Bacteroidota
none	Crossiella	-0.2085585416	1.37730269	1.585861232	0.01016242436	0.06774949571	False	Actinomycetota
none	Mangrovihabitans	-0.4091374461	1.206993969	1.616131415	0.01244788963	0.06915494237	False	Actinomycetota
none	Arenimicrobium	-0.4180882465	1.2154204	1.633508646	0.01244788963	0.06915494237	False	Acidobacteriota
none	Halalkalibacter	-0.01254824887	1.722809612	1.735357861	0.3872323755	0.5957421162	False	Bacillota
none	Enterococcus	-0.3166887451	1.454312217	1.771000962	0.003709085304	0.04945447072	True	Bacillota
none	Escherichia-Shigella	-0.2930441662	1.722233874	2.01527804	0.01087892259	0.06915494237	False	Pseudomonadota
none	Polygonibacillus	-0.301412632	1.763990136	2.065402768	0.1265278163	0.281172925	False	Bacillota
none	Truepera	-0.4048428736	1.764270179	2.169113052	0.002524881696	0.04945447072	True	Deinococcota
none	Thermobaculum	-0.4879751652	1.690916554	2.178891719	8.835653137e-05	0.01767130627	True	Chloroflexota
none	Litchfieldia	-0.4078852273	2.009636826	2.417522054	0.02367909113	0.09866287972	False	Bacillota
none	Sediminibacillus	-0.3760568371	2.442334111	2.818390949	0.03819231701	0.1294654814	False	Bacillota
none	Halomonas	-0.4052832572	2.606359245	3.011642502	0.1451518374	0.3088336966	False	Pseudomonadota
none	Aquibacillus	-0.4753208668	2.864599954	3.33992082	0.01016242436	0.06774949571	False	Bacillota
route_linear_quadratic	Symbiobacterium	0.1894448052	-0.926174603	-1.115619408	0.01163997212	0.3946515189	False	Bacillota
route_linear_quadratic	Oxalophagus	0.16967307	-0.8295127864	-0.9991858564	0.01962908073	0.3946515189	False	Bacillota
route_linear_quadratic	Herpetosiphon	0.1672785001	-0.8178060007	-0.9850845008	0.05352623484	0.4654455203	False	Chloroflexota
route_linear_quadratic	Nitrolancea	0.1515274622	-0.7408009261	-0.8923283882	0.03604018962	0.4258184281	False	Chloroflexota
route_linear_quadratic	Ectobacillus	0.129867844	-0.6349094597	-0.7647773037	0.05966338125	0.47730705	False	Bacillota
route_linear_quadratic	Telluribacter	0.1179467476	-0.5766285437	-0.6945752913	0.09031066089	0.4866926368	False	Bacteroidota
route_linear_quadratic	Thermosipho	0.117716732	-0.5755040233	-0.6932207553	0.07759265174	0.4866926368	False	Thermotogota
route_linear_quadratic	Cnuella	0.1160679706	-0.5674434116	-0.6835113822	0.073692616	0.4866926368	False	Bacteroidota
route_linear_quadratic	Rubellimicrobium	0.1154923166	-0.5646291036	-0.6801214202	0.1658065602	0.607583783	False	Pseudomonadota
route_linear_quadratic	Acidibacter	0.1136128408	-0.5554405551	-0.6690533959	0.04045275067	0.4258184281	False	Pseudomonadota
route_linear_quadratic	Herbaspirillum	0.112863704	-0.5517781083	-0.6646418123	0.02090618563	0.3946515189	False	Pseudomonadota
route_linear_quadratic	Oceanobacillus	0.1108417311	-0.5418929076	-0.6527346388	0.1098194088	0.4880862614	False	Bacillota
route_linear_quadratic	Opitutus	0.1078505941	-0.5272695714	-0.6351201655	0.02225510927	0.3946515189	False	Verrucomicrobiota
route_linear_quadratic	[Polyangium] brachysporum group	0.1056737277	-0.5166271131	-0.6223008408	0.01727783949	0.3946515189	False	Pseudomonadota
route_linear_quadratic	MND1	0.1052590961	-0.5146000252	-0.6198591213	0.04045275067	0.4258184281	False	Pseudomonadota
route_linear_quadratic	Caldilinea	0.1026172568	-0.5016843668	-0.6043016236	0.03819231701	0.4258184281	False	Chloroflexota
route_linear_quadratic	JCM 18997	0.1005219466	-0.4914406276	-0.5919625742	0.09031066089	0.4866926368	False	Actinomycetota
route_linear_quadratic	Steroidobacter	0.09868694931	-0.48246953	-0.5811564793	0.02367909113	0.3946515189	False	Pseudomonadota
route_linear_quadratic	Azohydromonas	0.09680598441	-0.4732737016	-0.570079686	0.09031066089	0.4866926368	False	Pseudomonadota
route_linear_quadratic	Saccharomonospora	0.09672052363	-0.4728558933	-0.5695764169	0.1966867624	0.6344734272	False	Actinomycetota
route_linear_quadratic	Deinococcus	0.09512752776	-0.4650679135	-0.5601954413	0.09490506418	0.4866926368	False	Deinococcota
route_linear_quadratic	Brevundimonas	0.09240147537	-0.4517405462	-0.5441420216	0.05966338125	0.47730705	False	Pseudomonadota
