contrast	first_compartment	second_compartment	genus	phylum	n_sites	n_blocks	mean_clr_difference	ci_low	ci_high	sign_flip_p	committed_loading	q_bh_600	supported_q_lt_0_05	higher_in
Deep-Surface	shallow_subsurface	surface	Tumebacillus	Bacillota	60	183	-0.7698255891	-1.315892097	-0.2451486907	0.0074	-0.7698255891	0.01754940711	True	surface
Deep-Surface	shallow_subsurface	surface	Vallicoccus	Actinomycetota	60	183	-0.7391943363	-1.092995358	-0.3776626925	0.0003	-0.7391943363	0.001118012422	True	surface
Deep-Surface	shallow_subsurface	surface	Cnuella	Bacteroidota	60	183	-0.7331221964	-1.094901988	-0.3830520499	0.0002	-0.7331221964	0.0007947019868	True	surface
Deep-Surface	shallow_subsurface	surface	Falsirhodobacter	Pseudomonadota	60	183	-0.7209440089	-1.157580781	-0.3138034389	0.0032	-0.7209440089	0.008311688312	True	surface
Deep-Surface	shallow_subsurface	surface	Lysobacter	Pseudomonadota	60	183	-0.7148475295	-1.106507332	-0.3384231152	0.0004	-0.7148475295	0.001437125749	True	surface
Deep-Surface	shallow_subsurface	surface	Paracoccus	Pseudomonadota	60	183	-0.6901470663	-1.078078239	-0.2585931804	0.0018	-0.6901470663	0.005046728972	True	surface
Deep-Surface	shallow_subsurface	surface	Cellulomonas	Actinomycetota	60	183	-0.6800643975	-0.9924800782	-0.3689375166	0.0001	-0.6800643975	0.0004285714286	True	surface
Deep-Surface	shallow_subsurface	surface	Cystobacter	Myxococcota	60	183	-0.6799915305	-1.227151517	-0.1441865399	0.0188	-0.6799915305	0.03944055944	True	surface
Deep-Surface	shallow_subsurface	surface	Brevundimonas	Pseudomonadota	60	183	-0.6618618662	-1.017057403	-0.3544484285	0.0001	-0.6618618662	0.0004285714286	True	surface
Deep-Surface	shallow_subsurface	surface	PMMR1	Pseudomonadota	60	183	-0.6372865377	-1.005555242	-0.2736114392	0.0031	-0.6372865377	0.008230088496	True	surface
Deep-Surface	shallow_subsurface	surface	Blastococcus	Actinomycetota	60	183	-0.6330528254	-1.041622464	-0.2480861342	0.0017	-0.6330528254	0.004857142857	True	surface
Deep-Surface	shallow_subsurface	surface	Modestobacter	Actinomycetota	60	183	-0.6163149951	-1.01949334	-0.2075594919	0.0068	-0.6163149951	0.01638554217	True	surface
Deep-Surface	shallow_subsurface	surface	Limnobacter	Pseudomonadota	60	183	-0.5987790156	-0.9305056854	-0.267320338	0.001	-0.5987790156	0.00310880829	True	surface
Deep-Surface	shallow_subsurface	surface	Isoptericola	Actinomycetota	60	183	-0.5874434178	-0.9917471959	-0.1844739019	0.0049	-0.5874434178	0.01214876033	True	surface
Deep-Surface	shallow_subsurface	surface	Cytophaga	Bacteroidota	60	183	-0.5806855982	-0.8728575202	-0.2818100303	0.001	-0.5806855982	0.00310880829	True	surface
Deep-Surface	shallow_subsurface	surface	Segetibacter	Bacteroidota	60	183	-0.5772756924	-0.9385793923	-0.2157285498	0.0014	-0.5772756924	0.004137931034	True	surface
Deep-Surface	shallow_subsurface	surface	Niallia	Bacillota	60	183	-0.5249830952	-1.011084989	-0.07161524311	0.0317	-0.5249830952	0.06298013245	False	surface
Deep-Surface	shallow_subsurface	surface	Plastorhodobacter	Pseudomonadota	60	183	-0.5042014024	-0.8888244449	-0.1338769941	0.0117	-0.5042014024	0.02590405904	True	surface
Deep-Surface	shallow_subsurface	surface	Devosia	Pseudomonadota	60	183	-0.5035741112	-0.9577500273	-0.05830141722	0.0386	-0.5035741112	0.07352380952	False	surface
Deep-Surface	shallow_subsurface	surface	Rubritepida	Pseudomonadota	60	183	-0.4932397646	-0.8931931221	-0.1334162194	0.0137	-0.4932397646	0.0297826087	True	surface
Deep-Surface	shallow_subsurface	surface	Turicibacter	Bacillota	60	183	-0.4800683669	-0.9033535422	-0.05855078819	0.0364	-0.4800683669	0.0704516129	False	surface
Deep-Surface	shallow_subsurface	surface	Arthrobacter	Actinomycetota	60	183	-0.4776087979	-0.900241031	-0.07151569235	0.0243	-0.4776087979	0.04959183673	True	surface
Deep-Surface	shallow_subsurface	surface	Georgenia	Actinomycetota	60	183	-0.4772045149	-1.032779047	0.1194761309	0.1098	-0.4772045149	0.1697938144	False	surface
Deep-Surface	shallow_subsurface	surface	Actinoplanes	Actinomycetota	60	183	-0.4699376165	-0.8940989168	-0.01432984504	0.0464	-0.4699376165	0.08335329341	False	surface
Deep-Surface	shallow_subsurface	surface	Azospirillum	Pseudomonadota	60	183	-0.4576675206	-0.7749892081	-0.1126607719	0.0069	-0.4576675206	0.01656	True	surface
Deep-Surface	shallow_subsurface	surface	Novosphingobium	Pseudomonadota	60	183	-0.4350267416	-0.8331141774	-0.0357338452	0.044	-0.4350267416	0.08067073171	False	surface
Deep-Surface	shallow_subsurface	surface	Pelagibacterium	Pseudomonadota	60	183	-0.4236337462	-0.8667954897	-0.003996813621	0.0623	-0.4236337462	0.1058426966	False	surface
Deep-Surface	shallow_subsurface	surface	Domibacillus	Bacillota	60	183	-0.4207054032	-0.696277746	-0.1564147189	0.0037	-0.4207054032	0.009446808511	True	surface
Deep-Surface	shallow_subsurface	surface	Rhodocytophaga	Bacteroidota	60	183	-0.407742978	-0.7558335714	-0.07422547917	0.0234	-0.407742978	0.04808219178	True	surface
Deep-Surface	shallow_subsurface	surface	Rubellimicrobium	Pseudomonadota	60	183	-0.4052479127	-0.7546869	-0.02988152396	0.0358	-0.4052479127	0.06951456311	False	surface
Deep-Surface	shallow_subsurface	surface	Neorhizobium	Pseudomonadota	60	183	-0.4038820633	-0.863366246	0.0532811192	0.0916	-0.4038820633	0.1453968254	False	surface
Deep-Surface	shallow_subsurface	surface	Cupriavidus	Pseudomonadota	60	183	-0.3946573471	-0.7952807359	-0.001052268577	0.0648	-0.3946573471	0.108	False	surface
Deep-Surface	shallow_subsurface	surface	Noviherbaspirillum	Pseudomonadota	60	183	-0.3898628095	-0.6252025384	-0.120575029	0.0034	-0.3898628095	0.008755364807	True	surface
Deep-Surface	shallow_subsurface	surface	Sporocytophaga	Bacteroidota	60	183	-0.3867613557	-0.8259886261	-0.01994761987	0.0623	-0.3867613557	0.1058426966	False	surface
Deep-Surface	shallow_subsurface	surface	Corynebacterium	Actinomycetota	60	183	-0.3714066277	-0.8861386117	0.1028032973	0.151	-0.3714066277	0.2141843972	False	surface
Deep-Surface	shallow_subsurface	surface	Flavisolibacter	Bacteroidota	60	183	-0.3635216639	-0.621270046	-0.08698575408	0.0107	-0.3635216639	0.02404494382	True	surface
Deep-Surface	shallow_subsurface	surface	Prauserella	Actinomycetota	60	183	-0.346572891	-0.7701224379	0.08300977039	0.1214	-0.346572891	0.1798518519	False	surface
Deep-Surface	shallow_subsurface	surface	Terribacillus	Bacillota	60	183	-0.3307339023	-0.6685454046	0.008632118041	0.072	-0.3307339023	0.1177111717	False	surface
Deep-Surface	shallow_subsurface	surface	Sphingoaurantiacus	Pseudomonadota	60	183	-0.3267365836	-0.6412867045	-0.007741152094	0.0468	-0.3267365836	0.08382089552	False	surface
Deep-Surface	shallow_subsurface	surface	Ornithinibacillus	Bacillota	60	183	-0.3227306176	-0.8143836374	0.1558119331	0.2099	-0.3227306176	0.283011236	False	surface
