genus	phylum	spearman_rho_dune_sites	p_value	spearman_rho_all_sites	supported_all_sites	q_bh_200	supported_dune_sites	same_sign
Devosia	Pseudomonadota	0.07737843552	0.6176075768	0.08602389553	False	0.7396497925	False	True
Longispora	Actinomycetota	0.09654686399	0.5329941438	0.2096137816	False	0.6609873172	False	True
I-8	Planctomycetota	0.09908386187	0.5222346554	0.3255904418	True	0.6527933193	False	True
Methylobacillus	Pseudomonadota	0.10260747	0.5074716249	0.09124756877	False	0.6423691455	False	True
Planococcus	Bacillota	0.1065539112	0.4911915298	0.08296749097	False	0.6297327305	False	True
Pir4 lineage	Planctomycetota	0.1069767442	0.4894634213	0.1994442901	False	0.6297327305	False	True
Amycolatopsis	Actinomycetota	0.1157152925	0.4544665141	0.2884690192	True	0.6019424028	False	True
TM7a	Patescibacteria	0.1224806202	0.4283348015	0.1194776327	False	0.5788308128	False	True
Isoptericola	Actinomycetota	0.1355884426	0.3801812254	0.06196165602	False	0.5280294798	False	True
Niastella	Bacteroidota	0.1355884426	0.3801812254	0.3297026952	True	0.5280294798	False	True
Peredibacter	Bdellovibrionota	0.1431994362	0.3537585515	0.124034454	False	0.5053693593	False	True
Tumebacillus	Bacillota	0.1568710359	0.3091905382	0.2504028897	False	0.454691968	False	True
Oxalophagus	Bacillota	0.1651867512	0.2839161466	-0.01467074187	False	0.4206165135	False	False
Mesobacillus	Bacillota	0.1684284708	0.2744396692	0.3086412892	True	0.4102198612	False	True
Bauldia	Pseudomonadota	0.169415081	0.2715973514	0.2888580161	True	0.4102198612	False	True
Nitrolancea	Chloroflexota	0.1713883016	0.2659711941	0.0008335648791	False	0.4085049103	False	True
Cytophaga	Bacteroidota	0.1720930233	0.2639807299	0.05873853848	False	0.4085049103	False	True
Streptococcus	Bacillota	0.1725158562	0.2627912162	0.4452347874	True	0.4085049103	False	True
Telluribacter	Bacteroidota	0.178435518	0.2465123362	0.110197277	False	0.3936093881	False	True
Brevundimonas	Pseudomonadota	0.1839323467	0.2320187332	0.03956654626	False	0.3803585791	False	True
Kineococcus	Actinomycetota	0.1966173362	0.2008284484	0.1937204779	False	0.3347140806	False	True
Aureibacillus	Bacillota	0.2015503876	0.1895347033	0.2556821339	False	0.3256148264	False	True
Paracoccus	Pseudomonadota	0.2067653277	0.1780940788	0.1552653515	False	0.3124457523	False	True
Thermosipho	Thermotogota	0.2160676533	0.1589318581	0.2246735204	False	0.2812953241	False	True
Oceanobacillus	Bacillota	0.2218463707	0.1478119534	0.4083912198	True	0.2639499168	False	True
Georgenia	Actinomycetota	0.2264975335	0.1392865274	0.330980828	True	0.2532482317	False	True
Sandaracinus	Myxococcota	0.2427061311	0.1124172521	0.2297860517	False	0.2101257048	False	True
Sandaracinobacter	Pseudomonadota	0.251303735	0.09986715631	0.2051125313	False	0.1884285968	False	True
Brevibacillus	Bacillota	0.2522903453	0.09849881786	0.2401222562	False	0.1884285968	False	True
Azohydromonas	Pseudomonadota	0.2528541226	0.09772341392	0.1118644068	False	0.1884285968	False	True
Hydrocarboniphaga	Pseudomonadota	0.2638477801	0.08352344046	0.3434287302	True	0.1687342232	False	True
Brucella	Pseudomonadota	0.2707540521	0.07546217885	0.5059738816	True	0.1555921213	False	True
SM1A02	Planctomycetota	0.2711768851	0.07498926067	0.4015004168	True	0.1555921213	False	True
Ohtaekwangia	Bacteroidota	0.2852713178	0.060516351	0.3222561823	True	0.1330029692	False	True
Tepidisphaera	Planctomycetota	0.2863988724	0.05946246065	0.3013059183	True	0.1324297528	False	True
Symbiobacterium	Bacillota	0.3068357999	0.04277664405	0.1731592109	False	0.09948056756	False	True
Neobacillus	Bacillota	0.3095137421	0.04090578316	0.2596832453	False	0.09624890155	False	True
Pseudomonas	Pseudomonadota	0.3099365751	0.04061658638	0.4106140595	True	0.09624890155	False	True
Azospirillum	Pseudomonadota	0.3227625088	0.032607147	0.2513475966	False	0.07952962684	False	True
Falsirhodobacter	Pseudomonadota	0.3241719521	0.03181268416	0.4240066685	True	0.07854983743	False	True
Bradyrhizobium	Pseudomonadota	0.348273432	0.0205182147	0.5602667408	True	0.05621428686	False	True
Candidatus Alysiosphaera	Pseudomonadota	0.3579985906	0.01703235295	0.08546818561	False	0.04866386557	True	True
Corynebacterium	Actinomycetota	0.3596899225	0.01648042284	0.4875798833	True	0.04790096054	True	True
Nesterenkonia	Actinomycetota	0.3647639183	0.01491459343	0.5357043623	True	0.04452117441	True	True
Limibaculum	Pseudomonadota	0.3933756166	0.00824945119	0.5649902751	True	0.02704738095	True	True
Litchfieldia	Bacillota	0.3959126145	0.007808067302	0.5469297027	True	0.02602689101	True	True
MM2	Pseudomonadota	0.3973220578	0.007571778579	0.4840789108	True	0.02566704603	True	True
Pelagibacterium	Pseudomonadota	0.3983086681	0.007410074763	0.5701583773	True	0.02555198194	True	True
Crossiella	Actinomycetota	0.4166314306	0.00490471847	0.5263684357	True	0.01751685168	True	True
SH-PL14	Planctomycetota	0.4259337562	0.003942975568	0.3424284523	True	0.01433809297	True	True
Truepera	Deinococcota	0.4294573643	0.003624332468	0.4891358711	True	0.01342345358	True	True
Saccharomonospora	Actinomycetota	0.4627202255	0.001563628782	0.4936371214	True	0.006382158292	True	True
Ornithinibacillus	Bacillota	0.4677942213	0.001365141916	0.6229508197	True	0.005809114536	True	True
Acinetobacter	Pseudomonadota	0.4679351656	0.001359963587	0.5948318977	True	0.005809114536	True	True
Paenibacillus	Bacillota	0.4687808316	0.001329258532	0.3670464018	True	0.005809114536	True	True
Staphylococcus	Bacillota	0.4725863284	0.001198576592	0.6676298972	True	0.005448075417	True	True
Pelagibius	Pseudomonadota	0.495701198	0.0006227235452	0.6489580439	True	0.003193454078	True	True
Halomonas	Pseudomonadota	0.5293868922	0.0002199075526	0.689858294	True	0.001399843611	True	True
Aeromonas	Pseudomonadota	0.5341789993	0.0001879392525	0.6540150042	True	0.001296132776	True	True
Enterococcus	Bacillota	0.5440451022	0.0001349871969	0.6286746318	True	0.0009999051625	True	True
Gracilibacillus	Bacillota	0.5856236786	2.96719988e-05	0.6576826896	True	0.0002825904647	True	True
Escherichia-Shigella	Pseudomonadota	0.5992952784	1.720830388e-05	0.6993053626	True	0.0001912033764	True	True
Sediminibacillus	Bacillota	0.6040873855	1.413211053e-05	0.6971936649	True	0.0001662601239	True	True
Rhodocista	Pseudomonadota	0.658210007	1.1984975e-06	0.7055848847	True	1.712139285e-05	True	True
Aquibacillus	Bacillota	0.6624383369	9.678491796e-07	0.7219783273	True	1.488998738e-05	True	True
Plastorhodobacter	Pseudomonadota	0.6804792107	3.738434132e-07	0.7151986663	True	6.797152968e-06	True	True
Bacillus	Bacillota	0.6835799859	3.153275449e-07	0.7703250903	True	6.306550898e-06	True	True
Metabacillus	Bacillota	0.7221987315	3.137598831e-08	0.6893025841	True	8.964568088e-07	True	True
Pseudalkalibacillus	Bacillota	0.7489781536	4.991749242e-09	0.7398166157	True	1.663916414e-07	True	True
Ammoniphilus	Bacillota	0.7626497533	1.783332985e-09	0.8015559878	True	7.133331941e-08	True	True
Polygonibacillus	Bacillota	0.7797040169	4.467706979e-10	0.807001945	True	2.978471319e-08	True	True
Pontibacter	Bacteroidota	0.8270613108	4.552950306e-12	0.6654070575	True	4.552950306e-10	True	True
Halalkalibacter	Bacillota	0.8314305849	2.783249101e-12	0.8540150042	True	4.552950306e-10	True	True
