genus	phylum	n_sites	spearman_rho_site_ph	p_value	q_bh_200	supported_q_lt_0_05	route_supported	route_rho
Pirellula	Planctomycetota	60	-0.6782439567	2.617649897e-09	4.35476939e-08	True	True	-0.6300639066
Caenimonas	Pseudomonadota	60	-0.6771881078	2.830600104e-09	4.35476939e-08	True	True	-0.572381217
Roseisolibacter	Gemmatimonadota	60	-0.6464017783	2.424421697e-08	2.685946218e-07	True	True	-0.6954153932
Gemmatimonas	Gemmatimonadota	60	-0.6456237844	2.551648907e-08	2.685946218e-07	True	True	-0.6612948041
Steroidobacter	Pseudomonadota	60	-0.6400111142	3.674677155e-08	3.674677155e-07	True	True	-0.6914142817
Gaiella	Actinomycetota	60	-0.6356210058	4.862861181e-08	4.631296363e-07	True	True	-0.5651014171
Dongia	Pseudomonadota	60	-0.6192275632	1.332797149e-07	1.211633772e-06	True	True	-0.4456237844
Adhaeribacter	Bacteroidota	60	-0.6111697694	2.142483005e-07	1.8630287e-06	True	True	-0.5664906919
Sphingomonas	Pseudomonadota	60	-0.6036676855	3.294246154e-07	2.635396923e-06	True	True	-0.6657404835
Streptomyces	Actinomycetota	60	-0.5977215893	4.596953435e-07	3.379352489e-06	True	True	-0.6052236732
Gemmata	Planctomycetota	60	-0.5952764657	5.261805329e-07	3.379352489e-06	True	True	-0.6237288136
Solirubrobacter	Actinomycetota	60	-0.5942761878	5.5589693e-07	3.379352489e-06	True	True	-0.6424006669
Cellulomonas	Actinomycetota	60	-0.5897193665	7.123178128e-07	4.190104781e-06	True	True	-0.7922756321
Bryobacter	Acidobacteriota	60	-0.572214504	1.783978412e-06	9.389360065e-06	True	True	-0.6313976104
Ramlibacter	Pseudomonadota	60	-0.5648791331	2.580635996e-06	1.290317998e-05	True	True	-0.3552097805
Baekduia	Actinomycetota	60	-0.5582661851	3.572828967e-06	1.701347127e-05	True	True	-0.5413170325
Segetibacter	Bacteroidota	60	-0.5560989164	3.968792303e-06	1.845949908e-05	True	True	-0.5148652403
Caldilinea	Chloroflexota	60	-0.5532647958	4.548494061e-06	2.0674973e-05	True	True	-0.4432898027
Blastocatella	Acidobacteriota	60	-0.5507641011	5.124627258e-06	2.277612115e-05	True	True	-0.7648791331
Luteitalea	Acidobacteriota	60	-0.5421505974	7.671960458e-06	3.264664025e-05	True	True	-0.5842734093
Flavisolibacter	Bacteroidota	60	-0.5400388997	8.4554202e-06	3.451191918e-05	True	True	-0.4142261739
Paraconexibacter	Actinomycetota	60	-0.5390386218	8.851950963e-06	3.540780385e-05	True	True	-0.6655181995
Pseudonocardia	Actinomycetota	60	-0.5365934982	9.895230249e-06	3.880482451e-05	True	True	-0.6226173937
Rubritepida	Pseudomonadota	60	-0.5353153654	1.048502011e-05	4.032700041e-05	True	True	-0.6072797999
Ellin6055	Pseudomonadota	60	-0.517032509	2.340395565e-05	8.831681378e-05	True	True	-0.6995276466
Massilia	Pseudomonadota	60	-0.5120866907	2.885482751e-05	0.0001068697315	True	True	-0.3987774382
Marmoricola	Actinomycetota	60	-0.5089191442	3.293952655e-05	0.0001197800966	True	True	-0.7049180328
Parviterribacter	Actinomycetota	60	-0.5076965824	3.46543548e-05	0.0001237655529	True	True	-0.6213392609
Aridibacter	Acidobacteriota	60	-0.5012503473	4.514284347e-05	0.0001554614587	True	True	-0.6854126146
Phaselicystis	Myxococcota	60	-0.5008613504	4.586113032e-05	0.0001554614587	True	True	-0.3509308141
Actinophytocola	Actinomycetota	60	-0.4937482634	6.10036624e-05	0.0002016116014	True	True	-0.5353709364
Cnuella	Bacteroidota	60	-0.4933592665	6.195175231e-05	0.0002016116014	True	True	-0.3615448736
Verrucosispora	Actinomycetota	60	-0.4931369825	6.249959643e-05	0.0002016116014	True	True	-0.3594887469
Fimbriiglobus	Planctomycetota	60	-0.4847457627	8.675763725e-05	0.0002744823315	True	True	-0.3628785774
Chthoniobacter	Verrucomicrobiota	60	-0.4841344818	8.882587766e-05	0.0002744823315	True	True	-0.4464573493
Anaeromyxobacter	Myxococcota	60	-0.4840233398	8.920675775e-05	0.0002744823315	True	False	-0.2769658238
Abditibacterium	Abditibacteriota	60	-0.4833009169	9.171931603e-05	0.0002779373213	True	True	-0.6145595999
Pajaroellobacter	Myxococcota	60	-0.4797999444	0.0001048431609	0.0003129646595	True	True	-0.3075298694
Nitrospira	Nitrospirota	60	-0.4560155599	0.0002505798812	0.0007369996507	True	True	-0.4646846346
Rubrobacter	Actinomycetota	60	-0.4533481523	0.0002752228795	0.0007977474769	True	True	-0.5340928036
Daejeonella	Bacteroidota	60	-0.4522923034	0.0002855737257	0.0008159249307	True	True	-0.2821339261
Limnobacter	Pseudomonadota	60	-0.4515698805	0.0002928591529	0.0008249553602	True	True	-0.6864684635
Actinoplanes	Actinomycetota	60	-0.4433453737	0.0003886148431	0.001046128356	True	True	-0.6260627952
Noviherbaspirillum	Pseudomonadota	60	-0.4430675188	0.0003922981336	0.001046128356	True	True	-0.3362045013
Saccharopolyspora	Actinomycetota	60	-0.4392331203	0.0004464760603	0.00117285654	True	True	-0.3131981106
Opitutus	Verrucomicrobiota	60	-0.4385106974	0.0004574140505	0.00117285654	True	False	-0.2306196166
Roseomonas	Pseudomonadota	60	-0.4338427341	0.0005341595855	0.001352302748	True	True	-0.3155320922
Actinomadura	Actinomycetota	60	-0.4296749097	0.0006123600938	0.001512000232	True	True	-0.3749374826
MND1	Pseudomonadota	60	-0.4289524868	0.0006269241073	0.001529083188	True	True	-0.3246457349
[Polyangium] brachysporum group	Pseudomonadota	60	-0.4272297861	0.0006629280445	0.001597416975	True	False	-0.2168380106
JCM 18997	Actinomycetota	60	-0.4255070853	0.000700793723	0.001668556483	True	False	-0.2305084746
