genus	phylum	n_sites	spearman_rho_elemental_axis	p_value	q_bh_200	supported_q_lt_0_05
Pir4 lineage	Planctomycetota	60	0.2727424285	0.03499945454	0.05882261267	False
Candidatus Alysiosphaera	Pseudomonadota	60	0.2833564879	0.02824418725	0.04787150381	True
Planococcus	Bacillota	60	0.2860238955	0.02673029984	0.04569282024	True
Kineococcus	Actinomycetota	60	0.3013059183	0.0193114801	0.03358518278	True
SM1A02	Planctomycetota	60	0.3070297305	0.01702537587	0.02986908048	True
Mesobacillus	Bacillota	60	0.3229230342	0.01185100077	0.02135315454	True
MM2	Pseudomonadota	60	0.3269241456	0.01078615744	0.01961119534	True
Brucella	Pseudomonadota	60	0.3329258127	0.009344376587	0.01746612446	True
Falsirhodobacter	Pseudomonadota	60	0.3337038066	0.009170331949	0.01741917841	True
Hydrocarboniphaga	Pseudomonadota	60	0.3424284523	0.00740335639	0.0143754493	True
Saccharomonospora	Actinomycetota	60	0.3460405668	0.006763771296	0.01380361489	True
Peribacillus	Bacillota	60	0.3467629897	0.006641823882	0.01380361489	True
Thermobaculum	Chloroflexota	60	0.3471519867	0.006576960574	0.01380361489	True
Pseudomonas	Pseudomonadota	60	0.3577104751	0.005015710292	0.01090371803	True
Georgenia	Actinomycetota	60	0.358710753	0.004886296328	0.01085843628	True
Oceanobacillus	Bacillota	60	0.3994998611	0.001565749295	0.004014741782	True
Tumebacillus	Bacillota	60	0.4148930258	0.0009805012314	0.00280143209	True
Nesterenkonia	Actinomycetota	60	0.4331203112	0.0005470288634	0.001736599566	True
Limibaculum	Pseudomonadota	60	0.4599611003	0.0002178073504	0.0007764680707	True
Pelagibacterium	Pseudomonadota	60	0.4636843568	0.0001905232024	0.0006928116451	True
Streptococcus	Bacillota	60	0.4670741873	0.0001684405821	0.0006238540078	True
Pontibacter	Bacteroidota	60	0.4695748819	0.0001536807713	0.0005799274389	True
Rhodocista	Pseudomonadota	60	0.489858294	7.111648015e-05	0.0002963186673	True
Bradyrhizobium	Pseudomonadota	60	0.4958599611	5.60861298e-05	0.0002397257378	True
Ornithinibacillus	Bacillota	60	0.5063073076	3.670301262e-05	0.0001707116866	True
Corynebacterium	Actinomycetota	60	0.5701583773	1.980263117e-06	1.200159465e-05	True
Litchfieldia	Bacillota	60	0.5744373437	1.592332827e-06	1.027311501e-05	True
Metabacillus	Bacillota	60	0.579605446	1.218624078e-06	8.905360168e-06	True
Plastorhodobacter	Pseudomonadota	60	0.5797165879	1.211573239e-06	8.905360168e-06	True
