compartment	n_sites_pooled	n_genera_detected_any_site	n_core_genera_ge_90pct_sites	mean_site_occupancy_of_detected_genera	median_rarefied_genera_per_site	core_genera
surface	60	912	82	0.2809210526	274	Acidiferrimicrobium,Ammoniphilus,Bacillus,Deinococcus,Domibacillus,Lysinibacillus,Massilia,Metabacillus,Microvirga,Neobacillus,Nibribacter,Nocardioides,Noviherbaspirillum,Paenibacillus,Sphingomonas,Adhaeribacter,Ectobacillus,Flavisolibacter,Geodermatophilus,Planococcus,Ramlibacter,Rubellimicrobium,Streptomyces,Blastococcus,Ellin6055,Peredibacter,Phenylobacterium,Pontibacter,Solirubrobacter,Sphingoaurantiacus,Symbiobacterium,Tumebacillus,Archangium,Arthrobacter,Cytophaga,Herpetosiphon,Lysobacter,Pseudonocardia,Roseomonas,Rubrobacter,Azospirillum,Baekduia,Bradyrhizobium,Cnuella,Devosia,Herbaspirillum,Kocuria,Nitrolancea,OM27 clade,Pseudomonas,Segetibacter,Steroidobacter,Vallicoccus,Cellulomonas,Chelativorans,Chthoniobacter,Conexibacter,Croceibacterium,Kineococcus,Lautropia,Mycobacterium,Nitrospira,Pirellula,Roseicella,Roseisolibacter,Telluribacter,Acidibacter,Arcticibacter,Brevibacillus,Candidatus Alysiosphaera,Cystobacter,Gaiella,Gemmata,Gemmatimonas,MND1,Pajaroellobacter,Parviterribacter,Pedomicrobium,Pir4 lineage,Rubritepida,Sumerlaea,CSP1-2
shallow_subsurface	60	937	69	0.2817324795	284.5	Ammoniphilus,Bacillus,Bradyrhizobium,Domibacillus,Metabacillus,Microvirga,Neobacillus,Nocardioides,Paenibacillus,Acidiferrimicrobium,Deinococcus,Flavisolibacter,Geodermatophilus,Lysinibacillus,Massilia,Noviherbaspirillum,Ramlibacter,Rubellimicrobium,Adhaeribacter,Arthrobacter,Azospirillum,Ectobacillus,Herpetosiphon,Nibribacter,OM27 clade,Peredibacter,Pontibacter,Pseudonocardia,Roseomonas,Chelativorans,Cytophaga,Gemmatimonas,Lysobacter,Phenylobacterium,Pir4 lineage,Rubrobacter,Sandaracinus,Streptomyces,Sumerlaea,Symbiobacterium,Archangium,Blastococcus,Candidatus Alysiosphaera,Croceibacterium,Devosia,Ellin6055,Nitrolancea,Pirellula,Planococcus,Pseudomonas,Solirubrobacter,Sphingoaurantiacus,Tumebacillus,Chthoniobacter,MND1,Marmoricola,Opitutus,Roseicella,Sphingomonas,Acidibacter,Anaeromyxobacter,Kocuria,Lautropia,Mycobacterium,Parviterribacter,Sporocytophaga,Steroidobacter,Telluribacter,Vallicoccus
root_adjacent	60	1026	85	0.283365822	299	Acidiferrimicrobium,Adhaeribacter,Ammoniphilus,Arthrobacter,Bacillus,Devosia,Domibacillus,Flavisolibacter,Geodermatophilus,Lysinibacillus,Massilia,Metabacillus,Microvirga,Neobacillus,Nibribacter,Nocardioides,Noviherbaspirillum,Paenibacillus,Peredibacter,Planococcus,Pontibacter,Pseudomonas,Ramlibacter,Rubellimicrobium,Sphingoaurantiacus,Streptomyces,Azospirillum,Chelativorans,Cytophaga,Ellin6055,Herpetosiphon,Nitrolancea,OM27 clade,Pir4 lineage,Roseicella,Roseomonas,Solirubrobacter,Telluribacter,Tumebacillus,Actinomadura,Archangium,Chthoniobacter,Croceibacterium,Ectobacillus,Phenylobacterium,Pseudonocardia,Rubrobacter,Segetibacter,Symbiobacterium,Terribacillus,Arcticibacter,Cellulomonas,Cnuella,DSSF69,Deinococcus,Gemmatimonas,Lysobacter,Mesobacillus,Methylobacillus,Mycobacterium,Novosphingobium,Pirellula,Steroidobacter,Isoptericola,Baekduia,Blastococcus,Kocuria,SM1A02,Sandaracinus,Brevundimonas,Candidatus Alysiosphaera,Daejeonella,Opitutus,Pajaroellobacter,Parviterribacter,Roseisolibacter,Saccharopolyspora,Sphingomonas,[Polyangium] brachysporum group,CSP1-2,Arsenicitalea,Gemmata,Niallia,Rufibacter,Sumerlaea
