landform	n_sites	sites	thirds	mean_shannon	mean_expected_richness_25k	mean_normalized_evenness	mean_air_temperature_c	dune_vs_pan_mannwhitney_p_shannon	dune_vs_pan_mannwhitney_p_expected_richness_25k	dune_vs_pan_mannwhitney_p_normalized_evenness
sand dune	44	2,3,7,8,9,10,11,12,13,14,15,16,17,18,19,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,42,43,44,45,46,47,49,50,53,57,58	central:18,east:11,west:15	5.770501721	1634.832598	0.8056460193	29.08419295	0.3494203291	0.2811015651	0.9339219976
saline pan	9	4,5,6,22,41,51,52,55,56	central:1,east:5,west:3	5.152895135	1258.825574	0.7883360593	29.01721088	0.3494203291	0.2811015651	0.9339219976
desert oasis	3	48,59,60	east:3	4.252397784	577.8603111	0.7369064759	30.01789116	0.3494203291	0.2811015651	0.9339219976
aeolian lake	1	54	east:1	4.440634507	758.8901883	0.782726287	30.25612245	0.3494203291	0.2811015651	0.9339219976
dune slack	1	20	west:1	6.077212161	1824.649925	0.815002555	29.05755102	0.3494203291	0.2811015651	0.9339219976
gravel	1	1	west:1	5.452685812	1496.189018	0.7992176124	26.41734694	0.3494203291	0.2811015651	0.9339219976
oilspill	1	21	central:1	6.207118616	2291.122678	0.8105155258	28.9	0.3494203291	0.2811015651	0.9339219976
