task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
20	ad/c5cedd	51027784	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (TRIP4_EB1)	COMPLETED	0	2026-08-30 13:46:51.174	9.6s	2s	414.9%	580.2 MB	9.9 GB	572 MB	563.4 MB
15	e7/d6043f	51027788	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (TRIP4_EB4)	COMPLETED	0	2026-08-30 13:46:51.371	9.4s	6s	183.7%	562.2 MB	9.2 GB	17.8 MB	5.8 MB
21	46/b2d191	51027786	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (TRIP4_EB2)	COMPLETED	0	2026-08-30 13:46:51.278	9.5s	2s	386.2%	472.3 MB	9.8 GB	540.8 MB	532 MB
11	1a/c32b79	51027789	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (TRIP4_SEB)	COMPLETED	0	2026-08-30 13:46:51.421	9.3s	5s	178.1%	454.2 MB	9.2 GB	16.5 MB	5.8 MB
27	6f/d803de	51027798	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (CTL_NegCtrl1_Trip2)	COMPLETED	0	2026-08-30 13:46:54.541	6.2s	14ms	40.9%	1.5 MB	3.9 MB	150.4 KB	942 B
14	7f/99cc74	51027790	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (TRIP4_EB5)	COMPLETED	0	2026-08-30 13:46:51.464	9.3s	5s	159.3%	556.1 MB	9.2 GB	17.9 MB	5.9 MB
22	ce/f5fb52	51027785	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (CTL_ExtractionCtrlPro_Trip1)	COMPLETED	0	2026-08-30 13:46:51.222	9.5s	4s	591.3%	573 MB	9.9 GB	1.3 GB	1.3 GB
16	81/9f9186	51027787	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (TRIP4_EB3)	COMPLETED	0	2026-08-30 13:46:51.325	9.4s	6s	201.0%	625.1 MB	9.3 GB	19.3 MB	5.9 MB
17	79/60d742	51027791	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (TRIP4_EB1)	COMPLETED	0	2026-08-30 13:46:51.515	14.2s	7s	214.3%	1.5 GB	9.3 GB	57.2 MB	5.9 MB
23	8c/4b4850	51027792	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (TRIP4_EB2)	COMPLETED	0	2026-08-30 13:46:51.558	14.2s	7s	191.7%	1.5 GB	9.2 GB	55.2 MB	6 MB
