contrast	genus	mean_clr_difference
Deep-Surface	Domibacillus	-0.4200532011
Deep-Surface	Massilia	-1.116379479
Deep-Surface	Bacillus	0.281584224
Deep-Surface	Microvirga	-0.1008814529
Deep-Surface	Flavisolibacter	-0.3628694618
Deep-Surface	Herpetosiphon	0.3418934001
Deep-Surface	Noviherbaspirillum	-0.3890657351
Deep-Surface	Streptomyces	-0.01562114442
Deep-Surface	Paenibacillus	0.3411397105
Deep-Surface	Nocardioides	-0.003138871313
Deep-Surface	Rubrobacter	0.0533682001
Deep-Surface	Ammoniphilus	0.5605754979
Deep-Surface	Lysinibacillus	0.01060402823
Deep-Surface	Deinococcus	-1.296678589
Deep-Surface	Rubellimicrobium	-0.4045957106
Deep-Surface	Geodermatophilus	-0.2569566862
Deep-Surface	Ramlibacter	0.148820229
Deep-Surface	Ectobacillus	0.3585498924
Deep-Surface	Acidiferrimicrobium	0.8917973548
Deep-Surface	Neobacillus	-0.008523781462
Deep-Surface	Planococcus	-1.744811088
Deep-Surface	Nibribacter	-1.484057954
Deep-Surface	Bradyrhizobium	-0.03325530041
Deep-Surface	Adhaeribacter	-0.105523809
Deep-Surface	Metabacillus	0.4085661124
Deep-Surface	Solirubrobacter	0.3096067967
Deep-Surface	Ellin6055	0.05185258958
Deep-Surface	Halomonas	-0.1208203756
Deep-Surface	Symbiobacterium	0.3290122801
Deep-Surface	Arthrobacter	-0.4768572136
Deep-Surface	Sphingoaurantiacus	-0.3260843815
Deep-Surface	Blastococcus	-0.6324006232
Deep-Surface	Nitrolancea	0.1870999852
Deep-Surface	Pontibacter	-0.2451449024
Deep-Surface	Tumebacillus	-0.7691733869
Deep-Surface	Roseomonas	-0.2510771053
Deep-Surface	CSP1-2	0.298275257
Deep-Surface	Chthoniobacter	0.2879046327
Deep-Surface	Pseudomonas	-1.02203219
Deep-Surface	Aeromonas	0.3974105995
Deep-Surface	Pseudonocardia	0.2916045404
Deep-Surface	Lysobacter	-0.7141953274
Deep-Surface	Cytophaga	-0.5800333961
Deep-Surface	Archangium	-0.1794933815
Deep-Surface	Cellulomonas	-0.6794121954
Deep-Surface	Pirellula	0.8071966124
Deep-Surface	Segetibacter	-0.5767099343
Deep-Surface	Saccharopolyspora	-0.114359526
Deep-Surface	Halalkalibacter	0.4574870793
Deep-Surface	Chelativorans	0.02957586901
Deep-Surface	Actinomadura	-0.1091996509
Deep-Surface	Oxalophagus	0.1423666618
Deep-Surface	Steroidobacter	0.3254395725
Deep-Surface	Devosia	-0.5029219091
Deep-Surface	Gemmatimonas	0.5234301857
Deep-Surface	Gaiella	0.7848974232
Deep-Surface	Phenylobacterium	0.04197127034
Deep-Surface	Cnuella	-0.7324699943
Deep-Surface	Aquibacillus	0.08927474667
Deep-Surface	Prauserella	-0.3412771838
Deep-Surface	Roseisolibacter	-0.2159923561
Deep-Surface	Vallicoccus	-0.7385421342
Deep-Surface	Verrucosispora	0.3714854848
Deep-Surface	Azospirillum	-0.4570153185
Deep-Surface	Sphingomonas	-0.08810907301
Deep-Surface	Telluribacter	-0.8277939891
Deep-Surface	Mycobacterium	-0.2970777866
Deep-Surface	Brucella	0.07941386107
Deep-Surface	Acidibacter	0.2841367364
Deep-Surface	Pir4 lineage	0.5048269711
Deep-Surface	MND1	0.8918239407
Deep-Surface	Croceibacterium	0.1763616071
Deep-Surface	Marmoricola	0.2752181108
Deep-Surface	Daejeonella	0.08842031586
Deep-Surface	Bryobacter	0.5342327787
Deep-Surface	Pedomicrobium	0.1996849213
Deep-Surface	Sediminibacillus	0.4755238143
Deep-Surface	Opitutus	1.157397114
Deep-Surface	DSSF69	0.1468544268
Deep-Surface	Terribacillus	-0.3300817002
Deep-Surface	Peredibacter	0.1618303031
Deep-Surface	Subgroup 10	0.3895211408
Deep-Surface	Nitrospira	0.7966972214
Deep-Surface	Limnobacter	-0.5981268135
Deep-Surface	Litchfieldia	0.4248785613
Deep-Surface	Kallotenue	0.03633265923
Deep-Surface	Novosphingobium	-0.4343745394
Deep-Surface	Truepera	-0.01608020817
Deep-Surface	Sporocytophaga	-0.3861091536
Deep-Surface	OM27 clade	0.5014885283
Deep-Surface	Kocuria	-1.129250265
Deep-Surface	Parviterribacter	0.4441264207
Deep-Surface	Arenimicrobium	0.7433640643
Deep-Surface	Arcticibacter	-1.036186696
Deep-Surface	Roseicella	0.07420505545
Deep-Surface	Nitrosomonas	0.2573636715
Deep-Surface	Actinophytocola	-0.07005438057
Deep-Surface	Mesobacillus	-0.04161794649
Deep-Surface	Dongia	0.2515282015
Deep-Surface	Lautropia	0.09206397093
Deep-Surface	Saccharibacillus	-1.272934267
Deep-Surface	Brevibacillus	0.07790732471
Deep-Surface	Rhodocista	-0.8100562439
Deep-Surface	Pelagibacterium	-0.422981544
Deep-Surface	Caulobacter	0.2147379549
Deep-Surface	Baekduia	0.6606125558
Deep-Surface	Isoptericola	-0.5867912157
Deep-Surface	Saccharomonospora	-0.2727495068
Deep-Surface	Gemmata	0.6688401147
Deep-Surface	Pantoea	-0.9310417853
Deep-Surface	Georgenia	-0.4855438132
Deep-Surface	Kineococcus	-1.364309769
Deep-Surface	Streptococcus	0.2846729993
Deep-Surface	Glycomyces	-0.1733054667
Deep-Surface	Conexibacter	0.126379459
Deep-Surface	TM7a	-0.05568275186
Deep-Surface	Blastocatella	0.2602040363
Deep-Surface	Cystobacter	-0.6793393283
Deep-Surface	Niallia	-0.5243308931
Deep-Surface	[Polyangium] brachysporum group	0.3471561752
Deep-Surface	Saccharothrix	0.1302429578
Deep-Surface	Amycolatopsis	0.3143423791
Deep-Surface	Falsirhodobacter	-0.7202918068
Deep-Surface	Rubritepida	-0.4925875624
Deep-Surface	Oceanobacillus	-0.3166577878
Deep-Surface	Caenimonas	0.09131291708
Deep-Surface	Aridibacter	0.1524202486
Deep-Surface	Methylobacillus	0.02100183863
Deep-Surface	SH-PL14	0.4335839772
Deep-Surface	Brevundimonas	-0.6612096641
Deep-Surface	Neorhizobium	-0.4032298611
Deep-Surface	Sumerlaea	0.7267293598
Deep-Surface	Turicibacter	-0.4794161648
Deep-Surface	Polycyclovorans	1.786403762
Deep-Surface	Thermosipho	1.021255287
Deep-Surface	Gracilibacillus	0.3705880035
Deep-Surface	Limibaculum	0.5140343695
Deep-Surface	YC-ZSS-LKJ147	0.2295543424
Deep-Surface	Pajaroellobacter	0.5034826848
Deep-Surface	Phaselicystis	0.3137461624
Deep-Surface	Myxococcus	0.3636785487
Deep-Surface	Luteitalea	0.08048143417
Deep-Surface	Aeromicrobium	0.05803017536
Deep-Surface	Corynebacterium	-0.3785259592
Deep-Surface	Polygonibacillus	0.4026417375
Deep-Surface	Azohydromonas	0.7195040002
Deep-Surface	Herbaspirillum	-0.1745512305
Deep-Surface	Arsenicitalea	0.5153006022
Deep-Surface	Paracoccus	-0.6894948642
Deep-Surface	Aureibacillus	0.8403987459
Deep-Surface	Hydrocarboniphaga	-0.2930922881
Deep-Surface	Staphylococcus	-0.2070824954
Deep-Surface	Rufibacter	-1.196715042
Deep-Surface	Bauldia	0.5003406249
Deep-Surface	Abditibacterium	0.2983059074
Deep-Surface	Caldilinea	0.8208491609
Deep-Surface	Anaeromyxobacter	0.2914528819
Deep-Surface	Plastorhodobacter	-0.5035492003
Deep-Surface	Tepidisphaera	-0.2327743426
Deep-Surface	Ohtaekwangia	0.3885370988
Deep-Surface	Candidatus Alysiosphaera	0.3779163285
Deep-Surface	Fimbriiglobus	0.4366708918
Deep-Surface	SM1A02	0.280195752
Deep-Surface	Enterococcus	-0.04201270883
Deep-Surface	Rhizorhabdus	0.4045623985
Deep-Surface	Longispora	0.4051645699
Deep-Surface	Actinoplanes	-0.4692854144
Deep-Surface	Acinetobacter	0.1788685791
Deep-Surface	JCM 18997	0.2827308729
Deep-Surface	Allorhizocola	0.3737335601
Deep-Surface	Rhodoplanes	0.7311091128
Deep-Surface	Crossiella	0.1797328417
Deep-Surface	Litorilinea	0.248306574
Deep-Surface	Ornithinibacillus	-0.3220784154
Deep-Surface	Modestobacter	-0.615662793
Deep-Surface	Nonomuraea	-0.1258260136
Deep-Surface	Nesterenkonia	0.006854001641
Deep-Surface	Nordella	0.9201328343
Deep-Surface	Paraconexibacter	0.4628816362
Deep-Surface	Pelagibius	-0.1187425233
Deep-Surface	Fictibacillus	0.006531891099
Deep-Surface	Rhodococcus	-0.2918320721
Deep-Surface	Peribacillus	0.06743258431
Deep-Surface	Mangrovihabitans	-0.08672349781
Deep-Surface	PMMR1	-0.6366343356
Deep-Surface	Cupriavidus	-0.394005145
Deep-Surface	I-8	0.8465383765
Deep-Surface	Luedemannella	0.09313082811
Deep-Surface	Sandaracinobacter	0.01606118222
Deep-Surface	Rhodocytophaga	-0.4070907759
Deep-Surface	Thermobaculum	-0.06450149914
Deep-Surface	Niastella	0.5132035675
Deep-Surface	Pseudalkalibacillus	0.3063891518
Deep-Surface	Sandaracinus	0.8381944912
Deep-Surface	Kineosporia	-1.200300928
Deep-Surface	Plantactinospora	0.4384457682
Deep-Surface	Tautonia	0.2914308882
Deep-Surface	MM2	0.005634287037
Deep-Surface	SZB85	0.5340369524
Deep-Surface	Pannonibacter	0.0007238936901
Rhizosphere-Surface	Domibacillus	0.5829263642
Rhizosphere-Surface	Massilia	-0.1767976121
Rhizosphere-Surface	Bacillus	0.5694506256
Rhizosphere-Surface	Microvirga	0.3183581683
Rhizosphere-Surface	Flavisolibacter	-0.4384596019
Rhizosphere-Surface	Herpetosiphon	-0.8186043342
Rhizosphere-Surface	Noviherbaspirillum	-0.1837878734
Rhizosphere-Surface	Streptomyces	0.3008734953
Rhizosphere-Surface	Paenibacillus	0.7099832181
Rhizosphere-Surface	Nocardioides	0.4100016393
Rhizosphere-Surface	Rubrobacter	-1.580671017
Rhizosphere-Surface	Ammoniphilus	0.1184612699
Rhizosphere-Surface	Lysinibacillus	1.179982824
Rhizosphere-Surface	Deinococcus	-2.011017867
Rhizosphere-Surface	Rubellimicrobium	-0.5506761281
Rhizosphere-Surface	Geodermatophilus	-1.363905419
Rhizosphere-Surface	Ramlibacter	0.1313080076
Rhizosphere-Surface	Ectobacillus	-0.07034044917
Rhizosphere-Surface	Acidiferrimicrobium	-0.5049650809
Rhizosphere-Surface	Neobacillus	0.07280856838
Rhizosphere-Surface	Planococcus	0.2045456137
Rhizosphere-Surface	Nibribacter	0.2121162174
Rhizosphere-Surface	Bradyrhizobium	-2.270780992
Rhizosphere-Surface	Adhaeribacter	-0.2068796579
Rhizosphere-Surface	Metabacillus	1.410604411
Rhizosphere-Surface	Solirubrobacter	-0.7565709124
