analysis	contrast	omitted_campaign	taxon_count	zero_treatment	n_sites	n_blocks	displacement	displacement_ci_low	displacement_ci_high	standardized_displacement	standardized_displacement_ci_low	standardized_displacement_ci_high	pseudo_f	permutation_p	q_primary_family	direction_cosine_vs_primary
primary	omnibus_three_positions		200	pseudocount_0.5	60	170	6.276859122						17.30423503	0.001		
primary	Deep-Surface		200	pseudocount_0.5	60	183	7.581948151	6.862097244	9.40330513	0.3311172124	0.3057454118	0.403729115	13.48394174	0.001	0.001	1
primary	Rhizosphere-Surface		200	pseudocount_0.5	60	182	11.35040746	9.977011578	13.66198057	0.4326865792	0.3862171723	0.5087129298	24.84246138	0.001	0.001	1
primary	Rhizosphere-Deep		200	pseudocount_0.5	60	191	12.86952545	11.0627189	15.28805331	0.4782782444	0.4229639665	0.5557428756	31.95808785	0.001	0.001	1
taxon_or_zero_sensitivity	omnibus_three_positions		80	pseudocount_0.5	60	170	4.116835791						22.55649418	0.001		
taxon_or_zero_sensitivity	Deep-Surface		80	pseudocount_0.5	60	183	4.790511202	4.193118004	5.965160119	0.3753317005	0.3409625022	0.4521724218	16.53555427	0.001		0.9928979681
taxon_or_zero_sensitivity	Rhizosphere-Surface		80	pseudocount_0.5	60	182	7.516982217	6.423163259	9.127941718	0.5044727068	0.4467243377	0.5813224545	34.16354369	0.001		0.9878193148
taxon_or_zero_sensitivity	Rhizosphere-Deep		80	pseudocount_0.5	60	191	8.548698983	7.302432519	10.14983834	0.5402307746	0.4743041513	0.622038086	40.81286814	0.001		0.999571992
taxon_or_zero_sensitivity	omnibus_three_positions		80	pseudocount_1.0	60	170	3.926446454						23.9995408	0.001		
taxon_or_zero_sensitivity	Deep-Surface		80	pseudocount_1.0	60	183	4.585308233	3.993561695	5.702607071	0.3866104288	0.347633438	0.465027244	17.87444263	0.001		0.9924265674
taxon_or_zero_sensitivity	Rhizosphere-Surface		80	pseudocount_1.0	60	182	7.166044018	6.086584204	8.589693983	0.5150777212	0.4529702539	0.5887554728	36.38326548	0.001		0.987244038
taxon_or_zero_sensitivity	Rhizosphere-Deep		80	pseudocount_1.0	60	191	8.127804759	6.883303584	9.742992736	0.5494408024	0.4789852298	0.6309365974	43.09301461	0.001		0.9990894636
taxon_or_zero_sensitivity	omnibus_three_positions		80	multiplicative_0.65	60	170	4.051751603						23.14526428	0.001		
taxon_or_zero_sensitivity	Deep-Surface		80	multiplicative_0.65	60	183	4.718142717	4.144588169	5.856198255	0.3797217855	0.3419127677	0.4570075886	17.05129358	0.001		0.9928226688
