neighbours_k	n_sites	mean_degree	residual_moran_i	permutation_p	null_mean	null_p95
3	60	3.333333333	0.1104693732	0.001	-0.01644076081	0.02290781175
4	60	4.4	0.1015591175	0.001	-0.01646622544	0.01615897105
5	60	5.566666667	0.06523130543	0.002	-0.01741288075	0.01094241613
6	60	6.566666667	0.05307142577	0.001	-0.01710756009	0.009843405157
8	60	8.9	0.007303677724	0.047	-0.01629223416	0.006844110772
10	60	10.9	-0.009501512182	0.237	-0.01755811941	0.003099670917
