resolution	feature_count	eligible_features	n_sites	n_groups	partial_r2	pseudo_f	permutation_p	residual_moran_i	residual_moran_p
genus	200	383	60	630	0.3979353966	18.83711272	0.001	0.06523130543	0.001
asv	800	2633	60	629	0.3736934618	17.00487383	0.001	0.1610033202	0.001
asv	2000	2633	60	629	0.3552596102	15.7038384	0.001	0.1528669217	0.001
asv	2633	2633	60	629	0.3467733911	15.12957603	0.001	0.1482062857	0.001
