term	estimate	std_error	z	p	ci_low	ci_high	interaction_wald_p
Intercept	5.442652308389562	0.12873864174564034	42.276757270307876	0.0	5.190329207149502	5.694975409629621	0.007606423391951045
C(Trip)[T.2]	0.16636129202474814	0.2564058377955735	0.648820219754061	0.5164545865298884	-0.336184915480395	0.6689074995298913	0.007606423391951045
C(Trip)[T.3]	0.06327841415251238	0.1543765763803525	0.4098964728729781	0.6818818928598032	-0.23929411560957525	0.36585094391460005	0.007606423391951045
C(Trip)[T.4]	0.3059926785682985	0.15305980250112383	1.9991707395940992	0.04558988332500342	0.006000978185282113	0.6059843789513149	0.007606423391951045
C(Trip)[T.5]	0.7688489874410226	0.13458950697299052	5.712547766411801	1.1129716201732553e-08	0.5050584010769588	1.0326395738050864	0.007606423391951045
C(Type, Treatment(reference='Surface'))[T.Deep]	0.3758380468220877	0.10884198683497594	3.4530612473284403	0.0005542631423584479	0.16251167261975216	0.5891644210244232	0.007606423391951045
C(Type, Treatment(reference='Surface'))[T.Rhizosphere]	-0.08456915475321061	0.1314546554132069	-0.6433332808745409	0.5200078655747173	-0.3422155449632194	0.17307723545679812	0.007606423391951045
C(Trip)[T.2]:C(Type, Treatment(reference='Surface'))[T.Deep]	-1.4666994068408292	0.5738870762471228	-2.5557282391375034	0.010596584169210103	-2.591497407478182	-0.34190140620347664	0.007606423391951045
C(Trip)[T.3]:C(Type, Treatment(reference='Surface'))[T.Deep]	-0.18039913064387572	0.15392172496284223	-1.1720186392624259	0.241189572836364	-0.4820801680093263	0.12128190672157482	0.007606423391951045
C(Trip)[T.4]:C(Type, Treatment(reference='Surface'))[T.Deep]	-0.5762976168599866	0.18920718604796266	-3.045854805503525	0.0023201984829509356	-0.9471368871301629	-0.20545834658981038	0.007606423391951045
C(Trip)[T.5]:C(Type, Treatment(reference='Surface'))[T.Deep]	-0.3405742360894719	0.17586012855752994	-1.93661996544065	0.0527918155720052	-0.6852537543788144	0.004105282199870608	0.007606423391951045
C(Trip)[T.2]:C(Type, Treatment(reference='Surface'))[T.Rhizosphere]	-0.37812032370416987	0.2346851464908054	-1.6111813182816153	0.10714020840605186	-0.8380947585326551	0.0818541111243154	0.007606423391951045
C(Trip)[T.3]:C(Type, Treatment(reference='Surface'))[T.Rhizosphere]	-0.17315803726041165	0.16696209282257518	-1.0371098872390194	0.2996846478192763	-0.5003977259760924	0.15408165145526917	0.007606423391951045
C(Trip)[T.4]:C(Type, Treatment(reference='Surface'))[T.Rhizosphere]	-0.295972438382279	0.21270477065923865	-1.39147061659674	0.16408276384458576	-0.7128661282142388	0.1209212514496808	0.007606423391951045
C(Trip)[T.5]:C(Type, Treatment(reference='Surface'))[T.Rhizosphere]	-0.12979141092164698	0.19921089427702282	-0.6515276756960838	0.5147059177223198	-0.5202375890326281	0.2606547671893341	0.007606423391951045
